Date, Open, High, Low, Close, Volume, OI
2020-06-10, 400, 404.2, 387.37, 388.22, 3069157, 0.0
2020-06-11, 409.3, 411.72, 395.41, 398.59, 4707818, 0.0
2020-06-14, 398.8, 406.11, 397, 401.3, 6623754, 0.0
2020-06-15, 407.83, 414.68, 405.475, 411.87, 2795010, 0.0
2020-06-16, 414, 417.46, 411.36, 413.29, 3707396, 0.0
2020-06-17, 413.5, 420.84, 413, 420.58, 1742351, 0.0
2020-06-18, 423.76, 429.09, 419.65, 428.08, 5704709, 0.0
2020-06-21, 428.96, 438.95, 428.54, 438.57, 2847215, 0.0
2020-06-22, 440.07, 446.15, 436.01, 440.56, 2655999, 0.0
2020-06-23, 440, 442.67, 427.47, 432.29, 2885914, 0.0
2020-06-24, 430.01, 437.99, 427.5801, 437.17, 1966896, 0.0
2020-06-25, 436, 438.18, 424.7129, 426.76, 2648839, 0.0
2020-06-28, 427.11, 428.48, 416.032, 424.49, 2339887, 0.0
2020-06-29, 426.68, 436.91, 423.86, 435.29, 2166677, 0.0
2020-06-30, 434.8, 442.045, 433.621, 440.1, 2307112, 0.0
2020-07-01, 445, 448.16, 441.36, 442.93, 2205658, 0.0
2020-07-05, 448, 455.53, 444.69, 452.59, 2317630, 0.0
2020-07-06, 452.59, 459.44, 448.72, 449, 2343331, 0.0
2020-07-07, 453.76, 458.2424, 452, 457.68, 1717607, 0.0
2020-07-08, 460.44, 463.8, 451.88, 461.14, 1985461, 0.0
2020-07-09, 460.83, 467.21, 455.48, 466.33, 2456174, 0.0
2020-07-12, 469.77, 470.61, 440.64, 442.42, 2882692, 0.0
2020-07-13, 435.74, 437.21, 416.29, 433.7, 5340757, 0.0
2020-07-14, 434.91, 439.63, 428.7341, 433.02, 2338009, 0.0
2020-07-15, 428.43, 430.59, 418.505, 425.485, 2277243, 0.0
2020-07-16, 428.12, 433.5, 423.7, 432.47, 2044667, 0.0
2020-07-19, 434.06, 456.89, 433, 455.27, 3105705, 0.0
2020-07-20, 456.07, 456.9899, 441.75, 444.55, 1816434, 0.0
2020-07-21, 447.55, 449.3712, 441.76, 445.03, 1176444, 0.0
2020-07-22, 445.04, 448.81, 430.33, 431.5, 1346536, 0.0
2020-07-23, 425, 435, 423.4406, 430.31, 1703701, 0.0
2020-07-26, 431.77, 438.36, 431.01, 437.09, 1348968, 0.0
2020-07-27, 436.83, 438.26, 431.33, 432.28, 1246777, 0.0
2020-07-28, 435.16, 440.48, 435.04, 436.3, 1241519, 0.0
2020-07-29, 429.98, 440.5, 426.81, 438.88, 1322057, 0.0
2020-07-30, 441.98, 444.4385, 434.8, 444.41, 1594416, 0.0
2020-08-02, 449.84, 450.74, 442.28, 448.21, 1274960, 0.0
2020-08-03, 448.26, 449.0799, 440.7, 446.95, 2346534, 0.0
2020-08-04, 449.09, 454.035, 446.345, 449.86, 2063261, 0.0
2020-08-05, 451.35, 464.37, 449.13, 464.12, 2063250, 0.0
2020-08-06, 460.87, 461.79, 445.09, 449.57, 3049001, 0.0
2020-08-09, 443.15, 444.2492, 436.5, 443.29, 1468926, 0.0
2020-08-10, 440.26, 444.48, 431.59, 435.23, 1673921, 0.0
2020-08-11, 437.37, 447.9299, 437.37, 445.36, 1444504, 0.0
2020-08-12, 446.07, 455.9, 446.07, 450.2, 1500922, 0.0
2020-08-13, 451.39, 452.814, 444.4262, 447.5, 932260, 0.0
2020-08-16, 450, 456.1, 449.2, 451.61, 1325952, 0.0
2020-08-17, 454.79, 464.5, 452.84, 463.89, 1825595, 0.0
2020-08-18, 464.29, 468.11, 457.5871, 462.01, 1618567, 0.0
2020-08-19, 460.99, 479.8, 458.8868, 478.67, 2194877, 0.0
2020-08-20, 477.09, 477.28, 470.34, 473.36, 2088337, 0.0
2020-08-23, 478.14, 480.02, 469.52, 476.45, 1640260, 0.0
2020-08-24, 476.67, 484.65, 474.425, 484.51, 3432546, 0.0
2020-08-25, 496.95, 533.6979, 492.23, 528.49, 7337873, 0.0
2020-08-26, 519.01, 523.3238, 504.46, 510.32, 3333624, 0.0
2020-08-27, 512.33, 518.797, 510.94, 516.67, 1636219, 0.0
2020-08-30, 513.86, 516.73, 507.77, 513.38, 1898873, 0.0
2020-08-31, 515, 528.536, 514.48, 528.24, 2043870, 0.0
2020-09-01, 536.25, 536.88, 521.41, 533.57, 2463119, 0.0
2020-09-02, 526.035, 527.63, 493.42, 507.8, 5302606, 0.0
