Date, Open, High, Low, Close, Volume, OI
2020-06-10, 152.96, 154.2087, 142.81, 142.91, 2463811, 0.0
2020-06-11, 147.5, 148.98, 145, 145.04, 842412, 0.0
2020-06-14, 142.81, 148.45, 142.44, 147.38, 2208176, 0.0
2020-06-15, 152.21, 153.31, 149.05, 151.81, 1249836, 0.0
2020-06-16, 151.59, 152.58, 150.53, 150.68, 1701132, 0.0
2020-06-17, 149.74, 151.82, 148.905, 151.75, 851307, 0.0
2020-06-18, 154.33, 155, 148.63, 148.835, 2834290, 0.0
2020-06-21, 148.5, 150.57, 147.34, 150.43, 902997, 0.0
2020-06-22, 151.62, 152.15, 150.11, 150.52, 978407, 0.0
2020-06-23, 148.89, 149.59, 144.28, 144.78, 1121708, 0.0
2020-06-24, 144.5, 147.71, 143.84, 147.46, 919759, 0.0
2020-06-25, 147.26, 147.45, 143.91, 144.7, 1451797, 0.0
2020-06-28, 146.26, 146.998, 144.23, 146.46, 720033, 0.0
2020-06-29, 147.45, 149.57, 146.095, 148.92, 1059145, 0.0
2020-06-30, 149.22, 150.45, 148.63, 149.06, 1057170, 0.0
2020-07-01, 150.81, 152.13, 149.955, 150.56, 898789, 0.0
2020-07-05, 152.44, 152.66, 150.06, 150.71, 1087911, 0.0
2020-07-06, 149.98, 150.99, 146.71, 146.89, 1008915, 0.0
2020-07-07, 147, 148.22, 146.27, 148.18, 1026182, 0.0
2020-07-08, 147.58, 147.58, 144.11, 145.77, 1120997, 0.0
2020-07-09, 145, 147.3, 144.6262, 147.27, 770235, 0.0
2020-07-12, 147.5, 149.13, 145.07, 145.53, 1014930, 0.0
2020-07-13, 142.68, 145.59, 142.11, 145.46, 1600726, 0.0
2020-07-14, 145.94, 149.3, 145.76, 148.63, 1030798, 0.0
2020-07-15, 147.34, 147.66, 145.38, 146.27, 827288, 0.0
2020-07-16, 147.26, 148.4, 145.81, 147.53, 752597, 0.0
2020-07-19, 147.58, 148.31, 145.655, 147.44, 973765, 0.0
2020-07-20, 147.86, 149.34, 146.425, 147.03, 946370, 0.0
2020-07-21, 148.2, 148.2, 146.74, 147.58, 885120, 0.0
2020-07-22, 147.57, 148.97, 146.28, 146.97, 530444, 0.0
2020-07-23, 147.58, 148, 144.9, 145.45, 852134, 0.0
2020-07-26, 145.25, 146.64, 144.16, 145.72, 1179260, 0.0
2020-07-27, 145.85, 147.8, 145.37, 146.46, 1384946, 0.0
2020-07-28, 139.93, 141.35, 135.35, 137.12, 4862320, 0.0
2020-07-29, 134.2693, 134.74, 132.27, 132.84, 8051896, 0.0
2020-07-30, 133.66, 134.53, 129.84, 132.97, 2799850, 0.0
2020-08-02, 133.36, 134.99, 132.22, 134.47, 1859280, 0.0
2020-08-03, 133.95, 136.79, 133.9398, 136.79, 2110183, 0.0
2020-08-04, 136.6, 138.24, 134.51, 134.77, 1971435, 0.0
2020-08-05, 134.47, 136.96, 134.45, 136.47, 1832458, 0.0
2020-08-06, 136.98, 138.98, 136.63, 137.98, 2824334, 0.0
2020-08-09, 136.715, 138.87, 136.425, 138.09, 1910811, 0.0
2020-08-10, 137.91, 140.04, 136.79, 138.1, 2080429, 0.0
2020-08-11, 138.86, 140.28, 138.67, 139.58, 2276294, 0.0
2020-08-12, 139.03, 140.54, 138.99, 139.22, 1982914, 0.0
2020-08-13, 139.26, 140.1, 137.97, 138.98, 1595386, 0.0
2020-08-16, 139.25, 140.735, 139.085, 139.55, 1217662, 0.0
2020-08-17, 140.5, 140.79, 138.94, 139.98, 1375910, 0.0
2020-08-18, 139.89, 140.51, 138.22, 138.88, 1131710, 0.0
2020-08-19, 137.59, 139.476, 137.36, 139.15, 1075872, 0.0
2020-08-20, 139.05, 139.05, 137.1, 138.02, 1171616, 0.0
2020-08-23, 138.63, 140.72, 137.63, 140.68, 1168834, 0.0
2020-08-24, 141.08, 142.85, 140.16, 141.06, 1463476, 0.0
2020-08-25, 141.02, 141.87, 139.065, 139.59, 1325780, 0.0
2020-08-26, 141.49, 142.46, 140.0286, 141.08, 1431651, 0.0
2020-08-27, 140.94, 141.44, 139.38, 141.41, 870201, 0.0
2020-08-30, 140.81, 140.955, 138.36, 139.1, 1323256, 0.0
2020-08-31, 138.79, 138.8674, 137.35, 138.54, 1326115, 0.0
2020-09-01, 138.18, 143.05, 137.5, 142.44, 1850407, 0.0
2020-09-02, 142.93, 144.25, 137.72, 139.2, 1586953, 0.0
