Date, Open, High, Low, Close, Volume, OI
2020-06-10, 233, 233.47, 218.95, 219.16, 2422198, 0.0
2020-06-11, 227.95, 228.1325, 223.335, 223.335, 1019972, 0.0
2020-06-14, 218.96, 229.75, 218.76, 229, 2420364, 0.0
2020-06-15, 234.95, 241.77, 234, 240.93, 2143177, 0.0
2020-06-16, 242.29, 243.76, 236.42, 236.95, 1967417, 0.0
2020-06-17, 237.95, 239.2, 236.048, 238.07, 869993, 0.0
2020-06-18, 242.11, 242.98, 235.4949, 237.79, 2798913, 0.0
2020-06-21, 236, 241.07, 236, 241.07, 960328, 0.0
2020-06-22, 242.91, 247.14, 241.455, 241.61, 1248937, 0.0
2020-06-23, 240.29, 242.6747, 231.4382, 233.44, 1683688, 0.0
2020-06-24, 233.5, 234.81, 228.37, 234.43, 1464467, 0.0
2020-06-25, 234.93, 236.71, 230.66, 232.29, 982967, 0.0
2020-06-28, 232.53, 233.93, 227.755, 232.25, 683338, 0.0
2020-06-29, 232.95, 239.95, 231.2, 239.19, 1270600, 0.0
2020-06-30, 239.94, 242.67, 237.8, 241.16, 1159417, 0.0
2020-07-01, 242.51, 244.4, 239.18, 240.27, 983474, 0.0
2020-07-05, 243.32, 248.35, 243.07, 244.43, 854548, 0.0
2020-07-06, 243.12, 245.6, 238.8, 238.81, 725945, 0.0
2020-07-07, 241.64, 244, 239.42, 243.88, 769021, 0.0
2020-07-08, 250.3, 251.39, 242.07, 248.21, 1433312, 0.0
2020-07-09, 248.22, 248.89, 243.0038, 244.28, 998196, 0.0
2020-07-12, 246.17, 246.73, 231.26, 231.7, 1455840, 0.0
2020-07-13, 228.86, 234.68, 226.55, 234.61, 1876493, 0.0
2020-07-14, 236, 237.16, 231.5, 235.45, 990758, 0.0
2020-07-15, 233.86, 235.385, 229.25, 233.91, 745389, 0.0
2020-07-16, 235.8, 238.06, 232.67, 237.63, 750452, 0.0
2020-07-19, 239.05, 246.96, 237.425, 245.92, 819331, 0.0
2020-07-20, 246.64, 247.3, 237.34, 239.7, 826824, 0.0
2020-07-21, 241.4, 243.91, 239.06, 241.06, 418355, 0.0
2020-07-22, 241.29, 245.16, 235.86, 237.5, 706553, 0.0
2020-07-23, 234.14, 236.03, 230.24, 232.87, 832478, 0.0
2020-07-26, 234.96, 239.97, 233.31, 239.74, 608510, 0.0
2020-07-27, 238.53, 240.6, 234.14, 234.799, 515337, 0.0
2020-07-28, 236.58, 240.12, 236.58, 238.61, 441788, 0.0
2020-07-29, 235.29, 237.65, 231.42, 235.99, 636321, 0.0
2020-07-30, 238.36, 238.36, 231.5006, 236.31, 948175, 0.0
2020-08-02, 239.42, 240.46, 235.84, 239.47, 876726, 0.0
2020-08-03, 239.29, 241.87, 236.73, 239.98, 882760, 0.0
2020-08-04, 240.07, 246.36, 235.24, 243.29, 1141947, 0.0
2020-08-05, 243.64, 244.5, 239.235, 243.57, 624404, 0.0
2020-08-06, 242.47, 242.47, 233.2, 236.34, 915514, 0.0
2020-08-09, 231.495, 232.76, 227.52, 231.91, 1085668, 0.0
2020-08-10, 231.17, 232.79, 227.55, 228.93, 809902, 0.0
2020-08-11, 229.3, 233.87, 229.3, 231.82, 763559, 0.0
2020-08-12, 232.88, 243.25, 232.57, 238.35, 1027839, 0.0
2020-08-13, 237.92, 239.63, 233.46, 234.18, 537111, 0.0
2020-08-16, 236.3, 239.35, 235.652, 239.13, 684102, 0.0
2020-08-17, 241.94, 246.3269, 240.26, 242.79, 1362125, 0.0
2020-08-18, 244.4, 244.98, 239.17, 241.42, 1110893, 0.0
2020-08-19, 240.44, 250.62, 239.45, 249.15, 953698, 0.0
2020-08-20, 249.33, 249.9323, 245.27, 248.15, 845403, 0.0
2020-08-23, 250.1, 253.47, 249.655, 251.8, 1085505, 0.0
2020-08-24, 249.02, 254.35, 246.4, 252.2701, 1291054, 0.0
2020-08-25, 246.66, 253.26, 237.19, 248.22, 2908713, 0.0
2020-08-26, 250.19, 250.19, 241.74, 243.4, 1021717, 0.0
2020-08-27, 244.85, 250.5, 244.85, 247.4, 874889, 0.0
2020-08-30, 246.33, 247.98, 242.55, 245.61, 848645, 0.0
2020-08-31, 247.99, 253.7, 244.67, 253.5, 1231179, 0.0
2020-09-01, 255.48, 261.94, 254.15, 261.18, 2160228, 0.0
2020-09-02, 256.81, 256.81, 239.23, 242.13, 2274915, 0.0
