Date, Open, High, Low, Close, Volume, OI
2020-06-10, 115, 115.03, 109.85, 109.87, 2116237, 0.0
2020-06-11, 111.9, 112.11, 109.52, 109.52, 886618, 0.0
2020-06-14, 108.23, 111.64, 107.75, 110.44, 3375683, 0.0
2020-06-15, 112.28, 114.71, 109.83, 113.42, 1717852, 0.0
2020-06-16, 114.15, 116.8, 113.93, 115.53, 2601572, 0.0
2020-06-17, 114.68, 116.82, 114.15, 116.31, 1136247, 0.0
2020-06-18, 116.95, 119.52, 116.2, 119.23, 3038259, 0.0
2020-06-21, 118.86, 119.78, 116.83, 116.92, 1259743, 0.0
2020-06-22, 117.74, 119.5, 115.06, 115.44, 1633546, 0.0
2020-06-23, 113.96, 115.75, 111.36, 111.84, 1842131, 0.0
2020-06-24, 111.62, 113.65, 110.75, 113.465, 1176432, 0.0
2020-06-25, 113.48, 114.62, 110.54, 113.62, 1452445, 0.0
2020-06-28, 113.59, 113.88, 110.58, 111.28, 1401837, 0.0
2020-06-29, 110.99, 112.85, 110.7, 112.12, 1445067, 0.0
2020-06-30, 112.06, 113.08, 110.96, 112.35, 1204526, 0.0
2020-07-01, 114.49, 114.49, 111.72, 112.3, 1090953, 0.0
2020-07-05, 113.75, 113.99, 112.42, 113.54, 1151459, 0.0
2020-07-06, 113, 113.44, 112.285, 112.47, 1249186, 0.0
2020-07-07, 112.8, 113, 107.94, 108, 2133276, 0.0
2020-07-08, 108.71, 109.25, 106.235, 108.47, 1648838, 0.0
2020-07-09, 108.38, 109.2, 107.77, 108.9, 764218, 0.0
2020-07-12, 108.75, 110.32, 106.4, 107.07, 1279867, 0.0
2020-07-13, 106.89, 109.14, 105.67, 108.56, 1535403, 0.0
2020-07-14, 109.06, 111.51, 108.36, 111.06, 1148831, 0.0
2020-07-15, 111.23, 111.39, 108.01, 109.66, 894247, 0.0
2020-07-16, 109.94, 110.4, 107.85, 109.28, 1236273, 0.0
2020-07-19, 109.83, 111.25, 109.48, 109.5, 906727, 0.0
2020-07-20, 109.37, 109.5905, 106.51, 107, 1666096, 0.0
2020-07-21, 107.5, 107.86, 104.77, 105.95, 1559538, 0.0
2020-07-22, 106.28, 106.79, 104.52, 104.8, 710144, 0.0
2020-07-23, 104.4, 104.615, 100.83, 101.5, 2278245, 0.0
2020-07-26, 102.32, 107.84, 102.175, 106.85, 2256205, 0.0
2020-07-27, 107.21, 107.77, 104.79, 105.22, 1068094, 0.0
2020-07-28, 105.59, 105.99, 104.29, 104.62, 1130081, 0.0
2020-07-29, 105.2, 108.48, 104.52, 104.81, 1911201, 0.0
2020-07-30, 103.88, 104.79, 101.26, 102.47, 1806948, 0.0
2020-08-02, 102.67, 105.13, 101.75, 104.84, 867160, 0.0
2020-08-03, 104.73, 105.3, 103.14, 105.22, 1349303, 0.0
2020-08-04, 105.37, 105.67, 102.26, 102.73, 1007503, 0.0
2020-08-05, 103.05, 104.44, 102, 103.9, 1101442, 0.0
2020-08-06, 103.6, 104.16, 102.31, 103.26, 1659722, 0.0
2020-08-09, 102.74, 102.76, 101.11, 101.88, 1520466, 0.0
2020-08-10, 102.86, 102.86, 101.1, 101.23, 1280054, 0.0
2020-08-11, 100.79, 103, 100.78, 102.78, 1359817, 0.0
2020-08-12, 102.54, 103.29, 101.74, 101.9, 919696, 0.0
2020-08-13, 101.18, 103.46, 101.1735, 102.96, 686790, 0.0
2020-08-16, 102.96, 103.41, 102.0901, 102.79, 1168812, 0.0
2020-08-17, 103.24, 104.29, 102.16, 103.31, 1133608, 0.0
2020-08-18, 103.71, 104, 101.29, 101.7, 974589, 0.0
2020-08-19, 101.6, 102.065, 100.25, 100.92, 1208007, 0.0
2020-08-20, 100.8, 101.14, 99.91, 100.52, 1031056, 0.0
2020-08-23, 101, 102.84, 100.75, 102.44, 1551659, 0.0
2020-08-24, 101.94, 103.36, 101.54, 103.35, 1009903, 0.0
2020-08-25, 103.01, 104.47, 102.5, 104.26, 1418705, 0.0
2020-08-26, 104.34, 106.5, 103.77, 106.11, 1137473, 0.0
2020-08-27, 106.5386, 107.08, 104.75, 106.98, 953037, 0.0
2020-08-30, 107.7, 118, 107.66, 114.26, 5205418, 0.0
2020-08-31, 114.8, 117.34, 111.91, 112.74, 2217916, 0.0
2020-09-01, 113, 114.66, 112.06, 113.82, 1273186, 0.0
2020-09-02, 114.32, 114.32, 110.59, 111.45, 2068789, 0.0
