Date, Open, High, Low, Close, Volume, OI
2020-06-10, 58.26, 58.59, 55.35, 55.4, 7858725, 0.0
2020-06-11, 57.51, 58.01, 56.44, 56.44, 3328754, 0.0
2020-06-14, 54.92, 57.231, 54.52, 57.02, 10453210, 0.0
2020-06-15, 58.96, 60.1304, 57.9, 58.59, 8359117, 0.0
2020-06-16, 58.73, 60.43, 58.54, 59.99, 13245600, 0.0
2020-06-17, 59.57, 60.72, 59.57, 60.39, 4876031, 0.0
2020-06-18, 61.4, 62.33, 60.41, 60.94, 13916757, 0.0
2020-06-21, 60.52, 61.3864, 59.58, 61.29, 4126820, 0.0
2020-06-22, 61.93, 61.98, 60.44, 60.81, 4761262, 0.0
2020-06-23, 60.33, 60.89, 59.15, 59.95, 5861350, 0.0
2020-06-24, 59.6, 60.07, 58.606, 59.98, 5555949, 0.0
2020-06-25, 59.57, 60.14, 58.02, 58.37, 4914660, 0.0
2020-06-28, 58.44, 59.06, 57.56, 59.06, 4056768, 0.0
2020-06-29, 59.12, 60.94, 59.069, 60.44, 4695134, 0.0
2020-06-30, 60.4254, 60.78, 59.54, 59.68, 4280104, 0.0
2020-07-01, 60.5, 61.645, 60.34, 61, 4558600, 0.0
2020-07-05, 62.39, 63.705, 62.29, 63.46, 6281271, 0.0
2020-07-06, 63.38, 63.83, 62.03, 62.16, 4196228, 0.0
2020-07-07, 62.9, 63.1756, 62.02, 62.8, 3399703, 0.0
2020-07-08, 63.08, 63.7, 62.24, 63.49, 5500853, 0.0
2020-07-09, 63.28, 63.49, 62.045, 62.59, 4518255, 0.0
2020-07-12, 63.01, 63.78, 61.41, 61.51, 5234379, 0.0
2020-07-13, 60.8, 62.63, 60.07, 62.54, 5509256, 0.0
2020-07-14, 62.75, 62.84, 61.3, 62.1, 4503465, 0.0
2020-07-15, 61.61, 62.62, 61.5, 62.302, 3231215, 0.0
2020-07-16, 62.85, 62.85, 61.95, 62.29, 2969880, 0.0
2020-07-19, 62.61, 63.9, 61.88, 63.72, 3777984, 0.0
2020-07-20, 64.12, 64.84, 63.26, 63.83, 4972301, 0.0
2020-07-21, 63.58, 64.61, 63.52, 64.22, 3908285, 0.0
2020-07-22, 64.33, 65.33, 63.44, 63.63, 3257525, 0.0
2020-07-23, 60.37, 61.35, 59.62, 60.63, 9432322, 0.0
2020-07-26, 61.63, 63.065, 61.11, 63.01, 6001873, 0.0
2020-07-27, 62.53, 62.95, 61.9, 62.3, 3933353, 0.0
2020-07-28, 62.67, 63.66, 62.17, 63.25, 4116219, 0.0
2020-07-29, 63.23, 64.43, 62.987, 64.41, 5077286, 0.0
2020-07-30, 64.79, 64.79, 63.12, 64.33, 4905452, 0.0
2020-08-02, 64.79, 65.59, 64.68, 65.01, 3711541, 0.0
2020-08-03, 65, 65.2, 64.18, 64.86, 4718594, 0.0
2020-08-04, 64.8726, 65.25, 64.42, 64.87, 3979773, 0.0
2020-08-05, 63.87, 64.17, 62.6, 63.62, 6756263, 0.0
2020-08-06, 63.69, 65.01, 62.78, 63.59, 6476314, 0.0
2020-08-09, 63.94, 65.28, 63.88, 65.25, 4792532, 0.0
2020-08-10, 65.32, 66.12, 64.23, 64.46, 6438911, 0.0
2020-08-11, 64.99, 66.67, 64.7, 66.49, 5269316, 0.0
2020-08-12, 66.36, 66.6, 64.61, 65.06, 8745491, 0.0
2020-08-13, 67.39, 69.9, 66.5, 67.63, 22344897, 0.0
2020-08-16, 68.1, 68.23, 66.77, 66.97, 6291080, 0.0
2020-08-17, 67.39, 67.39, 66.07, 66.42, 5676540, 0.0
2020-08-18, 66.57, 66.73, 65.69, 65.86, 4353182, 0.0
2020-08-19, 64.71, 64.82, 63.28, 63.78, 7818032, 0.0
2020-08-20, 63.1, 63.28, 61.92, 62.28, 9804724, 0.0
2020-08-23, 63.36, 63.8, 62.68, 63.71, 7102919, 0.0
2020-08-24, 64.11, 64.65, 63.43, 64.06, 4329734, 0.0
2020-08-25, 64.05, 64.26, 63.49, 63.76, 5135859, 0.0
2020-08-26, 64.29, 64.29, 61.29, 62.02, 7997583, 0.0
2020-08-27, 62.06, 63.1, 61.97, 63.07, 4324378, 0.0
2020-08-30, 62.44, 62.61, 61.4184, 61.56, 5254417, 0.0
2020-08-31, 61.98, 62.1, 61.23, 61.9, 7015440, 0.0
2020-09-01, 62.49, 65.3, 62.37, 65.07, 10066316, 0.0
2020-09-02, 64.19, 64.37, 61.05, 61.46, 9557086, 0.0
