Date, Open, High, Low, Close, Volume, OI
2020-06-10, 55.94, 56.68, 52.85, 52.925, 74549649, 0.0
2020-06-11, 55.01, 55.6, 53.81, 53.83, 40530402, 0.0
2020-06-14, 52.58, 54.73, 52.4128, 54.69, 107850991, 0.0
2020-06-15, 55.72, 56.07, 53.59, 54.46, 48310158, 0.0
2020-06-16, 54.79, 55.82, 54.3, 54.53, 79154488, 0.0
2020-06-17, 54.62, 55.1225, 53.65, 54.03, 35222274, 0.0
2020-06-18, 54.41, 55.455, 53.815, 54.22, 89602515, 0.0
2020-06-21, 54.67, 55.17, 53.74, 54.79, 39434613, 0.0
2020-06-22, 55.05, 55.37, 53.87, 54, 43713132, 0.0
2020-06-23, 53.94, 54.74, 51.92, 52.39, 52119841, 0.0
2020-06-24, 52.56, 52.7, 50.54, 51.93, 49277578, 0.0
2020-06-25, 51.85, 51.95, 49.45, 50.12, 43260972, 0.0
2020-06-28, 50.15, 50.28, 48.42, 50.28, 47461803, 0.0
2020-06-29, 51.16, 52.77, 50.82, 52.58, 39938088, 0.0
2020-06-30, 52.63, 52.87, 51.6, 52.58, 31465306, 0.0
2020-07-01, 53.0335, 53.19, 52.0508, 52.33, 27871274, 0.0
2020-07-05, 52.9, 53.52, 52.33, 53.38, 35183427, 0.0
2020-07-06, 53.28, 54.17, 52.86, 52.93, 31135405, 0.0
2020-07-07, 53.01, 53.47, 52.07, 53.425, 34542871, 0.0
2020-07-08, 53.52, 57.58, 53.31, 57.26, 85756225, 0.0
2020-07-09, 57.54, 58.15, 55.51, 55.89, 57737080, 0.0
2020-07-12, 56.68, 58.35, 53.38, 53.6, 56087767, 0.0
2020-07-13, 53.3, 54.86, 52.26, 54.72, 53386300, 0.0
2020-07-14, 54.96, 55.37, 53.59, 55.335, 40928817, 0.0
2020-07-15, 54.68, 55.15, 53.74, 54.89, 35169111, 0.0
2020-07-16, 55.31, 55.81, 54.68, 55.04, 33608019, 0.0
2020-07-19, 55.23, 57.53, 54.83, 57.46, 41985350, 0.0
2020-07-20, 57.805, 58.5, 56.3173, 57, 43527858, 0.0
2020-07-21, 57.07, 62, 56.97, 61.78, 133254033, 0.0
2020-07-22, 61.63, 62.33, 59.12, 59.61, 71767874, 0.0
2020-07-23, 64.18, 69.94, 64.05, 69.42, 203389599, 0.0
2020-07-26, 69.28, 71.63, 67.79, 68.98, 104303270, 0.0
2020-07-27, 68.1, 69.8, 67.02, 67.72, 75546383, 0.0
2020-07-28, 75.5, 77.19, 73.9, 76.1, 128146652, 0.0
2020-07-29, 75.37, 78.96, 75.07, 78.19, 78788941, 0.0
2020-07-30, 78.67, 78.96, 75.36, 77.43, 69429310, 0.0
2020-08-02, 78.19, 78.5, 77.06, 77.66, 30148959, 0.0
2020-08-03, 78.03, 85.805, 77.99, 85.05, 151299690, 0.0
2020-08-04, 84.96, 86.32, 83.32, 85.33, 63448293, 0.0
2020-08-05, 85.49, 86.98, 84.7801, 86.71, 52235684, 0.0
2020-08-06, 86.67, 87.29, 82.6702, 84.84, 65531797, 0.0
2020-08-09, 83.111, 83.49, 79.3221, 82.24, 62330615, 0.0
2020-08-10, 80.71, 80.71, 76.1, 76.88, 76642733, 0.0
2020-08-11, 78.43, 82.88, 77.55, 82.61, 86170687, 0.0
2020-08-12, 82.88, 84.02, 81.54, 81.85, 56106319, 0.0
2020-08-13, 81.81, 83.24, 80.88, 81.27, 41263480, 0.0
2020-08-16, 82.09, 83.06, 81.552, 82.42, 29793021, 0.0
2020-08-17, 82.8, 82.88, 81.03, 81.7, 28077951, 0.0
2020-08-18, 81.7757, 81.85, 80.45, 81.095, 36528800, 0.0
2020-08-19, 79.74, 82.84, 79.12, 82.7601, 41692535, 0.0
2020-08-20, 83.29, 84.41, 82.23, 83.815, 47752841, 0.0
2020-08-23, 84.55, 85.33, 82.55, 83.11, 36504810, 0.0
2020-08-24, 83.36, 86.62, 82.35, 86.31, 47447368, 0.0
2020-08-25, 86.9694, 87.72, 85.2, 86.03, 46012435, 0.0
2020-08-26, 86.35, 86.58, 82.94, 83.83, 41551604, 0.0
2020-08-27, 84.3, 86.04, 84.19, 85.55, 39687436, 0.0
2020-08-30, 85.05, 92.64, 85.05, 90.79, 89049936, 0.0
2020-08-31, 91.92, 92.51, 90.1899, 92.22, 54553300, 0.0
2020-09-01, 94.01, 94.28, 88.74, 90.2, 49005200, 0.0
2020-09-02, 87.84, 88.47, 81.59, 82.54, 83812531, 0.0
