Date, Open, High, Low, Close, Volume, OI
2020-06-10, 228.06, 229.78, 218.67, 218.77, 3133082, 0.0
2020-06-11, 221.1, 222.35, 218.77, 219, 1090626, 0.0
2020-06-14, 215.81, 221, 213.8601, 219.88, 3328320, 0.0
2020-06-15, 222.83, 228.875, 222.62, 226.87, 2118187, 0.0
2020-06-16, 228.54, 228.81, 224.53, 226.05, 3003645, 0.0
2020-06-17, 226.86, 231.48, 225.68, 230.29, 2072145, 0.0
2020-06-18, 233.38, 238.41, 231.31, 238.14, 5702260, 0.0
2020-06-21, 236.31, 237.65, 233.06, 234.14, 1726401, 0.0
2020-06-22, 234.87, 239.17, 233.435, 235.86, 1560168, 0.0
2020-06-23, 235.21, 237, 231.4, 232.45, 1558774, 0.0
2020-06-24, 231.5, 235.44, 230.385, 235.12, 1510828, 0.0
2020-06-25, 235.37, 236.86, 231.8227, 232.74, 1743988, 0.0
2020-06-28, 233.4, 234.14, 229.98, 231.77, 1415210, 0.0
2020-06-29, 233.31, 237.32, 231.795, 235.86, 1600156, 0.0
2020-06-30, 235.52, 256.23, 232.58, 255.02, 6151947, 0.0
2020-07-01, 252.87, 261.46, 252.87, 258.25, 2958182, 0.0
2020-07-05, 260.03, 264.97, 253.9, 256.35, 3043921, 0.0
2020-07-06, 253.6, 258.91, 252.09, 253.16, 1962220, 0.0
2020-07-07, 253.15, 253.975, 249.25, 251.62, 1649754, 0.0
2020-07-08, 250.25, 253.8304, 248.835, 251.52, 1413635, 0.0
2020-07-09, 250.65, 251.57, 247.07, 249.22, 1106498, 0.0
2020-07-12, 249.83, 255.43, 249.28, 250.1, 2025015, 0.0
2020-07-13, 242.76, 253.79, 240.48, 253.08, 1774560, 0.0
2020-07-14, 254.57, 254.57, 250.77, 253.31, 1382059, 0.0
2020-07-15, 252.06, 254.8, 249.9238, 254.68, 1156545, 0.0
2020-07-16, 256.7, 259.95, 254.76, 258.44, 1532003, 0.0
2020-07-19, 260.08, 262.815, 258.315, 260.95, 1176078, 0.0
2020-07-20, 258.62, 260.03, 257.28, 257.91, 1232550, 0.0
2020-07-21, 259.79, 260, 255.8, 256.81, 1224521, 0.0
2020-07-22, 259.54, 260, 251.6, 252.15, 1192734, 0.0
2020-07-23, 251.26, 251.83, 245.5, 247.96, 1888381, 0.0
2020-07-26, 247.3, 255.0964, 247.0345, 253.55, 1536006, 0.0
2020-07-27, 254.46, 258.4, 253.77, 255.35, 1781569, 0.0
2020-07-28, 250.4, 252.85, 245.74, 248.85, 2734534, 0.0
2020-07-29, 246.4, 247.82, 245.2, 246.14, 1434705, 0.0
2020-07-30, 245.63, 246.1, 239.3942, 244.68, 2099390, 0.0
2020-08-02, 244.85, 249.02, 244.53, 247.37, 1195789, 0.0
2020-08-03, 245.97, 246.17, 241.3385, 243.68, 1476937, 0.0
2020-08-04, 243.91, 245.41, 240.8, 241.49, 1500271, 0.0
2020-08-05, 240.85, 242.2, 239.105, 241.56, 1504784, 0.0
2020-08-06, 243.58, 243.62, 238.57, 240.48, 1042527, 0.0
2020-08-09, 238.86, 239.13, 236.21, 238.17, 1101101, 0.0
2020-08-10, 238.18, 238.9, 234.36, 234.65, 1961051, 0.0
2020-08-11, 234.69, 243, 234.69, 241.72, 1957941, 0.0
2020-08-12, 241.31, 242.77, 239.61, 240.46, 1158112, 0.0
2020-08-13, 239.2144, 240.06, 238.615, 239.71, 938502, 0.0
2020-08-16, 240.21, 244.74, 240.21, 243.02, 1158062, 0.0
2020-08-17, 243.52, 244.305, 240.02, 241.33, 903140, 0.0
2020-08-18, 241.02, 243.73, 238.5, 240.48, 1383141, 0.0
2020-08-19, 240.13, 240.6888, 237.3, 238.72, 908755, 0.0
2020-08-20, 238.88, 238.88, 235.51, 237.79, 1508385, 0.0
2020-08-23, 237.73, 238.44, 233.56, 235.66, 1125263, 0.0
2020-08-24, 242.9, 249.96, 240.8, 248.22, 5703169, 0.0
2020-08-25, 248.33, 251.38, 245.76, 250.18, 2759557, 0.0
2020-08-26, 252.24, 256.91, 250.41, 252.81, 2875937, 0.0
2020-08-27, 253.4, 254.14, 247.79, 253.12, 4700059, 0.0
2020-08-30, 252.93, 256.05, 250.1, 253.3, 2489576, 0.0
2020-08-31, 250.05, 252.04, 248.68, 250.87, 2465389, 0.0
2020-09-01, 251.22, 258.8, 251.22, 258.13, 2090900, 0.0
2020-09-02, 259.29, 260.0641, 246.35, 247.91, 2452375, 0.0
