Date, Open, High, Low, Close, Volume, OI
2020-06-10, 2603.5, 2671.38, 2536.23, 2558.47, 5177179, 0.0
2020-06-11, 2601.21, 2621.4766, 2566, 2566.705, 2752912, 0.0
2020-06-14, 2526.6, 2584, 2508, 2572.62, 6856018, 0.0
2020-06-15, 2620, 2620, 2576, 2615.13, 3175918, 0.0
2020-06-16, 2647.5, 2655, 2631.82, 2641.72, 5090473, 0.0
2020-06-17, 2647.01, 2659.64, 2636.11, 2655, 2114206, 0.0
2020-06-18, 2678.08, 2697.43, 2659, 2671.86, 8507797, 0.0
2020-06-21, 2684.5, 2713.98, 2669, 2712, 2754781, 0.0
2020-06-22, 2726.02, 2783.11, 2718.04, 2764.42, 3945888, 0.0
2020-06-23, 2780, 2796, 2721, 2733.49, 4148702, 0.0
2020-06-24, 2739.55, 2756.23, 2712.14, 2756.16, 2695963, 0.0
2020-06-25, 2775.056, 2782.5688, 2688, 2692.87, 5446380, 0.0
2020-06-28, 2690.01, 2696.8, 2630.08, 2681.52, 3895727, 0.0
2020-06-29, 2685.065, 2769.63, 2675.03, 2756.09, 3188724, 0.0
2020-06-30, 2757.99, 2895, 2754, 2879.2, 6112148, 0.0
2020-07-01, 2912.01, 2955.56, 2871.102, 2887.56, 6173373, 0.0
2020-07-05, 2934.97, 3059.88, 2930, 3057.16, 6493685, 0.0
2020-07-06, 3058.55, 3069.55, 2990, 3000.12, 4875944, 0.0
2020-07-07, 3022.61, 3083.97, 3012.4302, 3081.88, 4687637, 0.0
2020-07-08, 3115.99, 3193.88, 3074.0017, 3183.81, 6101864, 0.0
2020-07-09, 3191.76, 3215, 3135.7, 3203.36, 5135404, 0.0
2020-07-12, 3251.06, 3344.29, 3068.3901, 3101.55, 7304358, 0.0
2020-07-13, 3089, 3127.38, 2950, 3084.02, 6842135, 0.0
2020-07-14, 3080.23, 3098.35, 2973.1802, 3008.87, 5493280, 0.0
2020-07-15, 2971.06, 3032, 2918.23, 2994.55, 5979324, 0.0
2020-07-16, 3009, 3024, 2948.45, 2961.47, 4387781, 0.0
2020-07-19, 3000.2, 3201.3599, 2994.017, 3195.01, 7081997, 0.0
2020-07-20, 3232.49, 3240.5757, 3105.72, 3141.43, 5766866, 0.0
2020-07-21, 3125, 3150, 3065.26, 3100.23, 3731096, 0.0
2020-07-22, 3098.2712, 3098.2712, 2977.9639, 2987.725, 3491415, 0.0
2020-07-23, 2930, 3031.58, 2888, 3008.92, 5356527, 0.0
2020-07-26, 3062, 3098, 3015.77, 3053.89, 3843776, 0.0
2020-07-27, 3054.27, 3077.0925, 2995.76, 2999.62, 2874548, 0.0
2020-07-28, 3030.99, 3039.1592, 2996.77, 3034.27, 2761363, 0.0
2020-07-29, 3014, 3092, 3005, 3052.65, 4619962, 0.0
2020-07-30, 3244, 3246.82, 3151, 3164.68, 7390222, 0.0
2020-08-02, 3180.51, 3184, 3104, 3111.42, 3755142, 0.0
2020-08-03, 3101.21, 3167.24, 3101.21, 3138.82, 4498038, 0.0
2020-08-04, 3143.77, 3213.586, 3127.3, 3205.83, 3729635, 0.0
2020-08-05, 3194.36, 3247.47, 3165.43, 3224.35, 3776929, 0.0
2020-08-06, 3224.01, 3240.81, 3140.6726, 3165.75, 3698110, 0.0
2020-08-09, 3134.66, 3155.33, 3101.52, 3149.87, 2275412, 0.0
2020-08-10, 3113.2, 3159.22, 3073, 3080.67, 3384016, 0.0
2020-08-11, 3108, 3174.385, 3101.42, 3161, 3099388, 0.0
2020-08-12, 3182.99, 3217.521, 3155, 3161.02, 2859738, 0.0
2020-08-13, 3178.18, 3178.2356, 3120, 3148, 2453638, 0.0
2020-08-16, 3173.12, 3194.97, 3154.1775, 3181.16, 2307380, 0.0
2020-08-17, 3212, 3320, 3205.8186, 3312.49, 5011644, 0.0
2020-08-18, 3303.01, 3315.9, 3256, 3260.15, 3836717, 0.0
2020-08-19, 3252, 3312.62, 3238, 3296.05, 3010116, 0.0
2020-08-20, 3295, 3314.3962, 3275.39, 3284.59, 3298563, 0.0
2020-08-23, 3310.15, 3380.315, 3257.5608, 3307.45, 4293678, 0.0
2020-08-24, 3294.99, 3357.4, 3267, 3346.05, 3781529, 0.0
2020-08-25, 3351.11, 3451.7388, 3344.5674, 3442.06, 6420990, 0.0
2020-08-26, 3450.05, 3453, 3378, 3400.7, 3948873, 0.0
2020-08-27, 3423, 3433.3699, 3386.5, 3401.8, 2555139, 0.0
2020-08-30, 3408.99, 3495, 3405, 3441.91, 3853016, 0.0
2020-08-31, 3489.58, 3513.87, 3467, 3500.47, 3176312, 0.0
2020-09-01, 3547, 3552.25, 3486.685, 3529.34, 3607645, 0.0
2020-09-02, 3485, 3488.41, 3303, 3369.17, 7553385, 0.0
