Date, Open, High, Low, Close, Volume, OI
2020-06-10, 282.21, 286.36, 271.355, 271.89, 362418, 0.0
2020-06-11, 277.74, 280.96, 272.11, 272.3457, 167082, 0.0
2020-06-14, 265.68, 278.725, 265.68, 274.85, 719917, 0.0
2020-06-15, 281.48, 286.75, 278.32, 282.2316, 445176, 0.0
2020-06-16, 284.51, 289.02, 283.5, 285.61, 663164, 0.0
2020-06-17, 286.11, 291.28, 284.01, 289.21, 345246, 0.0
2020-06-18, 292.94, 295.11, 281.36, 281.59, 1287659, 0.0
2020-06-21, 283.49, 289.36, 281.84, 289.21, 425317, 0.0
2020-06-22, 290.49, 294.45, 288.97, 289.34, 288782, 0.0
2020-06-23, 286.71, 290.965, 281.85, 285.27, 364041, 0.0
2020-06-24, 284.63, 287.65, 281.7113, 287.19, 240043, 0.0
2020-06-25, 287.52, 289.14, 280.26, 283.08, 517413, 0.0
2020-06-28, 283.79, 286.2032, 277.125, 282.13, 211526, 0.0
2020-06-29, 282.69, 293.24, 279.99, 292.08, 289831, 0.0
2020-06-30, 291.12, 295.57, 287.33, 294.32, 305648, 0.0
2020-07-01, 295.39, 299.735, 295.39, 298.04, 249634, 0.0
2020-07-05, 300.19, 307.31, 299.4, 301.67, 384545, 0.0
2020-07-06, 301.42, 306.23, 299.16, 299.32, 267263, 0.0
2020-07-07, 301.69, 303.09, 297.62, 301.9, 158846, 0.0
2020-07-08, 302.57, 307.6, 301.19, 304.35, 359554, 0.0
2020-07-09, 303.25, 305.11, 298.84, 301.38, 167108, 0.0
2020-07-12, 303.67, 306.26, 293.73, 295.57, 345586, 0.0
2020-07-13, 291.19, 301.27, 289.08, 301, 391314, 0.0
2020-07-14, 301.27, 304.49, 297.26, 301.03, 245934, 0.0
2020-07-15, 299.72, 299.72, 291.445, 295.565, 313620, 0.0
2020-07-16, 297.1, 301.45, 293.57, 301.12, 216991, 0.0
2020-07-19, 301.48, 309.57, 299.88, 309.1, 209012, 0.0
2020-07-20, 309.88, 310.05, 303.76, 305.76, 303559, 0.0
2020-07-21, 307.62, 310, 304.71, 307.09, 189460, 0.0
2020-07-22, 307.13, 309.34, 298.56, 300.06, 223543, 0.0
2020-07-23, 297.15, 298.03, 291.55, 293.45, 562178, 0.0
2020-07-26, 294.97, 300.62, 294.97, 300.11, 196843, 0.0
2020-07-27, 299.87, 303.27, 296.78, 297.94, 188053, 0.0
2020-07-28, 300.98, 308.33, 300.56, 306.05, 211967, 0.0
2020-07-29, 302.16, 311.47, 300.14, 309.66, 297423, 0.0
2020-07-30, 312.56, 312.56, 304.81, 310.6, 180335, 0.0
2020-08-02, 311.62, 316.52, 310.59, 315.22, 211167, 0.0
2020-08-03, 313.76, 314.94, 307.16, 308.54, 419751, 0.0
2020-08-04, 312.06, 319.83, 309.875, 312.17, 347532, 0.0
2020-08-05, 313.05, 319.83, 311.1, 315.25, 449786, 0.0
2020-08-06, 313.85, 318, 308.75, 312.38, 249139, 0.0
2020-08-09, 307.11, 309.08, 301.56, 308.78, 286031, 0.0
2020-08-10, 307.87, 307.87, 300.48, 302.12, 231860, 0.0
2020-08-11, 302.28, 310.1, 302.28, 308.4, 176289, 0.0
2020-08-12, 309.41, 319.43, 309.41, 314.63, 257525, 0.0
2020-08-13, 314.24, 317.08, 311.06, 313.19, 137617, 0.0
2020-08-16, 315.15, 319.675, 315.15, 317.53, 179409, 0.0
2020-08-17, 319.56, 322.405, 317.54, 320.23, 226063, 0.0
2020-08-18, 321.51, 322.86, 316.22, 319.67, 172016, 0.0
2020-08-19, 319.14, 328.92, 318.78, 328.32, 255441, 0.0
2020-08-20, 327.92, 327.92, 322.38, 324.4, 349610, 0.0
2020-08-23, 327.41, 330.32, 322.66, 325.25, 321061, 0.0
2020-08-24, 325.75, 328.97, 324.165, 326.5, 195036, 0.0
2020-08-25, 324.41, 333.23, 324.295, 331.38, 242944, 0.0
2020-08-26, 334.51, 334.89, 327.72, 332.5, 187688, 0.0
2020-08-27, 332.36, 336.72, 332.26, 336.72, 179278, 0.0
2020-08-30, 336.65, 340.03, 334.64, 339.02, 263090, 0.0
2020-08-31, 338.95, 345.395, 338.22, 343.88, 283155, 0.0
2020-09-01, 354.87, 354.87, 343.68, 350.51, 292353, 0.0
2020-09-02, 344.55, 346.88, 328.24, 332.2, 411922, 0.0
