Date, Open, High, Low, Close, Volume, OI
2020-06-10, 341.6, 344.82, 332.8, 333.11, 783347, 0.0
2020-06-11, 346.26, 347.265, 340.86, 340.86, 417678, 0.0
2020-06-14, 337.51, 350.01, 336.63, 350.01, 1063474, 0.0
2020-06-15, 351.25, 355, 347.04, 352.05, 768285, 0.0
2020-06-16, 361.38, 365.75, 360.41, 361.93, 1260826, 0.0
2020-06-17, 359.58, 361.8, 356.54, 358.88, 392088, 0.0
2020-06-18, 364.73, 368.1432, 359.59, 360.68, 1218608, 0.0
2020-06-21, 362.38, 364.9253, 359.82, 364.09, 500424, 0.0
2020-06-22, 370.61, 371.8, 366.55, 366.84, 577905, 0.0
2020-06-23, 365.59, 367.56, 359.53, 361.31, 558493, 0.0
2020-06-24, 362.47, 366.93, 358.58, 366.31, 421197, 0.0
2020-06-25, 367.43, 368.2, 361, 361.83, 421629, 0.0
2020-06-28, 362.93, 365.1, 358.11, 365.1, 471312, 0.0
2020-06-29, 362.2156, 368.91, 362.19, 367.64, 610563, 0.0
2020-06-30, 368.03, 370.19, 365.27, 367.6, 482968, 0.0
2020-07-01, 373.56, 375.875, 372.41, 373.15, 403903, 0.0
2020-07-05, 386.28, 389.49, 383.5, 385.39, 703090, 0.0
2020-07-06, 385.4, 388.61, 381.87, 382.15, 364167, 0.0
2020-07-07, 388.83, 392.15, 386.89, 391.45, 521943, 0.0
2020-07-08, 395.45, 395.68, 386.1, 394.5, 587193, 0.0
2020-07-09, 399.08, 399.19, 391.95, 395.84, 611997, 0.0
2020-07-12, 397.86, 402.865, 387.87, 388.57, 831539, 0.0
2020-07-13, 386.63, 397.55, 385.41, 396.36, 803786, 0.0
2020-07-14, 387.17, 387.69, 372.51, 375.14, 1569511, 0.0
2020-07-15, 374.1, 393.8599, 372.82, 385.265, 2112056, 0.0
2020-07-16, 385.43, 387.05, 380.11, 383.37, 947454, 0.0
2020-07-19, 383.91, 392.47, 382.08, 391.2839, 864780, 0.0
2020-07-20, 392.14, 392.29, 383.155, 383.82, 763473, 0.0
2020-07-21, 392.62, 394.55, 389.75, 392.73, 648641, 0.0
2020-07-22, 390.05, 394.21, 383.495, 383.91, 506960, 0.0
2020-07-23, 371.01, 375.16, 366.77, 367.69, 1526202, 0.0
2020-07-26, 377.99, 383.79, 376.26, 381.77, 1011229, 0.0
2020-07-27, 381.11, 381.74, 376.19, 376.37, 424951, 0.0
2020-07-28, 365, 366.16, 361.69, 364.66, 1352414, 0.0
2020-07-29, 355.85, 362.82, 354.86, 362.73, 942722, 0.0
2020-07-30, 361.95, 362.16, 350.7435, 353.64, 893666, 0.0
2020-08-02, 361.02, 367.15, 359.82, 366.98, 674116, 0.0
2020-08-03, 368.43, 371.87, 368.2, 370.33, 770049, 0.0
2020-08-04, 371.01, 373.21, 366.71, 368.61, 542568, 0.0
2020-08-05, 368.05, 369.56, 364.175, 369.16, 354904, 0.0
2020-08-06, 370.74, 371.17, 362.3284, 366.11, 520203, 0.0
2020-08-09, 363.93, 366.78, 359.54, 365.49, 428053, 0.0
2020-08-10, 366.04, 369.37, 360.66, 361.3, 557186, 0.0
2020-08-11, 366.59, 376.03, 365.64, 374.6201, 515612, 0.0
2020-08-12, 376.58, 378.14, 373, 375.15, 429554, 0.0
2020-08-13, 371.08, 374.145, 369.665, 371.3347, 468385, 0.0
2020-08-16, 376.66, 380.5, 376.25, 378.358, 385600, 0.0
2020-08-17, 383.61, 383.98, 376.985, 377.56, 436326, 0.0
2020-08-18, 380.39, 380.43, 373.96, 374.99, 316289, 0.0
2020-08-19, 369.54, 373.38, 368.38, 372.17, 456512, 0.0
2020-08-20, 366.15, 372.13, 365.54, 371.955, 540543, 0.0
2020-08-23, 380.25, 380.8, 374.53, 378.23, 549925, 0.0
2020-08-24, 379.3, 380.83, 376.27, 380.83, 338250, 0.0
2020-08-25, 380.09, 386.665, 380.08, 385.92, 354364, 0.0
2020-08-26, 386.72, 386.8, 373.24, 376.12, 602763, 0.0
2020-08-27, 376.12, 379.89, 374.8, 379.83, 435754, 0.0
2020-08-30, 375.92, 378.44, 373.31, 374.18, 479804, 0.0
2020-08-31, 384.11, 386.9, 382.33, 386.89, 566644, 0.0
2020-09-01, 395.6552, 401.15, 390.49, 398.3, 850627, 0.0
2020-09-02, 389.1, 389.31, 370.08, 376.03, 1161109, 0.0
