Date, Open, High, Low, Close, Volume, OI
2020-06-10, 72.87, 74.35, 71.02, 71.29, 6556697, 0.0
2020-06-11, 71.5, 73.21, 71.23, 71.945, 2829486, 0.0
2020-06-14, 71.48, 73.55, 71.27, 73.2, 11714490, 0.0
2020-06-15, 74, 74.19, 72.23, 72.95, 5738026, 0.0
2020-06-16, 73.69, 76.48, 73.31, 75.55, 23553114, 0.0
2020-06-17, 75.99, 76.37, 74.89, 76.01, 5981210, 0.0
2020-06-18, 76.18, 76.75, 75.09, 76.58, 13267331, 0.0
2020-06-21, 76.67, 77.2, 75.87, 76.13, 4711289, 0.0
2020-06-22, 76.73, 77.63, 76.22, 76.42, 4056494, 0.0
2020-06-23, 76.46, 77.17, 74.43, 75.58, 5932320, 0.0
2020-06-24, 76.61, 76.77, 74.46, 76.22, 5036858, 0.0
2020-06-25, 76.54, 76.84, 74.65, 76.44, 5532078, 0.0
2020-06-28, 75.82, 76.515, 74.93, 75.46, 4399751, 0.0
2020-06-29, 75.69, 76.43, 75.42, 75.87, 5132642, 0.0
2020-06-30, 75.45, 78.23, 74.97, 78.03, 9558861, 0.0
2020-07-01, 78.86, 79.11, 77.045, 77.53, 4676571, 0.0
2020-07-05, 78.46, 79.44, 78.05, 78.67, 5365900, 0.0
2020-07-06, 79, 80.38, 78.39, 78.505, 5341863, 0.0
2020-07-07, 79.06, 79.345, 77.97, 79.25, 4338085, 0.0
2020-07-08, 79.93, 80.74, 78.8213, 80.63, 5444066, 0.0
2020-07-09, 80.72, 81.5254, 79.63, 81.27, 4878966, 0.0
2020-07-12, 82.01, 82.05, 77.52, 78, 6414383, 0.0
2020-07-13, 76.81, 79.89, 76.21, 79.77, 4415795, 0.0
2020-07-14, 78.52, 79.585, 77.455, 79.15, 4846837, 0.0
2020-07-15, 78.88, 79.48, 77.87, 79.32, 3078891, 0.0
2020-07-16, 79.41, 79.85, 77.95, 78.66, 4998803, 0.0
2020-07-19, 79.07, 81.37, 78.68, 81.16, 4683930, 0.0
2020-07-20, 81.645, 81.83, 79.62, 80.77, 4819919, 0.0
2020-07-21, 80.97, 81.38, 80.42, 81.09, 2511273, 0.0
2020-07-22, 81.49, 82.67, 79.38, 79.62, 4074423, 0.0
2020-07-23, 79.32, 80.745, 78.12, 79.99, 4026222, 0.0
2020-07-26, 80.6, 81.795, 80.59, 81.64, 2838527, 0.0
2020-07-27, 81.37, 81.86, 80.59, 80.75, 2897829, 0.0
2020-07-28, 81.26, 81.44, 80.62, 81.19, 2693980, 0.0
2020-07-29, 80.6, 82.02, 79.91, 81.69, 3666888, 0.0
2020-07-30, 82.81, 83.45, 81.76, 82.62, 6725720, 0.0
2020-08-02, 84.41, 85.05, 82.87, 84.79, 5981473, 0.0
2020-08-03, 86.77, 87.04, 83.95, 86.44, 14022482, 0.0
2020-08-04, 84.65, 86.02, 83.35, 84.31, 10153094, 0.0
2020-08-05, 87.55, 87.7265, 85.5, 86.85, 8507963, 0.0
2020-08-06, 84.43, 85.4, 80.99, 82.46, 8599984, 0.0
2020-08-09, 82.51, 82.645, 80.84, 82.26, 4774127, 0.0
2020-08-10, 81.51, 81.51, 78.7, 79.12, 8467020, 0.0
2020-08-11, 79.58, 81.99, 79.58, 81.71, 5369056, 0.0
2020-08-12, 82.28, 82.98, 81.2, 81.26, 4957830, 0.0
2020-08-13, 81.97, 82.3, 79.98, 80.39, 8801200, 0.0
2020-08-16, 80.97, 82.05, 80.1686, 81.99, 5951930, 0.0
2020-08-17, 82.6, 83.2799, 81.59, 83.16, 4046134, 0.0
2020-08-18, 82.95, 83.73, 81.73, 81.99, 4762039, 0.0
2020-08-19, 82.02, 84.22, 81.8613, 83.989, 4555009, 0.0
2020-08-20, 84.05, 84.09, 82.73, 83.21, 3370566, 0.0
2020-08-23, 83.34, 83.66, 81.91, 83.07, 3592339, 0.0
2020-08-24, 82.93, 83.845, 82.3685, 83.6027, 3246784, 0.0
2020-08-25, 83.83, 84.94, 83.54, 84.48, 6170083, 0.0
2020-08-26, 85, 85, 82.775, 83.93, 3867561, 0.0
2020-08-27, 83.95, 84.03, 82.31, 83.22, 3897322, 0.0
2020-08-30, 82.81, 83.9299, 82.69, 83.54, 4181887, 0.0
2020-08-31, 83.8438, 84.49, 82.6, 83.32, 5278757, 0.0
2020-09-01, 83.58, 84.02, 82.475, 83.44, 6409262, 0.0
2020-09-02, 82.96, 83, 79.411, 80.32, 7306852, 0.0
