Date, Open, High, Low, Close, Volume, OI
2020-06-10, 307.62, 308.55, 293.4, 293.67, 3676176, 0.0
2020-06-11, 302.82, 303.95, 296.62, 296.63, 1378114, 0.0
2020-06-14, 295, 306.75, 292.41, 304.47, 5173736, 0.0
2020-06-15, 310, 314.55, 304, 311.07, 2454882, 0.0
2020-06-16, 313.42, 316.71, 311.79, 313.51, 3470610, 0.0
2020-06-17, 312.12, 319.1184, 311.52, 318.83, 3077185, 0.0
2020-06-18, 317.68, 318.1, 303.46, 303.9, 7295987, 0.0
2020-06-21, 305.5, 314.18, 303.53, 313.32, 2333706, 0.0
2020-06-22, 315.06, 317.44, 311.29, 311.46, 1883522, 0.0
2020-06-23, 309.2, 310.97, 304.51, 306.82, 1532727, 0.0
2020-06-24, 306.06, 309.48, 303, 308.84, 1235532, 0.0
2020-06-25, 313.57, 315.7799, 303.15, 307.57, 2176988, 0.0
2020-06-28, 308.07, 310.41, 304.4506, 310.22, 1149494, 0.0
2020-06-29, 309.95, 317.07, 306.75, 315.53, 1765785, 0.0
2020-06-30, 315.11, 316.85, 311.935, 312.93, 1284601, 0.0
2020-07-01, 317.7465, 319.38, 314.6611, 315.47, 1361012, 0.0
2020-07-05, 320, 320.99, 317.34, 318.79, 1452378, 0.0
2020-07-06, 317.34, 318.16, 312.55, 313.12, 1339752, 0.0
2020-07-07, 316.14, 319.84, 314.12, 319.75, 1433795, 0.0
2020-07-08, 320.01, 324.33, 315.245, 321.5, 2292029, 0.0
2020-07-09, 321.91, 322.99, 315.44, 319.46, 1119490, 0.0
2020-07-12, 321.68, 323.53, 310.585, 311.36, 1803982, 0.0
2020-07-13, 308.99, 316.22, 305.19, 315.04, 1391146, 0.0
2020-07-14, 315.95, 317.77, 310.1659, 313.78, 1247864, 0.0
2020-07-15, 310.61, 313.88, 309.3, 311.23, 1016262, 0.0
2020-07-16, 314.15, 315.21, 310, 312.8, 1071715, 0.0
2020-07-19, 311.85, 317.65, 310.285, 317.14, 1157080, 0.0
2020-07-20, 319.23, 319.23, 312.67, 314.36, 1111997, 0.0
2020-07-21, 315.01, 315.68, 310.37, 313.74, 1044539, 0.0
2020-07-22, 313.37, 316.09, 308.6, 309.68, 1119174, 0.0
2020-07-23, 306.59, 310.91, 304.18, 305.79, 1280193, 0.0
2020-07-26, 308.3, 312.96, 307.485, 312.81, 1674504, 0.0
2020-07-27, 311.18, 312.11, 306.16, 307.45, 1175863, 0.0
2020-07-28, 308.53, 311.23, 307.44, 308.85, 1230744, 0.0
2020-07-29, 306, 312.93, 306, 312.09, 1600196, 0.0
2020-07-30, 314.7, 318.4, 311.4, 316.72, 1923760, 0.0
2020-08-02, 318, 323.49, 317.28, 321.24, 1186892, 0.0
2020-08-03, 320.5, 328.59, 320.39, 328.56, 1994214, 0.0
2020-08-04, 328.25, 331.58, 325.8, 329.73, 1932370, 0.0
2020-08-05, 327.77, 330.88, 325.4101, 329.2, 1127154, 0.0
2020-08-06, 328.39, 329.73, 321.48, 325.93, 1171378, 0.0
2020-08-09, 326.32, 329.27, 324.0601, 327.36, 833644, 0.0
2020-08-10, 327.57, 333.32, 322.76, 324.03, 1762897, 0.0
2020-08-11, 325.85, 335.88, 325.355, 333.37, 1485577, 0.0
2020-08-12, 332.21, 333.41, 327.85, 329.44, 1336853, 0.0
2020-08-13, 328.02, 329.85, 326, 327.81, 837025, 0.0
2020-08-16, 329.51, 331.79, 329, 330.37, 760847, 0.0
2020-08-17, 331.86, 333.18, 328.14, 328.6, 724354, 0.0
2020-08-18, 329.47, 333.09, 328.24, 329.34, 857253, 0.0
2020-08-19, 327.69, 329.99, 326.06, 328.83, 703171, 0.0
2020-08-20, 328.3, 330.46, 325, 330.09, 867126, 0.0
2020-08-23, 332.0102, 336.19, 331.14, 334.19, 1005896, 0.0
2020-08-24, 335, 337.09, 333, 336.23, 983726, 0.0
2020-08-25, 334.74, 341.51, 333.51, 339.69, 1268388, 0.0
2020-08-26, 340.49, 341.3, 336.14, 339.15, 1097364, 0.0
2020-08-27, 339, 344.82, 337.7, 344.815, 1165170, 0.0
2020-08-30, 343.52, 350.58, 343.52, 347.14, 1734779, 0.0
2020-08-31, 350, 362.07, 347.42, 359.54, 2457732, 0.0
2020-09-01, 365.86, 378.96, 363.5673, 375, 3335672, 0.0
2020-09-02, 366.01, 368.9, 350.16, 352.74, 3262699, 0.0
