Date, Open, High, Low, Close, Volume, OI
2020-06-10, 112.63, 114.08, 111, 111.88, 3452376, 0.0
2020-06-11, 114.5, 116.85, 114.3602, 115.36, 2225400, 0.0
2020-06-14, 113.39, 117.17, 113.06, 116.81, 5772501, 0.0
2020-06-15, 127.25, 128.28, 122.2, 122.66, 8808382, 0.0
2020-06-16, 123, 123.71, 121.11, 122.05, 5990072, 0.0
2020-06-17, 122.03, 123.96, 120.79, 123.42, 1914882, 0.0
2020-06-18, 124.94, 125.64, 122.31, 123.09, 5137687, 0.0
2020-06-21, 122.37, 123.17, 120.12, 123.17, 2355659, 0.0
2020-06-22, 123.81, 124, 122.5, 123.35, 2237421, 0.0
2020-06-23, 122.05, 122.925, 119.4, 121.33, 3141108, 0.0
2020-06-24, 120.39, 123.76, 120.39, 123.74, 2060693, 0.0
2020-06-25, 123.25, 124.97, 120.93, 121.8, 2111671, 0.0
2020-06-28, 121.01, 122.35, 118.52, 121.35, 1928873, 0.0
2020-06-29, 120.35, 121.98, 119.12, 119.78, 1912519, 0.0
2020-06-30, 119.89, 121.14, 119.15, 120.7, 2021888, 0.0
2020-07-01, 123.22, 124.82, 122.37, 123.22, 2720584, 0.0
2020-07-05, 129.01, 133.14, 128.05, 132.99, 4941359, 0.0
2020-07-06, 130, 132, 127.82, 127.8304, 2511418, 0.0
2020-07-07, 131.01, 131.01, 128.06, 130.74, 2692099, 0.0
2020-07-08, 134.01, 135.44, 130.23, 132.53, 3637909, 0.0
2020-07-09, 130.75, 132.53, 130.27, 132.41, 1938296, 0.0
2020-07-12, 133.702, 133.86, 127.68, 127.83, 4341729, 0.0
2020-07-13, 125, 126.15, 122.5, 125.51, 3631496, 0.0
2020-07-14, 126.96, 127, 124.05, 124.98, 1913975, 0.0
2020-07-15, 121.33, 123.595, 120.94, 123.46, 2090054, 0.0
2020-07-16, 125, 125, 121.8775, 122.77, 1582178, 0.0
2020-07-19, 122.77, 124.87, 122.655, 124.43, 1656303, 0.0
2020-07-20, 125.989, 126.2736, 123.7314, 125.31, 2004291, 0.0
2020-07-21, 123.58, 123.79, 120.97, 122.77, 2701518, 0.0
2020-07-22, 122.21, 122.67, 120.01, 121.1, 1630117, 0.0
2020-07-23, 117.5, 119.06, 116.39, 119.02, 2520520, 0.0
2020-07-26, 117.74, 118, 114.86, 115.93, 2707171, 0.0
2020-07-27, 115.75, 116.49, 114.75, 115.69, 1835094, 0.0
2020-07-28, 116.46, 120.45, 116.44, 119.81, 2237498, 0.0
2020-07-29, 118.17, 119.17, 117.3, 118, 1573173, 0.0
2020-07-30, 118.86, 120.19, 116.7, 119.4, 1811009, 0.0
2020-08-02, 120.29, 121.29, 119.05, 120.55, 1501928, 0.0
2020-08-03, 120.14, 127.06, 120.14, 126.67, 3459659, 0.0
2020-08-04, 127, 127.38, 124.92, 125.85, 1607339, 0.0
2020-08-05, 125.34, 126.02, 123.27, 125.64, 1606739, 0.0
2020-08-06, 122.5, 125.09, 121.0778, 125.01, 2974405, 0.0
2020-08-09, 125.06, 125.56, 123.97, 125.06, 2345090, 0.0
2020-08-10, 125.23, 127.79, 124.37, 124.6, 1849365, 0.0
2020-08-11, 126.23, 128.25, 125.83, 126.11, 1829479, 0.0
2020-08-12, 126.67, 126.83, 124.04, 124.65, 3262496, 0.0
2020-08-13, 118.4, 118.57, 115.59, 116.73, 9911296, 0.0
2020-08-16, 117.99, 124.6761, 117.67, 123.85, 6088290, 0.0
2020-08-17, 123.83, 126.59, 123.7, 124.2, 3473264, 0.0
2020-08-18, 124.13, 124.13, 121.14, 122.71, 2475153, 0.0
2020-08-19, 121.79, 123.56, 121.25, 123.51, 2020279, 0.0
2020-08-20, 121.54, 123.65, 121.1, 122.43, 2430872, 0.0
2020-08-23, 123.87, 124.73, 122.45, 122.89, 2012546, 0.0
2020-08-24, 122.68, 126.05, 121.935, 125.72, 3413174, 0.0
2020-08-25, 125.95, 128, 123.66, 127.47, 3106637, 0.0
2020-08-26, 127.47, 128.39, 125.67, 127.17, 2463072, 0.0
2020-08-27, 127.12, 129.03, 126.58, 128.95, 1679491, 0.0
2020-08-30, 125.81, 127.67, 124.5, 124.5, 3339767, 0.0
2020-08-31, 125.37, 127.09, 124.93, 126.93, 1464497, 0.0
2020-09-01, 127.55, 129.03, 123.58, 124.26, 2385952, 0.0
2020-09-02, 123.47, 124.21, 119.63, 121.42, 3290233, 0.0
