Date, Open, High, Low, Close, Volume, OI
2020-06-10, 293.66, 294.39, 281.2, 283.24, 1335510, 0.0
2020-06-11, 286.06, 286.96, 280.405, 280.62, 601012, 0.0
2020-06-14, 276.36, 278.99, 272.02, 278.35, 3797189, 0.0
2020-06-15, 282.01, 285.96, 280.22, 282.12, 1532314, 0.0
2020-06-16, 283.6, 285.28, 279.68, 281.44, 3468399, 0.0
2020-06-17, 261.08, 270.19, 258.95, 260.42, 6044297, 0.0
2020-06-18, 261.75, 271.99, 259.8, 270.9, 7462945, 0.0
2020-06-21, 266.5, 267.36, 261.23, 264.291, 1896186, 0.0
2020-06-22, 266.37, 273.01, 265.49, 268.2, 1547844, 0.0
2020-06-23, 266.9, 271.42, 261.79, 263.04, 1266548, 0.0
2020-06-24, 262.42, 263.42, 258.75, 262.63, 1136805, 0.0
2020-06-25, 262.76, 262.99, 257.6, 258.64, 1381947, 0.0
2020-06-28, 260.84, 263.68, 258.395, 260.3, 772568, 0.0
2020-06-29, 260.95, 268.47, 260.37, 267.46, 1028377, 0.0
2020-06-30, 266.89, 269.315, 261.87, 264.77, 970669, 0.0
2020-07-01, 265.49, 267.98, 264.12, 265.28, 819168, 0.0
2020-07-05, 268.04, 270.71, 267.13, 269.79, 687612, 0.0
2020-07-06, 269.3, 272.05, 267.57, 268.29, 936713, 0.0
2020-07-07, 294.323, 294.99, 278.17, 280.19, 2984448, 0.0
2020-07-08, 282.3, 282.99, 274.28, 278.89, 995965, 0.0
2020-07-09, 277.18, 279.49, 275.35, 278.85, 717227, 0.0
2020-07-12, 279.28, 282.86, 275.9, 276.64, 713517, 0.0
2020-07-13, 275.15, 281.76, 274.14, 281.05, 701007, 0.0
2020-07-14, 282.13, 284.69, 280.39, 282.93, 809473, 0.0
2020-07-15, 282.22, 282.32, 276.81, 279.525, 550456, 0.0
2020-07-16, 280.66, 283.48, 279.2695, 281.9, 676554, 0.0
2020-07-19, 281.14, 284.225, 281.14, 283.27, 629983, 0.0
2020-07-20, 285, 285, 280.03, 280.19, 762060, 0.0
2020-07-21, 285.36, 286.48, 279.104, 280.81, 1185424, 0.0
2020-07-22, 282.26, 282.26, 277.53, 278.51, 577799, 0.0
2020-07-23, 277.26, 277.32, 270.662, 272.41, 761436, 0.0
2020-07-26, 282.68, 287.25, 279.55, 286.06, 1765190, 0.0
2020-07-27, 286.27, 287, 280.16, 280.36, 1024475, 0.0
2020-07-28, 281.19, 283.42, 274.8886, 277.36, 718012, 0.0
2020-07-29, 273.02, 277.44, 272.94, 274.85, 601000, 0.0
2020-07-30, 273.44, 274.71, 269.31, 274.71, 1006760, 0.0
2020-08-02, 274.7, 279.91, 274.7, 278.11, 653139, 0.0
2020-08-03, 278.08, 278.6, 275.25, 276.08, 738590, 0.0
2020-08-04, 276.65, 278.63, 274.425, 275.95, 721522, 0.0
2020-08-05, 275.76, 279, 274.95, 277.72, 664442, 0.0
2020-08-06, 311.14, 312, 299.285, 305.53, 3976887, 0.0
2020-08-09, 307.27, 307.355, 298.42, 300.01, 1165256, 0.0
2020-08-10, 300.27, 301.5, 289.17, 289.94, 1256588, 0.0
2020-08-11, 290.69, 296.27, 290.69, 293.24, 830412, 0.0
2020-08-12, 291.87, 294.09, 287.335, 288.53, 747363, 0.0
2020-08-13, 287.99, 290.545, 287.79, 289.44, 499341, 0.0
2020-08-16, 289.8542, 294.94, 288.32, 289.17, 830410, 0.0
2020-08-17, 289.3, 291.19, 285.05, 288.88, 892153, 0.0
2020-08-18, 284.8, 286.95, 279.46, 280.07, 1234931, 0.0
2020-08-19, 278.39, 279.34, 275.06, 277.3, 879429, 0.0
2020-08-20, 277.65, 278.22, 274.64, 277.07, 772870, 0.0
2020-08-23, 277.48, 279.72, 274.89, 276.56, 934486, 0.0
2020-08-24, 276.27, 281.105, 275.63, 279.13, 798194, 0.0
2020-08-25, 279.14, 281.6, 276, 279.1, 794110, 0.0
2020-08-26, 280.15, 282.39, 278.37, 279.26, 831659, 0.0
2020-08-27, 279.52, 281.77, 278.89, 281.46, 706490, 0.0
2020-08-30, 281.65, 287.95, 280.78, 287.67, 1006507, 0.0
2020-08-31, 287.48, 287.62, 277.31, 279.84, 1142387, 0.0
2020-09-01, 281.06, 288.03, 280.54, 285.53, 903871, 0.0
2020-09-02, 286.22, 287.37, 274.02, 276.14, 1257739, 0.0
