Date, Open, High, Low, Close, Volume, OI
2020-06-10, 1655.85, 1656.76, 1576.57, 1587.66, 834814, 0.0
2020-06-11, 1653.57, 1663.9948, 1615.2, 1616.2, 237852, 0.0
2020-06-14, 1567.66, 1664.925, 1555.01, 1651.14, 702709, 0.0
2020-06-15, 1716.32, 1721.85, 1641.75, 1675.32, 391315, 0.0
2020-06-16, 1677.92, 1678.575, 1626.01, 1638.54, 591577, 0.0
2020-06-17, 1622.4, 1658, 1590.93, 1628.115, 474997, 0.0
2020-06-18, 1654, 1657.4904, 1600, 1626.56, 990539, 0.0
2020-06-21, 1609.74, 1636.29, 1593.8667, 1636.29, 276775, 0.0
2020-06-22, 1652.3, 1678.5, 1640, 1676.81, 306857, 0.0
2020-06-23, 1660.71, 1669.7699, 1582, 1611.69, 525984, 0.0
2020-06-24, 1585.81, 1623.97, 1561.72, 1616.11, 477199, 0.0
2020-06-25, 1597.3, 1611.71, 1532.83, 1538.83, 487079, 0.0
2020-06-28, 1567.77, 1595.3, 1540.48, 1592.34, 310529, 0.0
2020-06-29, 1583.9, 1603.24, 1566.42, 1593.07, 223893, 0.0
2020-06-30, 1606.05, 1670, 1601.14, 1659.38, 508820, 0.0
2020-07-01, 1690.11, 1714.0887, 1658.4, 1669.95, 295582, 0.0
2020-07-05, 1706.19, 1738, 1680.17, 1705.74, 276275, 0.0
2020-07-06, 1681.36, 1697.33, 1654.6556, 1656.39, 214327, 0.0
2020-07-07, 1662, 1665.955, 1633.25, 1663.66, 268361, 0.0
2020-07-08, 1671.9, 1679.7, 1627.48, 1670.19, 373079, 0.0
2020-07-09, 1660.68, 1708.8, 1652.98, 1708.55, 278227, 0.0
2020-07-12, 1720.89, 1739.575, 1685.01, 1686.89, 337404, 0.0
2020-07-13, 1668.69, 1703.56, 1652.685, 1697.33, 198045, 0.0
2020-07-14, 1747, 1802.73, 1745.04, 1797.64, 597774, 0.0
2020-07-15, 1767.21, 1773.5, 1730.67, 1749.78, 203589, 0.0
2020-07-16, 1757.12, 1757.12, 1719.04, 1732.68, 246650, 0.0
2020-07-19, 1724.01, 1748, 1700.42, 1715.08, 244121, 0.0
2020-07-20, 1735.91, 1762.67, 1703.61, 1711.72, 319528, 0.0
2020-07-21, 1717.96, 1728.32, 1681.25, 1721.09, 305822, 0.0
2020-07-22, 1721.28, 1729.33, 1694.01, 1694.09, 162045, 0.0
2020-07-23, 1678.27, 1709.24, 1671.965, 1700.04, 253580, 0.0
2020-07-26, 1690.64, 1711.88, 1671.005, 1704.62, 176273, 0.0
2020-07-27, 1696.34, 1702.84, 1677.29, 1684.59, 175831, 0.0
2020-07-28, 1688.86, 1724.4, 1676.95, 1708.11, 262326, 0.0
2020-07-29, 1683.8, 1699.21, 1657.16, 1686.16, 167336, 0.0
2020-07-30, 1687.87, 1692.25, 1625.61, 1662.14, 232284, 0.0
2020-08-02, 1665.91, 1669.89, 1634.685, 1652.38, 129571, 0.0
2020-08-03, 1641, 1680, 1635.345, 1674.86, 198430, 0.0
2020-08-04, 1700.13, 1734.43, 1683.39, 1724.64, 276025, 0.0
2020-08-05, 1702, 1765.98, 1700.73, 1749.01, 338626, 0.0
2020-08-06, 1813.4, 1821.45, 1742, 1752, 515309, 0.0
2020-08-09, 1746.24, 1785.89, 1731.05, 1771.185, 262678, 0.0
2020-08-10, 1818.27, 1847.42, 1800.01, 1805.11, 434134, 0.0
2020-08-11, 1816.3, 1828, 1805.5, 1808.06, 231883, 0.0
2020-08-12, 1799.06, 1823.98, 1789, 1790.92, 173041, 0.0
2020-08-13, 1780, 1787.22, 1768.265, 1777.03, 230195, 0.0
2020-08-16, 1792.39, 1792.39, 1750, 1754.15, 177919, 0.0
2020-08-17, 1750, 1792, 1744.13, 1780.44, 199173, 0.0
2020-08-18, 1783.01, 1807.09, 1760.32, 1770.15, 255095, 0.0
2020-08-19, 1751.9, 1774.95, 1746.01, 1770.51, 171886, 0.0
2020-08-20, 1763, 1785.05, 1754.67, 1780.64, 203270, 0.0
2020-08-23, 1803.56, 1837.72, 1796.935, 1834.84, 296398, 0.0
2020-08-24, 1836.02, 1858.29, 1816.41, 1850.6, 269107, 0.0
2020-08-25, 1838.8, 1883.97, 1835.01, 1867.78, 326230, 0.0
2020-08-26, 1892.58, 1924.86, 1874.27, 1893.54, 356764, 0.0
2020-08-27, 1896.15, 1955.605, 1895.23, 1945.36, 273379, 0.0
2020-08-30, 1922.47, 1936.5, 1908.13, 1909.45, 239380, 0.0
2020-08-31, 1905.13, 1937, 1899.73, 1929.435, 262490, 0.0
2020-09-01, 1940, 1955.4, 1895.65, 1950.25, 282723, 0.0
2020-09-02, 1952.15, 1966.2227, 1909.89, 1946.31, 380104, 0.0
