Date, Open, High, Low, Close, Volume, OI
2020-06-10, 106.68, 107.29, 103.91, 103.95, 1011498, 0.0
2020-06-11, 106.06, 106.805, 104.59, 104.59, 559938, 0.0
2020-06-14, 105.03, 106.8, 103.3824, 105.76, 1774678, 0.0
2020-06-15, 107.86, 107.9, 105.01, 106.47, 817976, 0.0
2020-06-16, 106.49, 113.84, 103.85, 111.35, 4540972, 0.0
2020-06-17, 114.37, 115.95, 112.25, 113.83, 1588263, 0.0
2020-06-18, 114.14, 124.95, 113.83, 124.05, 5792950, 0.0
2020-06-21, 122.38, 123.77, 118.38, 122.43, 2069055, 0.0
2020-06-22, 123.01, 123.81, 121.01, 121.73, 1356775, 0.0
2020-06-23, 121.3, 122.635, 118.89, 120.79, 1351783, 0.0
2020-06-24, 120.57, 124.74, 120.39, 124.3, 1939514, 0.0
2020-06-25, 123.61, 124.95, 121.24, 124.04, 1361322, 0.0
2020-06-28, 124.78, 124.78, 121.46, 122.25, 1123630, 0.0
2020-06-29, 122.19, 123.92, 120.66, 123.33, 897465, 0.0
2020-06-30, 123.01, 128.77, 121.66, 125.91, 2037049, 0.0
2020-07-01, 126.95, 127.98, 124.17, 126.87, 980414, 0.0
2020-07-05, 127.77, 128.4199, 126, 127.81, 1150126, 0.0
2020-07-06, 127.21, 129.8854, 127.21, 128.17, 759722, 0.0
2020-07-07, 125.85, 129.38, 125.7326, 128.73, 949335, 0.0
2020-07-08, 129, 129.21, 124.475, 126.75, 917100, 0.0
2020-07-09, 126.61, 127.405, 124.99, 126.18, 721586, 0.0
2020-07-12, 126.65, 130.04, 123.82, 124.31, 1555712, 0.0
2020-07-13, 123.2, 126.87, 119.51, 126.4, 1204927, 0.0
2020-07-14, 126.21, 127.36, 124.68, 126.74, 842192, 0.0
2020-07-15, 126.74, 128.63, 124.47, 127.745, 927858, 0.0
2020-07-16, 128.54, 129.34, 126.81, 128.21, 711511, 0.0
2020-07-19, 128.89, 131.725, 128.26, 131.02, 959113, 0.0
2020-07-20, 130.97, 131.945, 129.03, 129.92, 650139, 0.0
2020-07-21, 129.06, 130.16, 126.44, 127.56, 970823, 0.0
2020-07-22, 127.99, 129.18, 124.41, 124.48, 497970, 0.0
2020-07-23, 123.41, 124.985, 121.63, 122.94, 1089296, 0.0
2020-07-26, 124.08, 124.9, 122.63, 123.99, 787802, 0.0
2020-07-27, 124.46, 124.46, 121.8, 122.83, 763885, 0.0
2020-07-28, 123.67, 123.67, 120.19, 120.54, 894543, 0.0
2020-07-29, 119.21, 123.19, 118.2, 121.72, 731712, 0.0
2020-07-30, 121.81, 121.925, 117.72, 119.66, 751590, 0.0
2020-08-02, 120.35, 122.47, 118.78, 122.11, 771660, 0.0
2020-08-03, 122.69, 122.69, 118.15, 119.85, 1027274, 0.0
2020-08-04, 119.99, 124.5199, 118.765, 119.97, 1150062, 0.0
2020-08-05, 119.6, 120.66, 118.36, 119.65, 578277, 0.0
2020-08-06, 119.84, 120.75, 117.81, 118.61, 662145, 0.0
2020-08-09, 117.925, 118.66, 116.06, 118.2, 651499, 0.0
2020-08-10, 117.71, 118.82, 116.4, 116.79, 889420, 0.0
2020-08-11, 117, 118.98, 116.995, 118.16, 902964, 0.0
2020-08-12, 118.61, 118.61, 115.775, 116.87, 1035128, 0.0
2020-08-13, 118.42, 119.9844, 117.515, 118.16, 810519, 0.0
2020-08-16, 119.23, 121.23, 118.67, 119.49, 555588, 0.0
2020-08-17, 119.14, 119.9, 117.31, 118.63, 642256, 0.0
2020-08-18, 85.81, 85.85, 74.56, 76.72, 31988876, 0.0
2020-08-19, 76.27, 76.73, 74.6, 74.8301, 6939209, 0.0
2020-08-20, 74.8, 75.7434, 73.88, 75.04, 5431940, 0.0
2020-08-23, 75.46, 75.65, 72.24, 73, 3672481, 0.0
2020-08-24, 74.165, 75, 73.29, 74.39, 2986918, 0.0
2020-08-25, 73.86, 75.32, 73.7005, 74.84, 2280969, 0.0
2020-08-26, 74.78, 77.24, 74.24, 75.5, 3475452, 0.0
2020-08-27, 75.99, 76.44, 74.7959, 76.44, 1699432, 0.0
2020-08-30, 76.57, 79, 76.54, 77.9, 2480423, 0.0
2020-08-31, 77.85, 78.04, 75.56, 76, 2217464, 0.0
2020-09-01, 76.73, 78.86, 76.12, 77.99, 1859067, 0.0
2020-09-02, 77.7435, 77.825, 75.3899, 75.84, 2438295, 0.0
