Date, Open, High, Low, Close, Volume, OI
2020-06-10, 92.8, 93.09, 88.39, 88.4, 1711201, 0.0
2020-06-11, 90.06, 91.45, 90.01, 90.37, 757198, 0.0
2020-06-14, 88.59, 90.88, 87.75, 90.88, 2701480, 0.0
2020-06-15, 92.38, 93.28, 91.14, 92.06, 1365738, 0.0
2020-06-16, 92.94, 93.885, 92.6, 93.07, 1885898, 0.0
2020-06-17, 93.09, 93.848, 92.42, 93.73, 1056282, 0.0
2020-06-18, 94.98, 95.21, 91.66, 91.91, 3634456, 0.0
2020-06-21, 92.4, 94.54, 91.86, 94.46, 1118371, 0.0
2020-06-22, 95.05, 95.285, 94.29, 94.54, 1826183, 0.0
2020-06-23, 94.32, 95.12, 91.8, 92, 1399813, 0.0
2020-06-24, 92.66, 92.74, 90.05, 92.65, 2942101, 0.0
2020-06-25, 93, 94.57, 91.76, 93.93, 2048474, 0.0
2020-06-28, 93.3, 94.12, 91.43, 94.1, 1407876, 0.0
2020-06-29, 94.45, 96.56, 94.07, 95.95, 1408233, 0.0
2020-06-30, 95.7, 97.68, 95.23, 97.07, 2062777, 0.0
2020-07-01, 97.38, 98.81, 96.93, 97.78, 1810227, 0.0
2020-07-05, 99.53, 100.8, 98.51, 98.73, 1447869, 0.0
2020-07-06, 98.66, 100.955, 98.47, 98.77, 1145931, 0.0
2020-07-07, 99.7, 100.13, 98.68, 99.64, 772852, 0.0
2020-07-08, 100.77, 101.63, 99.08, 101.53, 1059437, 0.0
2020-07-09, 101.39, 101.79, 99.45, 100.99, 1370202, 0.0
2020-07-12, 101.63, 102.08, 98.055, 98.22, 1923003, 0.0
2020-07-13, 97.16, 99.22, 95.2381, 99.04, 1709478, 0.0
2020-07-14, 99.704, 100, 97.92, 99.11, 1432436, 0.0
2020-07-15, 98.65, 99.099, 97.27, 98.67, 874599, 0.0
2020-07-16, 98.68, 100.68, 98.25, 100.23, 1830467, 0.0
2020-07-19, 100.67, 104.34, 99.91, 103.81, 1911231, 0.0
2020-07-20, 106.54, 106.54, 102.64, 103.6, 1886785, 0.0
2020-07-21, 104.28, 105.14, 102.8, 103.66, 1144756, 0.0
2020-07-22, 103.42, 105.89, 102.47, 102.97, 985884, 0.0
2020-07-23, 101.99, 103.36, 100.63, 102.59, 1843467, 0.0
2020-07-26, 103.62, 105.41, 103.32, 105.26, 1252971, 0.0
2020-07-27, 105.44, 105.985, 103.885, 104.08, 937662, 0.0
2020-07-28, 104.43, 107, 104.43, 105.96, 2039240, 0.0
2020-07-29, 104.78, 108.04, 104.45, 107.65, 1270855, 0.0
2020-07-30, 108.29, 109.26, 106.08, 109.24, 1338536, 0.0
2020-08-02, 109.75, 112.32, 109.7, 111.798, 1154220, 0.0
2020-08-03, 111.53, 112, 108.45, 109.09, 1793530, 0.0
2020-08-04, 109.81, 110.93, 109.17, 109.65, 990184, 0.0
2020-08-05, 109.26, 110.695, 108.655, 110.53, 848767, 0.0
2020-08-06, 110.41, 110.8, 107.38, 108.52, 1153467, 0.0
2020-08-09, 106.645, 108.07, 105.6401, 107.19, 1578821, 0.0
2020-08-10, 106.55, 107, 104.68, 105.189, 1283029, 0.0
2020-08-11, 105.37, 108.14, 104.8, 107.29, 1008219, 0.0
2020-08-12, 107.63, 109.695, 107.27, 108.65, 843411, 0.0
2020-08-13, 108.92, 109.65, 107.53, 107.98, 591858, 0.0
2020-08-16, 108.43, 109.905, 108.11, 109.54, 828003, 0.0
2020-08-17, 109.57, 110.46, 108.42, 109.14, 861103, 0.0
2020-08-18, 109.23, 109.585, 107.4, 108.54, 896314, 0.0
2020-08-19, 108, 111.63, 107.97, 111.27, 957195, 0.0
2020-08-20, 110.735, 111.2, 109.31, 110.58, 1110229, 0.0
2020-08-23, 112, 113.04, 110.59, 111.28, 788826, 0.0
2020-08-24, 111.37, 111.9837, 110.723, 111.25, 971634, 0.0
2020-08-25, 111.82, 113.97, 111.56, 112.66, 1060645, 0.0
2020-08-26, 113.26, 113.47, 109.08, 109.37, 1833341, 0.0
2020-08-27, 110.5, 111.36, 109.87, 110.86, 853782, 0.0
2020-08-30, 110.51, 112, 110.215, 110.89, 1078127, 0.0
2020-08-31, 111.1788, 114.03, 110.89, 113.98, 1286854, 0.0
2020-09-01, 114.47, 117.59, 113.59, 117.08, 1570398, 0.0
2020-09-02, 114.82, 115.3, 107.105, 108.08, 2229891, 0.0
