Date, Open, High, Low, Close, Volume, OI
2020-06-10, 120.24, 120.6, 110.53, 110.54, 804017, 0.0
2020-06-11, 113.9, 116.02, 113.0199, 113.0199, 353946, 0.0
2020-06-14, 111, 114.075, 108.64, 113.95, 1488169, 0.0
2020-06-15, 118.04, 120.65, 115.85, 119.37, 1090818, 0.0
2020-06-16, 119.99, 120.43, 116.64, 117.15, 1124900, 0.0
2020-06-17, 116.54, 117.56, 115.64, 117.25, 496556, 0.0
2020-06-18, 117.86, 121, 116.33, 116.97, 1692289, 0.0
2020-06-21, 115.99, 116.58, 114.64, 116.15, 579965, 0.0
2020-06-22, 117.99, 117.99, 115.52, 115.95, 820989, 0.0
2020-06-23, 114.79, 114.84, 110.39, 111.53, 737584, 0.0
2020-06-24, 111.7, 112.7799, 109.7, 112.37, 624798, 0.0
2020-06-25, 112.8, 112.8, 108.16, 108.49, 1197825, 0.0
2020-06-28, 112.65, 115.165, 111.5, 114, 1786241, 0.0
2020-06-29, 113.6, 116.895, 112.5, 116.17, 770226, 0.0
2020-06-30, 116.03, 117.91, 115.16, 115.54, 734405, 0.0
2020-07-01, 116.78, 118.7574, 116.5, 117.1, 677520, 0.0
2020-07-05, 119.75, 120, 117.2, 117.48, 564305, 0.0
2020-07-06, 116.87, 118.03, 113.71, 114.14, 686141, 0.0
2020-07-07, 114.22, 114.96, 112.3, 113.39, 728458, 0.0
2020-07-08, 113.62, 114.005, 110.19, 112.52, 559049, 0.0
2020-07-09, 111.81, 114.24, 111.29, 113.86, 488396, 0.0
2020-07-12, 115.11, 115.12, 112.46, 112.66, 651840, 0.0
2020-07-13, 111.26, 114.56, 110.98, 114.41, 502968, 0.0
2020-07-14, 115.74, 118.27, 114.92, 117.7, 539872, 0.0
2020-07-15, 117.12, 117.41, 116.128, 116.68, 385187, 0.0
2020-07-16, 117.16, 119.62, 116.55, 118.51, 457749, 0.0
2020-07-19, 117.74, 118.36, 115.75, 118.13, 406711, 0.0
2020-07-20, 117.67, 119.72, 116.22, 117.03, 546618, 0.0
2020-07-21, 117.8, 119.719, 117.61, 119.08, 423394, 0.0
2020-07-22, 119.28, 121.48, 118.28, 118.78, 261036, 0.0
2020-07-23, 118.02, 118.29, 113.72, 114.62, 849485, 0.0
2020-07-26, 115.28, 116.54, 114.26, 116.33, 646104, 0.0
2020-07-27, 115.54, 116.79, 113.68, 113.9, 389420, 0.0
2020-07-28, 113.76, 116.01, 113.36, 115.62, 440797, 0.0
2020-07-29, 113.47, 115.84, 112.4, 115.69, 430505, 0.0
2020-07-30, 115.32, 116.4, 113.55, 116.26, 554226, 0.0
2020-08-02, 116.68, 118.42, 116.05, 117.46, 350666, 0.0
2020-08-03, 116.96, 119.83, 116.695, 119.59, 934883, 0.0
2020-08-04, 121.93, 121.93, 115.46, 116.66, 1208830, 0.0
2020-08-05, 115.9, 117.95, 114.42, 114.78, 694639, 0.0
2020-08-06, 113.74, 114.85, 112.85, 114.85, 593386, 0.0
2020-08-09, 114.78, 114.79, 112.98, 113, 548230, 0.0
2020-08-10, 114.41, 119.95, 113.91, 117.22, 1040506, 0.0
2020-08-11, 118.5, 118.5, 116.28, 116.61, 592336, 0.0
2020-08-12, 115.87, 116.015, 113.802, 114.62, 405477, 0.0
2020-08-13, 113.59, 113.8599, 112.8125, 113.46, 444843, 0.0
2020-08-16, 114.01, 115.12, 113.39, 113.66, 331611, 0.0
2020-08-17, 113.68, 114.33, 110.77, 111, 632608, 0.0
2020-08-18, 110.87, 112.94, 110.79, 111.99, 463431, 0.0
2020-08-19, 111.31, 113.14, 111.03, 112.3, 510444, 0.0
2020-08-20, 112, 112.07, 110.53, 111.23, 431806, 0.0
2020-08-23, 111.69, 113.39, 111.35, 112.305, 469413, 0.0
2020-08-24, 112.52, 113.49, 111.16, 112.14, 417849, 0.0
2020-08-25, 111.98, 112.235, 110.09, 111.22, 527293, 0.0
2020-08-26, 112.52, 115.56, 111.83, 114.91, 959691, 0.0
2020-08-27, 115.09, 115.84, 113.76, 115.31, 436855, 0.0
2020-08-30, 115.01, 115.01, 112.71, 113.53, 441002, 0.0
2020-08-31, 112.74, 113.48, 110.13, 112.48, 990556, 0.0
2020-09-01, 113.93, 117.86, 112.95, 117.53, 972458, 0.0
2020-09-02, 117.01, 117.53, 111.3, 112.16, 734705, 0.0
