Date, Open, High, Low, Close, Volume, OI
2020-06-10, 71.49, 71.49, 67.16, 67.47, 3902998, 0.0
2020-06-11, 67.57, 68.69, 66.92, 66.94, 336169, 0.0
2020-06-14, 65.9, 68.01, 65.14, 67.9, 4396440, 0.0
2020-06-15, 68.71, 70.62, 68.6, 69.38, 4486325, 0.0
2020-06-16, 69.86, 70.48, 69.43, 69.62, 3199891, 0.0
2020-06-17, 69.46, 69.96, 68.81, 69.72, 2401567, 0.0
2020-06-18, 70.63, 72.72, 69.53, 72.69, 3443518, 0.0
2020-06-21, 72.27, 72.545, 70.93, 71.23, 2262353, 0.0
2020-06-22, 71.48, 72.21, 70.56, 71.02, 1479920, 0.0
2020-06-23, 70.43, 70.65, 68.28, 68.68, 1489936, 0.0
2020-06-24, 68.6, 68.86, 67.82, 68.37, 1615199, 0.0
2020-06-25, 68.52, 68.88, 65.78, 66.51, 2107666, 0.0
2020-06-28, 67.23, 68.45, 66.75, 67.96, 1150067, 0.0
2020-06-29, 68.06, 68.96, 67.37, 68.51, 1489895, 0.0
2020-06-30, 68.68, 69.81, 68.6277, 69.5, 1689252, 0.0
2020-07-01, 70.01, 70.59, 69.75, 69.94, 1210353, 0.0
2020-07-05, 70.92, 71.22, 69.92, 70.93, 1258327, 0.0
2020-07-06, 69.8, 70.73, 69.42, 70.08, 1653466, 0.0
2020-07-07, 70.5, 70.5, 69.13, 69.97, 1206894, 0.0
2020-07-08, 69.76, 69.905, 68.575, 69.65, 1351362, 0.0
2020-07-09, 69.39, 70.09, 69.36, 69.92, 841585, 0.0
2020-07-12, 70.15, 70.81, 69.39, 69.52, 1244008, 0.0
2020-07-13, 69.22, 69.87, 68.69, 69.72, 1144291, 0.0
2020-07-14, 70.42, 72.22, 70.42, 71.805, 1554607, 0.0
2020-07-15, 71.5, 71.82, 71, 71.79, 1011524, 0.0
2020-07-16, 71.57, 71.9225, 70.84, 71.26, 1922770, 0.0
2020-07-19, 71.35, 71.71, 70.92, 71.42, 1190444, 0.0
2020-07-20, 71.8, 72.11, 71.04, 71.42, 1591640, 0.0
2020-07-21, 71.67, 72.48, 71.17, 72.06, 1135130, 0.0
2020-07-22, 72, 72.94, 71.81, 72.15, 951073, 0.0
2020-07-23, 72.3, 72.48, 71.33, 71.81, 1362175, 0.0
2020-07-26, 71.53, 72.73, 71, 72.45, 1032086, 0.0
2020-07-27, 72.16, 72.66, 70.975, 71.15, 1828614, 0.0
2020-07-28, 71.81, 73.8, 71.4, 73.45, 1927348, 0.0
2020-07-29, 70.92, 72.75, 69.31, 71.2, 2206231, 0.0
2020-07-30, 71.04, 71.58, 68.87, 69.46, 1650184, 0.0
2020-08-02, 69.23, 69.66, 68.57, 68.82, 1136209, 0.0
2020-08-03, 68.51, 69.45, 68.23, 68.91, 1380292, 0.0
2020-08-04, 69.47, 69.59, 68.49, 69.28, 1119110, 0.0
2020-08-05, 69.29, 70.12, 69.29, 69.94, 1287852, 0.0
2020-08-06, 69.52, 70.05, 69.24, 70.03, 1611333, 0.0
2020-08-09, 70.24, 71.99, 70.105, 71.98, 1975807, 0.0
2020-08-10, 72.17, 72.93, 72.02, 72.42, 2172176, 0.0
2020-08-11, 72.55, 73.52, 72.37, 72.77, 1238308, 0.0
2020-08-12, 72.7, 73.215, 72.47, 73.09, 1056007, 0.0
2020-08-13, 72.89, 73.27, 72.59, 72.91, 1184671, 0.0
2020-08-16, 73, 73.06, 72.52, 72.87, 954430, 0.0
2020-08-17, 73.24, 73.79, 73.045, 73.41, 1299198, 0.0
2020-08-18, 73.67, 73.79, 72.25, 72.44, 656113, 0.0
2020-08-19, 72.26, 72.69, 71.47, 71.62, 653420, 0.0
2020-08-20, 71.25, 71.91, 71.11, 71.78, 893734, 0.0
2020-08-23, 72.16, 72.5, 71.82, 72.37, 752214, 0.0
2020-08-24, 72.41, 72.5, 71.5, 71.83, 786269, 0.0
2020-08-25, 71.79, 71.79, 70.61, 71.43, 749487, 0.0
2020-08-26, 72.21, 73.45, 71.64, 73.29, 1462978, 0.0
2020-08-27, 73.28, 73.42, 72.22, 72.79, 773147, 0.0
2020-08-30, 71.85, 73.68, 71.85, 73.33, 1353080, 0.0
2020-08-31, 72.88, 73.03, 72.05, 72.5, 859443, 0.0
2020-09-01, 72.91, 75.4987, 72.6, 75.22, 2271588, 0.0
2020-09-02, 75.1868, 76.21, 73.06, 73.76, 1776148, 0.0
