Date, Open, High, Low, Close, Volume, OI
2020-06-10, 532.71, 535.67, 517.15, 517.17, 1902944, 0.0
2020-06-11, 524.35, 530.715, 520.1, 520.13, 214066, 0.0
2020-06-14, 514.05, 526.75, 511.5461, 526.52, 1519095, 0.0
2020-06-15, 528, 538.02, 525.89, 531.69, 1506553, 0.0
2020-06-16, 535.37, 539.11, 532.82, 534.13, 1601054, 0.0
2020-06-17, 531.94, 538.97, 530.4245, 535.11, 1348995, 0.0
2020-06-18, 540, 540.9, 524.47, 537.28, 1430082, 0.0
2020-06-21, 532.45, 534.01, 523.395, 527.5, 699440, 0.0
2020-06-22, 532.06, 532.06, 516.1, 520.95, 979009, 0.0
2020-06-23, 512.12, 517.84, 505.57, 507.99, 1233104, 0.0
2020-06-24, 507.46, 512.55, 500.155, 509.741, 702079, 0.0
2020-06-25, 510.5, 510.5, 500.5, 502.28, 747323, 0.0
2020-06-28, 509.73, 513.56, 499.5101, 509.22, 900242, 0.0
2020-06-29, 509.63, 511.96, 498.075, 509.45, 1040160, 0.0
2020-06-30, 510.04, 525.78, 505.45, 522.15, 988470, 0.0
2020-07-01, 522.1, 528.87, 517.02, 517.69, 612956, 0.0
2020-07-05, 525.56, 527.165, 520.4815, 526.299, 713799, 0.0
2020-07-06, 522.74, 532.34, 521.98, 528.01, 726074, 0.0
2020-07-07, 527.98, 530.17, 523, 528.26, 575695, 0.0
2020-07-08, 529.59, 532.25, 520.67, 529.8, 608915, 0.0
2020-07-09, 530.39, 540.44, 527.495, 537.88, 701867, 0.0
2020-07-12, 536.63, 544.45, 532.86, 534.46, 665520, 0.0
2020-07-13, 530.43, 543.98, 525.87, 542.76, 597092, 0.0
2020-07-14, 543.75, 552.54, 542.53, 552.07, 838919, 0.0
2020-07-15, 552.82, 557.95, 547.78, 557.5, 790953, 0.0
2020-07-16, 562.45, 569.87, 560.01, 564.66, 976138, 0.0
2020-07-19, 564.66, 571.6, 562.58, 565.42, 580224, 0.0
2020-07-20, 567.96, 570.91, 563.395, 564.67, 527447, 0.0
2020-07-21, 566.96, 568.2, 561.299, 564.73, 345675, 0.0
2020-07-22, 567.37, 569.145, 558.67, 560.42, 235390, 0.0
2020-07-23, 558.62, 562.97, 554.36, 561.99, 507075, 0.0
2020-07-26, 562.54, 563.095, 555.27, 559.9, 490699, 0.0
2020-07-27, 558.8, 566.455, 557.02, 561.41, 441473, 0.0
2020-07-28, 564.21, 569.68, 560.6, 566.52, 494903, 0.0
2020-07-29, 559.53, 568.51, 558.175, 563.44, 684995, 0.0
2020-07-30, 594.31, 594.31, 554.26, 579.88, 1388578, 0.0
2020-08-02, 585.01, 593.9, 581.14, 588.9, 664211, 0.0
2020-08-03, 580, 601.76, 579, 600, 864524, 0.0
2020-08-04, 598.75, 603.6, 597.225, 598.36, 572395, 0.0
2020-08-05, 595.35, 604.12, 594.685, 602.1, 644707, 0.0
2020-08-06, 603.39, 611.47, 598.25, 601.87, 702798, 0.0
2020-08-09, 602.98, 606, 598.1, 601.9, 580197, 0.0
2020-08-10, 604.42, 604.42, 588.97, 590.64, 786592, 0.0
2020-08-11, 590.99, 607, 590.99, 598.74, 865921, 0.0
2020-08-12, 595.46, 609.31, 595.46, 604.22, 744481, 0.0
2020-08-13, 604.55, 610.95, 602.88, 604.99, 591940, 0.0
2020-08-16, 608.85, 610.2, 601.1, 605.29, 540954, 0.0
2020-08-17, 608.23, 612.935, 606.51, 610.37, 593433, 0.0
2020-08-18, 612.46, 616.07, 607.8, 611.31, 740606, 0.0
2020-08-19, 607.94, 614.37, 607.94, 612.78, 495788, 0.0
2020-08-20, 610.98, 614.8, 606.61, 613.97, 521078, 0.0
2020-08-23, 613.39, 618.03, 611.14, 612.46, 852700, 0.0
2020-08-24, 619.51, 620.19, 604.41, 609.75, 1004320, 0.0
2020-08-25, 606.82, 618.49, 605.28, 614.81, 707156, 0.0
2020-08-26, 619.05, 621.04, 612.585, 614.29, 801072, 0.0
2020-08-27, 613.01, 616.57, 609.35, 615.49, 549892, 0.0
2020-08-30, 614.84, 620.2333, 613.63, 614.82, 566640, 0.0
2020-08-31, 614.04, 620.2, 611, 617.38, 789811, 0.0
2020-09-01, 616.96, 626.62, 614.05, 622.2, 638920, 0.0
2020-09-02, 624.04, 629.52, 603.03, 607.74, 886230, 0.0
