Date, Open, High, Low, Close, Volume, OI
2020-06-10, 40.91, 41.27, 39.19, 39.25, 35605906, 0.0
2020-06-11, 39.59, 39.97, 39.17, 39.225, 3438612, 0.0
2020-06-14, 39.29, 40.085, 38.54, 39.83, 27076280, 0.0
2020-06-15, 40.54, 41.05, 39.14, 39.76, 35331665, 0.0
2020-06-16, 39.78, 39.89, 39.115, 39.2, 26814389, 0.0
2020-06-17, 39.19, 39.6, 38.95, 39.44, 23755514, 0.0
2020-06-18, 39.85, 40.46, 38.87, 39.1, 19952419, 0.0
2020-06-21, 38.8, 39.05, 38.315, 38.44, 13723127, 0.0
2020-06-22, 38.93, 39.65, 38.69, 39.2, 20072234, 0.0
2020-06-23, 39.48, 39.48, 38.13, 38.58, 16673185, 0.0
2020-06-24, 38.36, 38.735, 37.77, 38.58, 14150573, 0.0
2020-06-25, 38.3, 38.74, 38.03, 38.67, 18461667, 0.0
2020-06-28, 38.87, 39.03, 38.39, 38.96, 16260415, 0.0
2020-06-29, 38.5, 39.13, 38.12, 38.97, 15706815, 0.0
2020-06-30, 39.61, 40.21, 39.4, 39.69, 15066472, 0.0
2020-07-01, 40.04, 40.279, 39.165, 39.26, 15690070, 0.0
2020-07-05, 39.8, 40.37, 39.65, 40.34, 14015997, 0.0
2020-07-06, 40.04, 40.35, 40, 40.08, 16032091, 0.0
2020-07-07, 40.13, 40.24, 39.52, 39.72, 10391041, 0.0
2020-07-08, 39.7, 39.72, 39.025, 39.3, 13418069, 0.0
2020-07-09, 39.23, 40.54, 39.14, 40.5, 17059000, 0.0
2020-07-12, 40.47, 41.0982, 40.18, 40.56, 14906104, 0.0
2020-07-13, 39.95, 41.29, 39.8309, 41.18, 17575081, 0.0
2020-07-14, 41.11, 42.08, 41.05, 41.96, 18011428, 0.0
2020-07-15, 41.71, 42.18, 41.66, 42.105, 11228002, 0.0
2020-07-16, 42.48, 42.48, 41.9, 42.18, 13019557, 0.0
2020-07-19, 41.99, 42.105, 41.76, 41.95, 10966385, 0.0
2020-07-20, 42.14, 42.77, 42.06, 42.57, 19482813, 0.0
2020-07-21, 42.5222, 42.76, 42.41, 42.56, 11197525, 0.0
2020-07-22, 42.76, 42.96, 42.34, 42.49, 11209940, 0.0
2020-07-23, 43.43, 43.9, 42.705, 43.35, 20150987, 0.0
2020-07-26, 43.2, 43.64, 43.15, 43.6, 15569023, 0.0
2020-07-27, 42.86, 43.565, 42.8, 43.21, 15997860, 0.0
2020-07-28, 43.33, 44.11, 43.26, 43.93, 23986880, 0.0
2020-07-29, 44.48, 45.2, 43.12, 43.69, 16049846, 0.0
2020-07-30, 43.54, 43.64, 41.96, 42.8, 18804605, 0.0
2020-08-02, 42.69, 43.135, 42.41, 42.88, 7672662, 0.0
2020-08-03, 42.62, 43.235, 42.54, 43.21, 9631796, 0.0
2020-08-04, 43.29, 43.47, 42.245, 42.28, 13344199, 0.0
2020-08-05, 42.04, 42.89, 42.02, 42.88, 12222165, 0.0
2020-08-06, 42.59, 42.92, 42.47, 42.82, 8188083, 0.0
2020-08-09, 42.985, 43.215, 42.75, 43.02, 10415373, 0.0
2020-08-10, 43.25, 44, 42.92, 43, 13462034, 0.0
2020-08-11, 43.01, 43.725, 42.97, 43.33, 7985145, 0.0
2020-08-12, 43.1, 43.425, 42.985, 43.39, 11078093, 0.0
2020-08-13, 43.62, 44.18, 43.2, 43.78, 11588334, 0.0
2020-08-16, 43.87, 43.95, 43.3, 43.54, 9495286, 0.0
2020-08-17, 43.71, 43.735, 43.28, 43.53, 6918325, 0.0
2020-08-18, 43.66, 43.759, 43.16, 43.32, 7994580, 0.0
2020-08-19, 43.23, 43.435, 42.9, 43.28, 9047355, 0.0
2020-08-20, 43.04, 43.23, 42.72, 43.06, 9382401, 0.0
2020-08-23, 42.86, 43.82, 42.85, 43.8, 12437080, 0.0
2020-08-24, 43.765, 43.78, 43.18, 43.41, 7247272, 0.0
2020-08-25, 43.02, 44.36, 42.91, 44.21, 12358626, 0.0
2020-08-26, 44.56, 44.795, 44.24, 44.54, 12227294, 0.0
2020-08-27, 44.53, 44.57, 43.93, 44.57, 9237001, 0.0
2020-08-30, 44.26, 45.13, 44.25, 44.81, 19399624, 0.0
2020-08-31, 44.435, 45.09, 44.24, 45.06, 14255849, 0.0
2020-09-01, 45.05, 45.93, 45.01, 45.17, 14028812, 0.0
2020-09-02, 45.61, 45.94, 44.09, 44.44, 15024444, 0.0
