Date, Open, High, Low, Close, Volume, OI
2020-06-10, 306.99, 309.2, 300.64, 301.03, 6010482, 0.0
2020-06-11, 302.67, 305.15, 301.86, 302.05, 1081114, 0.0
2020-06-14, 297.05, 298.07, 293.8394, 297.1, 5936484, 0.0
2020-06-15, 301.35, 302.74, 299.22, 301.37, 4523472, 0.0
2020-06-16, 301.02, 302, 298.9, 299.61, 3818006, 0.0
2020-06-17, 300, 300.8062, 297.79, 299.57, 3314751, 0.0
2020-06-18, 300.18, 301.8999, 298.64, 299.74, 2240883, 0.0
2020-06-21, 299.7, 301.48, 298.25, 300.45, 1647280, 0.0
2020-06-22, 301.73, 304.9, 300.73, 301.24, 2206246, 0.0
2020-06-23, 300.77, 301.28, 296.6, 297.95, 1886574, 0.0
2020-06-24, 297.06, 301.15, 295.4, 300.53, 1872254, 0.0
2020-06-25, 300.41, 302.1173, 295.95, 296.55, 1894194, 0.0
2020-06-28, 297.44, 301.63, 296.83, 301.62, 1557038, 0.0
2020-06-29, 301.01, 304.62, 300.1363, 303.19, 1827185, 0.0
2020-06-30, 302.5, 305.58, 300.75, 304.65, 1703321, 0.0
2020-07-01, 306, 308.92, 304.6006, 305.79, 2206323, 0.0
2020-07-05, 307.53, 311.555, 307.24, 311.36, 2088194, 0.0
2020-07-06, 310.02, 318.05, 309.72, 316.25, 2767873, 0.0
2020-07-07, 317.14, 318.05, 314.01, 316.32, 2032474, 0.0
2020-07-08, 320, 328.98, 319.68, 325.51, 4984914, 0.0
2020-07-09, 326, 327.4, 323.11, 326.09, 2217641, 0.0
2020-07-12, 326.3, 329.1133, 321.5, 322.96, 2132688, 0.0
2020-07-13, 321.3175, 328.66, 320.451, 327.84, 1446533, 0.0
2020-07-14, 328.1, 329.32, 325.62, 326.8, 1522173, 0.0
2020-07-15, 326.62, 327.9, 324.06, 326.06, 1163984, 0.0
2020-07-16, 327.3, 327.8, 324.58, 324.76, 1404242, 0.0
2020-07-19, 324.891, 327.435, 322.6634, 326.41, 1535556, 0.0
2020-07-20, 327, 331.49, 326.5, 327.74, 1658035, 0.0
2020-07-21, 329.65, 329.66, 325.01, 328.29, 1138063, 0.0
2020-07-22, 328.1, 330.38, 325.63, 326.11, 842142, 0.0
2020-07-23, 326.22, 328.75, 324.67, 325.78, 1265407, 0.0
2020-07-26, 325.68, 329, 325.18, 327.56, 1302318, 0.0
2020-07-27, 327.97, 330, 325.82, 327.56, 1196479, 0.0
2020-07-28, 327.02, 328.04, 325.385, 326.14, 1124776, 0.0
2020-07-29, 322.685, 326.45, 322, 324.82, 1072012, 0.0
2020-07-30, 324.82, 326.31, 322.55, 325.53, 1439839, 0.0
2020-08-02, 325.55, 329.89, 324.3, 329.16, 1259766, 0.0
2020-08-03, 329.56, 339.82, 328.92, 339.82, 3366892, 0.0
2020-08-04, 341.8552, 342.73, 337.59, 339.98, 2142557, 0.0
2020-08-05, 342.41, 345.12, 341.61, 343.49, 1826251, 0.0
2020-08-06, 343.14, 344.73, 339.63, 340.88, 1469067, 0.0
2020-08-09, 340.205, 341.065, 338.58, 339.95, 1051132, 0.0
2020-08-10, 340.85, 340.85, 331.8, 332.26, 1809010, 0.0
2020-08-11, 333.745, 338.9, 333.17, 336.72, 1617824, 0.0
2020-08-12, 336.99, 339.46, 335.13, 335.67, 1103300, 0.0
2020-08-13, 336.53, 338.76, 335.6, 336.07, 1038282, 0.0
2020-08-16, 337.65, 340.37, 337.355, 340.07, 1313697, 0.0
2020-08-17, 341, 342.8, 336.81, 340.6, 1266607, 0.0
2020-08-18, 341.12, 341.94, 339.95, 340.77, 1356761, 0.0
2020-08-19, 340.14, 341.66, 338.74, 341.02, 1183713, 0.0
2020-08-20, 340.07, 345.84, 339.33, 344.61, 1825527, 0.0
2020-08-23, 345.11, 346.11, 342.105, 344.13, 1164563, 0.0
2020-08-24, 344.14, 344.91, 341.46, 344.71, 956519, 0.0
2020-08-25, 343.01, 344.83, 341.69, 344.399, 1274883, 0.0
2020-08-26, 345.61, 347.742, 342.5501, 346.45, 1705080, 0.0
2020-08-27, 347.47, 349.06, 345.5, 348.38, 1173295, 0.0
2020-08-30, 346.85, 348.75, 344.29, 347.4, 1205482, 0.0
2020-08-31, 345.71, 351.49, 345.41, 351.45, 1543203, 0.0
2020-09-01, 353.61, 359.92, 351.31, 358.83, 2060110, 0.0
2020-09-02, 363.07, 363.67, 345.52, 348.34, 3057982, 0.0
