Date, Open, High, Low, Close, Volume, OI
2020-06-10, 87.71, 88.51, 84.6, 84.64, 2788962, 0.0
2020-06-11, 86.38, 87.08, 84.4401, 84.48, 256755, 0.0
2020-06-14, 82.81, 86.87, 82.2, 86.515, 2079371, 0.0
2020-06-15, 88.76, 90.1869, 85.09, 88.27, 2838244, 0.0
2020-06-16, 88.71, 89.1745, 86.95, 87.33, 1392719, 0.0
2020-06-17, 86.66, 87.96, 86.23, 86.45, 1643627, 0.0
2020-06-18, 86.9, 88.7018, 84.13, 84.53, 1416552, 0.0
2020-06-21, 83.85, 85.16, 83.523, 84.65, 892423, 0.0
2020-06-22, 85.68, 85.92, 84.21, 84.47, 950688, 0.0
2020-06-23, 84.17, 84.36, 80.92, 81.31, 2101567, 0.0
2020-06-24, 80.71, 81.55, 78.8, 81.51, 1790547, 0.0
2020-06-25, 81.18, 82.605, 78.95, 79.61, 1743180, 0.0
2020-06-28, 79.64, 82.03, 78.55, 81.93, 1854906, 0.0
2020-06-29, 81.88, 83.375, 81.585, 83.27, 1243072, 0.0
2020-06-30, 83.48, 85.025, 83.37, 84.56, 1509340, 0.0
2020-07-01, 84.9, 85.665, 83.63, 83.89, 1202319, 0.0
2020-07-05, 84.87, 85.67, 84.55, 84.96, 929044, 0.0
2020-07-06, 84.78, 86.59, 84, 85.12, 1239593, 0.0
2020-07-07, 85.18, 85.71, 84.205, 85.2, 781833, 0.0
2020-07-08, 85.37, 85.43, 81.62, 83.38, 1103450, 0.0
2020-07-09, 83.12, 83.36, 81.93, 83.02, 877043, 0.0
2020-07-12, 83.45, 83.8, 81.26, 81.53, 1456298, 0.0
2020-07-13, 81.06, 83.775, 80.85, 83.54, 1170424, 0.0
2020-07-14, 84.35, 86.92, 84.19, 86.59, 1416163, 0.0
2020-07-15, 86.47, 86.88, 85.64, 86.5, 658895, 0.0
2020-07-16, 86.61, 87.57, 85.61, 87.24, 917185, 0.0
2020-07-19, 85.26, 87.67, 84.66, 87.38, 772989, 0.0
2020-07-20, 87.97, 88.635, 87.08, 87.93, 933659, 0.0
2020-07-21, 87.94, 89.72, 87.75, 89.56, 1092656, 0.0
2020-07-22, 90.3, 93.08, 89.85, 90.24, 1813465, 0.0
2020-07-23, 90.27, 90.76, 89.05, 89.52, 1297883, 0.0
2020-07-26, 89.99, 91.63, 89.3484, 91.25, 1190300, 0.0
2020-07-27, 91.47, 91.74, 89.51, 89.63, 991805, 0.0
2020-07-28, 90.47, 93.05, 90.47, 92.73, 1251260, 0.0
2020-07-29, 91.29, 93.35, 91, 92.71, 990604, 0.0
2020-07-30, 93.11, 93.3, 91.14, 93.21, 791473, 0.0
2020-08-02, 93.45, 94.18, 93.12, 93.26, 617058, 0.0
2020-08-03, 93.28, 96.84, 93.21, 96.83, 1844377, 0.0
2020-08-04, 96.9, 97.9, 96.31, 97.58, 1214668, 0.0
2020-08-05, 97.99, 98.8864, 97.45, 98.82, 838054, 0.0
2020-08-06, 99.03, 99.43, 98.78, 99.24, 1315003, 0.0
2020-08-09, 98.78, 99.36, 98.57, 98.9, 1273013, 0.0
2020-08-10, 99.06, 100.73, 98.61, 99.99, 1889266, 0.0
2020-08-11, 100.01, 100.89, 99.68, 99.98, 1131811, 0.0
2020-08-12, 99.74, 100.435, 99.3961, 99.98, 769453, 0.0
2020-08-13, 99.6, 100.19, 99.6, 100.01, 613796, 0.0
2020-08-16, 100.59, 101.31, 100.04, 101.15, 787324, 0.0
2020-08-17, 101.21, 101.345, 100.2, 100.99, 730077, 0.0
2020-08-18, 100.03, 100.95, 100.02, 100.51, 950780, 0.0
2020-08-19, 99.98, 100.715, 99.3405, 100.39, 1040789, 0.0
2020-08-20, 99.89, 100.92, 99, 100.71, 1159214, 0.0
2020-08-23, 101, 101.3, 100.54, 100.83, 793533, 0.0
2020-08-24, 101.56, 102, 100.84, 101.89, 679147, 0.0
2020-08-25, 101.47, 102.69, 101.13, 102.45, 875414, 0.0
2020-08-26, 102.95, 103.6623, 102.19, 103.11, 951660, 0.0
2020-08-27, 103.05, 104.28, 102.58, 104.08, 644112, 0.0
2020-08-30, 103.92, 104.23, 103.2208, 103.37, 881407, 0.0
2020-08-31, 103.33, 104.28, 102.93, 104.02, 1043925, 0.0
2020-09-01, 104.44, 105.03, 103.66, 104.7, 1553177, 0.0
2020-09-02, 108.67, 110, 101.27, 102.97, 2416190, 0.0
