Date, Open, High, Low, Close, Volume, OI
2020-06-10, 46.99, 47, 43.65, 43.67, 60251397, 0.0
2020-06-11, 44.96, 45.86, 44.73, 44.99, 7415054, 0.0
2020-06-14, 44.12, 45.76, 43.93, 45.4, 36527508, 0.0
2020-06-15, 47.41, 47.49, 45.91, 46.54, 44691714, 0.0
2020-06-16, 46.75, 46.82, 45.9, 46.18, 28782554, 0.0
2020-06-17, 45.79, 46.05, 45.35, 45.82, 35114198, 0.0
2020-06-18, 46.26, 46.51, 45.05, 45.29, 22536743, 0.0
2020-06-21, 45.11, 45.46, 44.805, 45.17, 12482537, 0.0
2020-06-22, 45.92, 46.15, 45.32, 45.46, 17059483, 0.0
2020-06-23, 45.2875, 45.47, 44.39, 44.765, 19863052, 0.0
2020-06-24, 44.77, 45.32, 44.2, 45.23, 15368683, 0.0
2020-06-25, 45.1193, 46.51, 44.63, 46.32, 39150653, 0.0
2020-06-28, 46.34, 46.45, 45.67, 46.17, 20009546, 0.0
2020-06-29, 46.145, 47.01, 46.095, 46.64, 17077136, 0.0
2020-06-30, 46.54, 46.72, 46, 46.05, 15062776, 0.0
2020-07-01, 46.07, 46.2182, 45.48, 45.62, 16373187, 0.0
2020-07-05, 46.07, 46.49, 45.87, 46.43, 12517575, 0.0
2020-07-06, 46.12, 46.29, 45.56, 45.65, 14161228, 0.0
2020-07-07, 45.59, 46.07, 45.32, 45.83, 10674459, 0.0
2020-07-08, 46.6, 47.195, 46.22, 46.69, 23463680, 0.0
2020-07-09, 46.73, 46.92, 46.2366, 46.66, 10863870, 0.0
2020-07-12, 46.87, 46.99, 45.78, 45.91, 15592241, 0.0
2020-07-13, 45.49, 46.5, 45.4103, 46.25, 15941660, 0.0
2020-07-14, 46.5, 46.83, 45.985, 46.4, 13012513, 0.0
2020-07-15, 45.7, 45.83, 45.2, 45.7201, 14531738, 0.0
2020-07-16, 46.04, 46.93, 45.88, 46.74, 16023627, 0.0
2020-07-19, 46.67, 47.1, 46.26, 46.97, 13782265, 0.0
2020-07-20, 47.2796, 47.325, 46.85, 47.02, 13237144, 0.0
2020-07-21, 47.0161, 47.11, 46.53, 46.9, 23891333, 0.0
2020-07-22, 46.975, 47.7, 46.68, 47.43, 13666505, 0.0
2020-07-23, 47.49, 47.64, 46.11, 46.4, 15809512, 0.0
2020-07-26, 46.66, 47.26, 46.15, 47.19, 11721250, 0.0
2020-07-27, 46.98, 47.08, 46.21, 46.28, 12622703, 0.0
2020-07-28, 46.4, 46.88, 46.37, 46.7, 10237411, 0.0
2020-07-29, 46.13, 46.46, 45.375, 46.45, 14159923, 0.0
2020-07-30, 46.3852, 47.11, 45.86, 47.11, 13847310, 0.0
2020-08-02, 47.14, 47.29, 46.68, 47.15, 8602912, 0.0
2020-08-03, 47.01, 47.67, 46.91, 47.67, 10875264, 0.0
2020-08-04, 47.67, 47.7331, 47.05, 47.33, 10773999, 0.0
2020-08-05, 47.23, 47.825, 47.1, 47.78, 12362242, 0.0
2020-08-06, 47.33, 47.6, 47.03, 47.42, 14079251, 0.0
2020-08-09, 47.675, 48, 47.58, 47.74, 11757900, 0.0
2020-08-10, 47.9, 48.45, 47.085, 47.2, 17444326, 0.0
2020-08-11, 47.28, 48.13, 47.27, 48.0889, 20640363, 0.0
2020-08-12, 43.79, 43.84, 42.38, 42.72, 86675789, 0.0
2020-08-13, 42.49, 42.88, 42.27, 42.5, 29882497, 0.0
2020-08-16, 42.55, 42.7625, 41.86, 42.1, 25937390, 0.0
2020-08-17, 42.13, 42.29, 41.81, 41.97, 19627797, 0.0
2020-08-18, 42.1, 42.35, 41.78, 41.87, 17021877, 0.0
2020-08-19, 41.87, 42.42, 41.73, 42.31, 16076030, 0.0
2020-08-20, 42.05, 42.3, 41.81, 42.25, 15411693, 0.0
2020-08-23, 42.07, 42.47, 42, 42.18, 15637195, 0.0
2020-08-24, 42.23, 42.3, 41.78, 41.97, 13518676, 0.0
2020-08-25, 41.65, 42.28, 41.45, 42.24, 17297674, 0.0
2020-08-26, 42.4, 42.47, 42.02, 42.3, 20462717, 0.0
2020-08-27, 42.14, 42.3, 42, 42.2, 14905920, 0.0
2020-08-30, 42.1, 42.35, 41.94, 42.21, 15847873, 0.0
2020-08-31, 42, 42.07, 41.5, 42.04, 20725757, 0.0
2020-09-01, 42.04, 42.69, 42.03, 42.41, 26785581, 0.0
2020-09-02, 41.75, 41.83, 40.67, 40.96, 34503026, 0.0
