Date, Open, High, Low, Close, Volume, OI
2020-06-10, 71.78, 72.4, 68.22, 68.26, 8097138, 0.0
2020-06-11, 70.51, 70.67, 68.945, 68.96, 955039, 0.0
2020-06-14, 67.91, 70.56, 67.44, 70.15, 6026923, 0.0
2020-06-15, 72.56, 72.57, 69.585, 70.36, 6414257, 0.0
2020-06-16, 71.07, 71.07, 69.83, 69.86, 4479947, 0.0
2020-06-17, 69.24, 70.12, 69.08, 69.44, 4302798, 0.0
2020-06-18, 70.4, 70.47, 67.75, 68.03, 3952258, 0.0
2020-06-21, 67.75, 68.67, 67.07, 68.61, 2318413, 0.0
2020-06-22, 69.32, 69.865, 68.75, 69.43, 2606276, 0.0
2020-06-23, 68.43, 68.86, 67.44, 67.53, 3195899, 0.0
2020-06-24, 67.32, 68.35, 66.4126, 68.23, 2538240, 0.0
2020-06-25, 68, 68.29, 65.48, 65.88, 4728003, 0.0
2020-06-28, 66.57, 68.52, 66.34, 68.52, 3005455, 0.0
2020-06-29, 68.16, 70.31, 67.99, 69.81, 2686076, 0.0
2020-06-30, 69.86, 70.29, 67.87, 68.24, 2830034, 0.0
2020-07-01, 69.16, 69.88, 68.68, 68.88, 2163324, 0.0
2020-07-05, 69.73, 70.68, 69.69, 70.22, 2302229, 0.0
2020-07-06, 69.43, 70.03, 68.35, 68.54, 2374587, 0.0
2020-07-07, 68.64, 69.25, 68.17, 69.07, 2646371, 0.0
2020-07-08, 68.29, 69.05, 67.48, 67.86, 3594253, 0.0
2020-07-09, 67.69, 68.09, 67.16, 67.52, 3152409, 0.0
2020-07-12, 68.21, 69.975, 67.58, 68.67, 3211638, 0.0
2020-07-13, 68.06, 69.45, 67.8, 69.34, 3398720, 0.0
2020-07-14, 70.5, 71.015, 69.38, 70.66, 2945225, 0.0
2020-07-15, 70.29, 71.87, 70.2001, 71.05, 2305656, 0.0
2020-07-16, 71.65, 72.45, 71, 72.16, 2483265, 0.0
2020-07-19, 71.86, 72.04, 70.88, 71.56, 2467266, 0.0
2020-07-20, 71.92, 72.59, 71.6, 72.44, 2158395, 0.0
2020-07-21, 72.5, 73.77, 72.29, 73.26, 3778368, 0.0
2020-07-22, 72.07, 72.95, 71.19, 71.57, 2875762, 0.0
2020-07-23, 71.75, 72.61, 71.245, 71.33, 2694774, 0.0
2020-07-26, 70.99, 72.205, 70.92, 71.54, 2826542, 0.0
2020-07-27, 71.3, 71.33, 69.95, 70.1, 2649973, 0.0
2020-07-28, 70.69, 72.13, 70.3823, 71.92, 2592276, 0.0
2020-07-29, 70.98, 71.3, 70.06, 70.25, 2954570, 0.0
2020-07-30, 69.91, 71.39, 68.07, 71.36, 4813591, 0.0
2020-08-02, 71.1924, 71.65, 70.28, 70.35, 1862652, 0.0
2020-08-03, 70.17, 70.78, 69.795, 70.76, 2554515, 0.0
2020-08-04, 71.16, 71.515, 70.81, 71.44, 1919551, 0.0
2020-08-05, 71.45, 72.65, 71.22, 72.26, 2072933, 0.0
2020-08-06, 71.95, 73.23, 71.835, 72.92, 2449684, 0.0
2020-08-09, 73.92, 74.43, 73.6, 74.07, 3048661, 0.0
2020-08-10, 75.1, 76.47, 74.67, 75.15, 5184789, 0.0
2020-08-11, 75.58, 76.31, 74.93, 75.04, 2305950, 0.0
2020-08-12, 74.51, 74.96, 73.75, 73.99, 2113369, 0.0
2020-08-13, 73.67, 74.67, 73.49, 74.25, 2116784, 0.0
2020-08-16, 74.42, 75.28, 74.35, 75, 2290402, 0.0
2020-08-17, 75.19, 75.19, 74.32, 74.43, 2067888, 0.0
2020-08-18, 74.72, 74.85, 73.91, 74.055, 2403550, 0.0
2020-08-19, 73.3, 74.17, 73.25, 73.91, 2050863, 0.0
2020-08-20, 73.9, 74.26, 73.42, 74.14, 2708258, 0.0
2020-08-23, 74.5685, 75.18, 74.38, 75.15, 2338335, 0.0
2020-08-24, 75.59, 75.93, 74.82, 75.83, 2166757, 0.0
2020-08-25, 75.48, 75.785, 74.97, 75.39, 2466396, 0.0
2020-08-26, 75.99, 76.73, 75.28, 76.18, 2201393, 0.0
2020-08-27, 75.97, 77.18, 75.77, 77.08, 2241749, 0.0
2020-08-30, 77.18, 77.56, 76.15, 76.43, 2425989, 0.0
2020-08-31, 76.21, 78.06, 75.75, 78.04, 2765139, 0.0
2020-09-01, 77.95, 78.65, 77.165, 77.68, 4303178, 0.0
2020-09-02, 78.32, 78.41, 75.08, 75.65, 4193130, 0.0
