Date, Open, High, Low, Close, Volume, OI
2020-06-10, 56.08, 56.23, 53.62, 53.66, 5580002, 0.0
2020-06-11, 54.35, 55.47, 54, 54.03, 564385, 0.0
2020-06-14, 52.59, 55.1, 52.5, 54.71, 4410365, 0.0
2020-06-15, 56.2, 57.05, 54.83, 55.35, 4340169, 0.0
2020-06-16, 55.88, 56.05, 54.71, 55.48, 3188441, 0.0
2020-06-17, 54.66, 55.2, 53.9, 54.88, 4158611, 0.0
2020-06-18, 56, 56.01, 53.91, 54.15, 3041438, 0.0
2020-06-21, 53.92, 54.53, 53.16, 53.88, 1647003, 0.0
2020-06-22, 54.51, 55.44, 54.02, 55.2, 2268994, 0.0
2020-06-23, 54.76, 54.89, 53.77, 53.82, 3543326, 0.0
2020-06-24, 54.03, 55.67, 53.99, 55.61, 3250035, 0.0
2020-06-25, 55.37, 55.59, 54.59, 55.22, 2105623, 0.0
2020-06-28, 55.77, 56.52, 54.99, 56.51, 2379350, 0.0
2020-06-29, 56.59, 57.55, 56.27, 56.8, 2786988, 0.0
2020-06-30, 57, 57.4293, 55.95, 56.41, 2082714, 0.0
2020-07-01, 57.01, 57.68, 56.01, 56.07, 2466316, 0.0
2020-07-05, 57, 57.09, 56.085, 56.26, 1492028, 0.0
2020-07-06, 55.52, 56.4, 55.36, 55.85, 1852368, 0.0
2020-07-07, 56.09, 56.36, 55.22, 55.7, 1293629, 0.0
2020-07-08, 55.67, 55.7, 54.57, 55.27, 2765475, 0.0
2020-07-09, 55.05, 55.88, 54.915, 55.8, 1704631, 0.0
2020-07-12, 56.44, 57.72, 56.16, 56.44, 2879606, 0.0
2020-07-13, 56.02, 56.55, 55.175, 56.46, 2089388, 0.0
2020-07-14, 58, 60.4, 58, 59.66, 4044627, 0.0
2020-07-15, 60.9, 61.7, 60.5, 61.025, 4112615, 0.0
2020-07-16, 61.37, 61.77, 60.795, 61.42, 2341877, 0.0
2020-07-19, 61.36, 62.01, 61.05, 61.71, 1606509, 0.0
2020-07-20, 62.25, 62.91, 61.4, 61.63, 1956910, 0.0
2020-07-21, 61.63, 62.4099, 61.28, 61.99, 2682048, 0.0
2020-07-22, 62.1617, 62.56, 61.81, 62.08, 1364365, 0.0
2020-07-23, 62.18, 62.33, 61.455, 61.8, 2396220, 0.0
2020-07-26, 61.69, 63.665, 61.29, 63.41, 2614777, 0.0
2020-07-27, 63.42, 63.84, 62.58, 62.64, 2877696, 0.0
2020-07-28, 63.07, 65.2, 62.68, 64.8, 4307294, 0.0
2020-07-29, 68.92, 69.49, 67, 69.08, 5868158, 0.0
2020-07-30, 68.79, 69, 66.99, 68.34, 3081487, 0.0
2020-08-02, 66.85, 68.12, 66.67, 68.04, 2138706, 0.0
2020-08-03, 67.17, 67.99, 66.87, 67.93, 2267351, 0.0
2020-08-04, 68.14, 68.675, 67.16, 67.44, 2393171, 0.0
2020-08-05, 67.49, 67.73, 66.665, 67.58, 1822079, 0.0
2020-08-06, 67.2, 67.645, 66.695, 67.48, 1385760, 0.0
2020-08-09, 67.04, 67.27, 66.6131, 67.15, 1707690, 0.0
2020-08-10, 67.29, 67.575, 66.27, 66.53, 1893288, 0.0
2020-08-11, 66.96, 67.62, 66.89, 66.97, 1905834, 0.0
2020-08-12, 66.32, 67.295, 66.15, 66.9, 1335326, 0.0
2020-08-13, 66.49, 67.275, 66, 66.93, 1057477, 0.0
2020-08-16, 67.25, 67.84, 66.95, 67.58, 1347957, 0.0
2020-08-17, 67.6, 67.88, 67, 67.22, 1303295, 0.0
2020-08-18, 67.3, 67.67, 66.76, 66.91, 1303859, 0.0
2020-08-19, 66.12, 66.71, 66.02, 66.3, 1037375, 0.0
2020-08-20, 66.17, 66.21, 65.12, 65.72, 1998206, 0.0
2020-08-23, 65.71, 67.63, 65.54, 67.57, 2144835, 0.0
2020-08-24, 67.62, 67.65, 66.47, 66.93, 1573279, 0.0
2020-08-25, 67.08, 67.85, 66.58, 67.75, 1731691, 0.0
2020-08-26, 68, 68.3, 67.1568, 67.41, 1293398, 0.0
2020-08-27, 67.38, 67.735, 67.01, 67.69, 1275574, 0.0
2020-08-30, 67.39, 67.54, 66.72, 66.83, 1729100, 0.0
2020-08-31, 66.26, 67.03, 65.875, 66.97, 1335132, 0.0
2020-09-01, 67.45, 68.99, 67.09, 68.82, 2316441, 0.0
2020-09-02, 68.67, 68.89, 66.33, 67.12, 2808164, 0.0
