Date, Open, High, Low, Close, Volume, OI
2020-06-10, 140.73, 143.37, 137.5, 137.9, 3068342, 0.0
2020-06-11, 139.49, 141.24, 139.3, 140.79, 292678, 0.0
2020-06-14, 140.06, 143.33, 139.1333, 143.24, 2658938, 0.0
2020-06-15, 143.67, 146.99, 143.6, 145.47, 2188001, 0.0
2020-06-16, 145.42, 146.975, 144.505, 145.37, 1369764, 0.0
2020-06-17, 145.92, 146.99, 144.24, 146.61, 1967470, 0.0
2020-06-18, 148, 148.75, 144.94, 144.98, 1402233, 0.0
2020-06-21, 145.03, 145.48, 143.09, 144.87, 819641, 0.0
2020-06-22, 145.06, 145.475, 142.57, 142.62, 934234, 0.0
2020-06-23, 142.94, 144.925, 141.59, 142.17, 1113665, 0.0
2020-06-24, 142.66, 143.64, 140.11, 140.9, 1088575, 0.0
2020-06-25, 140.89, 144.14, 139.9, 142.81, 1348483, 0.0
2020-06-28, 142.46, 145.399, 141.03, 144.82, 1194718, 0.0
2020-06-29, 146.57, 148.36, 145.57, 147.76, 897442, 0.0
2020-06-30, 147.01, 149.84, 145.66, 149.38, 932967, 0.0
2020-07-01, 150, 151.62, 149.27, 149.99, 853109, 0.0
2020-07-05, 151.49, 152.212, 148.91, 150.39, 779945, 0.0
2020-07-06, 150.13, 152.6, 149.82, 150.07, 839056, 0.0
2020-07-07, 151.04, 151.66, 148.75, 149.65, 931472, 0.0
2020-07-08, 151.29, 153.29, 150.05, 152.68, 860552, 0.0
2020-07-09, 152.87, 153.39, 150.82, 152.19, 760306, 0.0
2020-07-12, 153.06, 154.5, 148.99, 149.07, 1147311, 0.0
2020-07-13, 147.96, 153.88, 146.75, 153.59, 1366708, 0.0
2020-07-14, 152.08, 154.2885, 150.39, 150.82, 1018009, 0.0
2020-07-15, 150.41, 152.56, 149.37, 151.86, 885108, 0.0
2020-07-16, 152.81, 156.3, 152.111, 155.84, 931162, 0.0
2020-07-19, 159.44, 167.9498, 158.455, 167.78, 2042108, 0.0
2020-07-20, 167, 169.32, 164.1, 165.87, 1947631, 0.0
2020-07-21, 168.71, 173.56, 167.05, 167.15, 1914428, 0.0
2020-07-22, 153.43, 160.7, 143.92, 145.5, 4800034, 0.0
2020-07-23, 145.4832, 147.59, 141.17, 142.52, 2948555, 0.0
2020-07-26, 143.5, 144.39, 140.1, 142.13, 1656323, 0.0
2020-07-27, 142.08, 142.08, 137.53, 138.065, 1928458, 0.0
2020-07-28, 138.93, 140.77, 137.67, 139.3, 1328834, 0.0
2020-07-29, 138.4, 142.01, 136.93, 141.68, 1721222, 0.0
2020-07-30, 142.54, 144.15, 138.18, 142.78, 1863751, 0.0
2020-08-02, 142.91, 143.44, 139.305, 139.86, 1459853, 0.0
2020-08-03, 138.85, 142.75, 137.8, 142.69, 1158258, 0.0
2020-08-04, 142.75, 142.78, 140.15, 142.7, 1000744, 0.0
2020-08-05, 142.29, 142.98, 140.15, 140.79, 844693, 0.0
2020-08-06, 141.03, 143.3134, 140.32, 141.14, 950905, 0.0
2020-08-09, 138.1, 138.26, 136.015, 137.51, 1036219, 0.0
2020-08-10, 138.13, 138.3828, 135.36, 135.76, 1310290, 0.0
2020-08-11, 135.71, 137.89, 135.45, 136.49, 741522, 0.0
2020-08-12, 137, 138.48, 136.42, 137.36, 805793, 0.0
2020-08-13, 137.32, 138.46, 135.96, 136.34, 590877, 0.0
2020-08-16, 137.1, 138.74, 136.91, 138.08, 662263, 0.0
2020-08-17, 138.96, 141.12, 138.37, 140.39, 845263, 0.0
2020-08-18, 139.9, 141.98, 139.075, 140.42, 685656, 0.0
2020-08-19, 140.2, 141.99, 139.67, 141.55, 729940, 0.0
2020-08-20, 141.3, 143.73, 140.2716, 143.17, 971081, 0.0
2020-08-23, 144.01, 144.49, 141.27, 142.8, 783146, 0.0
2020-08-24, 143.26, 144.4, 142.3907, 142.89, 734589, 0.0
2020-08-25, 142.92, 144.92, 142.4, 144.31, 746371, 0.0
2020-08-26, 144.15, 144.39, 140.96, 142.35, 839242, 0.0
2020-08-27, 143.08, 146.49, 142.62, 144.03, 810647, 0.0
2020-08-30, 143.59, 145.48, 142.67, 145.2, 853503, 0.0
2020-08-31, 145.04, 148.47, 144.5, 145.15, 1369572, 0.0
2020-09-01, 145.88, 148.47, 144.395, 147.8, 1082210, 0.0
2020-09-02, 147.12, 147.1283, 138.47, 140.69, 1578954, 0.0
