Date, Open, High, Low, Close, Volume, OI
2020-06-10, 90.47, 90.94, 88.85, 89.07, 4557162, 0.0
2020-06-11, 89.85, 90.25, 88.1, 88.11, 531118, 0.0
2020-06-14, 86.01, 89.75, 85.51, 89.17, 4127187, 0.0
2020-06-15, 91, 91.88, 89.47, 91.09, 3566335, 0.0
2020-06-16, 91.57, 91.7235, 88.98, 89.08, 3139634, 0.0
2020-06-17, 88.91, 90.93, 88.6, 90.74, 4526922, 0.0
2020-06-18, 91.125, 91.94, 88.5, 88.75, 1957240, 0.0
2020-06-21, 88.09, 90.36, 87.88, 90.22, 1196201, 0.0
2020-06-22, 90.76, 90.95, 89.155, 89.74, 1525004, 0.0
2020-06-23, 89.38, 90.33, 87.58, 90.16, 2393174, 0.0
2020-06-24, 90, 93.23, 88.7025, 93.13, 2951416, 0.0
2020-06-25, 93.48, 96.2, 92.11, 92.63, 3201862, 0.0
2020-06-28, 92.93, 94.81, 91.41, 93.69, 1755844, 0.0
2020-06-29, 92.82, 93.53, 90.65, 92.72, 2460896, 0.0
2020-06-30, 92.18, 93.84, 92.04, 93.4, 1657312, 0.0
2020-07-01, 93.76, 94.34, 92.9, 93.64, 2395635, 0.0
2020-07-05, 94.98, 95.24, 89.27, 89.77, 3172647, 0.0
2020-07-06, 89.75, 91.041, 88.96, 90.5, 1846894, 0.0
2020-07-07, 90.23, 90.48, 89.68, 90.27, 1640815, 0.0
2020-07-08, 91.26, 92, 89.66, 91.33, 1792315, 0.0
2020-07-09, 91.04, 91.93, 90.48, 91.87, 1411553, 0.0
2020-07-12, 92.24, 94.11, 91.76, 92.31, 1896318, 0.0
2020-07-13, 91.11, 94.51, 91.01, 94.38, 1468316, 0.0
2020-07-14, 94.97, 95.99, 94.59, 95.71, 1596062, 0.0
2020-07-15, 97.25, 99, 96.12, 96.51, 2597954, 0.0
2020-07-16, 96.7738, 96.91, 95.41, 95.46, 1148296, 0.0
2020-07-19, 97.18, 98.88, 95.47, 97.1, 1934658, 0.0
2020-07-20, 97.23, 98.31, 95.67, 96.08, 1643745, 0.0
2020-07-21, 95.52, 97.28, 95.051, 97.1, 1151458, 0.0
2020-07-22, 96.98, 97.27, 95.93, 96.31, 1084146, 0.0
2020-07-23, 96.41, 97.25, 95.34, 95.63, 1109367, 0.0
2020-07-26, 95.9839, 95.9839, 94.085, 95.41, 1147642, 0.0
2020-07-27, 95.31, 95.9, 94.54, 95.64, 1229048, 0.0
2020-07-28, 95.87, 96.59, 94.75, 95.02, 1430724, 0.0
2020-07-29, 94.16, 95.11, 93.79, 93.95, 1550177, 0.0
2020-07-30, 93.71, 93.71, 92.23, 93.35, 1580240, 0.0
2020-08-02, 94.01, 94.605, 92.74, 94.52, 1071370, 0.0
2020-08-03, 94.63, 96.24, 94.42, 95.93, 1641919, 0.0
2020-08-04, 96.3192, 97.105, 95.44, 95.78, 935163, 0.0
2020-08-05, 95.75, 95.95, 94.86, 95.6, 989356, 0.0
2020-08-06, 96.17, 97.03, 95.64, 96.49, 1207634, 0.0
2020-08-09, 96.405, 97.93, 96.3, 97.75, 1596736, 0.0
2020-08-10, 97.88, 98.5151, 95.9132, 96.49, 1162950, 0.0
2020-08-11, 96.82, 99.4, 95.87, 99.21, 1475154, 0.0
2020-08-12, 98.57, 98.835, 96.86, 97.3, 1748630, 0.0
2020-08-13, 97.21, 99.64, 96.7401, 98.83, 1729460, 0.0
2020-08-16, 99.66, 101.8826, 99.64, 100.89, 1522049, 0.0
2020-08-17, 101.31, 101.4901, 97.81, 99.26, 1511340, 0.0
2020-08-18, 100.05, 100.52, 99.04, 99.76, 1646828, 0.0
2020-08-19, 99.27, 99.6438, 98.6926, 98.91, 1047996, 0.0
2020-08-20, 98.7, 100.4889, 98.23, 100.3, 1283702, 0.0
2020-08-23, 101.01, 102.56, 99.74, 102.29, 1772382, 0.0
2020-08-24, 102.6, 102.85, 100.835, 102.58, 1497530, 0.0
2020-08-25, 102.59, 104.6373, 102.2801, 104.31, 2684738, 0.0
2020-08-26, 99.57, 101.86, 96.54, 96.72, 7948248, 0.0
2020-08-27, 97.22, 97.43, 93.65, 94.69, 4439066, 0.0
2020-08-30, 94.5, 96.61, 93.92, 96.27, 2269365, 0.0
2020-08-31, 96.22, 96.37, 93.52, 93.68, 2825758, 0.0
2020-09-01, 94.06, 94.97, 93.76, 94.69, 1632513, 0.0
2020-09-02, 94.96, 95.46, 92.43, 92.94, 1903592, 0.0
