Date, Open, High, Low, Close, Volume, OI
2020-06-10, 145, 154, 144.29, 148.87, 10167402, 0.0
2020-06-11, 152.06, 155.14, 150.5, 150.54, 1294459, 0.0
2020-06-14, 154.88, 163.7, 152.8632, 162.69, 15025035, 0.0
2020-06-15, 164.94, 165.08, 158.1837, 163.06, 10129585, 0.0
2020-06-16, 164.27, 167.868, 160.93, 161.58, 8063167, 0.0
2020-06-17, 161.71, 163.6, 160.41, 162.3, 8262116, 0.0
2020-06-18, 163.07, 165, 160, 161.04, 5886104, 0.0
2020-06-21, 164.33, 169.85, 163.49, 168.4, 3765659, 0.0
2020-06-22, 170.34, 171.2, 165.39, 167.12, 3701772, 0.0
2020-06-23, 167.41, 172.21, 163.73, 163.9, 5350737, 0.0
2020-06-24, 165, 169.8, 161.63, 168.47, 3031559, 0.0
2020-06-25, 168.77, 180.4508, 164.22, 177.58, 5969547, 0.0
2020-06-28, 176.24, 177, 166.6131, 171.61, 4943732, 0.0
2020-06-29, 172.3583, 174.48, 169.77, 172.1, 2812059, 0.0
2020-06-30, 171.25, 180.3799, 170.8001, 179.06, 3439258, 0.0
2020-07-01, 181, 199.49, 178.515, 190.99, 12988223, 0.0
2020-07-05, 196.45, 199.45, 190, 190.66, 5971162, 0.0
2020-07-06, 191.39, 202.65, 189.5852, 197.79, 5765779, 0.0
2020-07-07, 200.97, 206.55, 200.2801, 206.34, 5688305, 0.0
2020-07-08, 211.5, 217, 206.59, 212.42, 9869056, 0.0
2020-07-09, 212.53, 213.4, 204.15, 210.1, 4640760, 0.0
2020-07-12, 211.51, 211.839, 185.14, 190.0198, 9046782, 0.0
2020-07-13, 191, 196.93, 181.5, 196.2601, 7014266, 0.0
2020-07-14, 193.93, 195.2, 188.34, 192.83, 5188743, 0.0
2020-07-15, 190, 193.5, 186.202, 191.16, 3516111, 0.0
2020-07-16, 191.1, 196.84, 188.66, 196.49, 2932994, 0.0
2020-07-19, 197.9, 202.91, 196.58, 201.99, 4054920, 0.0
2020-07-20, 203.82, 204.87, 198.2917, 201.1, 3730600, 0.0
2020-07-21, 201.37, 204.5, 199.33, 204, 2680837, 0.0
2020-07-22, 204, 208.8, 198.03, 198.5, 2301684, 0.0
2020-07-23, 193, 194.74, 186.77, 190.95, 3873485, 0.0
2020-07-26, 191.65, 197.8, 188.71, 196.31, 2245638, 0.0
2020-07-27, 196.27, 202.11, 195.14, 196.69, 2318585, 0.0
2020-07-28, 198.6, 210.48, 198.6, 209.15, 4315503, 0.0
2020-07-29, 206.11, 215, 205, 213.94, 4120578, 0.0
2020-07-30, 216.88, 217.7, 210.3464, 216.82, 2871666, 0.0
2020-08-02, 218.72, 227.3299, 218.33, 226.23, 2651699, 0.0
2020-08-03, 225.2, 229.41, 221.24, 227.68, 2256510, 0.0
2020-08-04, 227.68, 229.83, 225.06, 226.04, 1748048, 0.0
2020-08-05, 226.75, 228.5, 212.06, 215.74, 4320065, 0.0
2020-08-06, 215.19, 215.42, 199.17, 204.8, 5490563, 0.0
2020-08-09, 198.32, 201.96, 193.6, 198.38, 4105310, 0.0
2020-08-10, 197.51, 199.84, 191.38, 191.54, 3628371, 0.0
2020-08-11, 192.65, 196.88, 189.12, 193.26, 4221197, 0.0
2020-08-12, 194.22, 203.85, 193.62, 199.33, 3383361, 0.0
2020-08-13, 201.355, 204.46, 197.21, 199.67, 1867017, 0.0
2020-08-16, 202.24, 209.83, 199.71, 207.75, 2349812, 0.0
2020-08-17, 213.49, 213.53, 207.6881, 209.48, 2392882, 0.0
2020-08-18, 209.91, 212.17, 205.33, 208.43, 1669637, 0.0
2020-08-19, 207.49, 215.5, 206.27, 214.48, 1993081, 0.0
2020-08-20, 214.42, 216.4, 209.17, 210.2, 2833365, 0.0
2020-08-23, 212.57, 213.44, 201.5544, 204.48, 2678673, 0.0
2020-08-24, 203.46, 205.5, 199.01, 205.01, 2037564, 0.0
2020-08-25, 209.01, 218.42, 207.34, 214.36, 3454924, 0.0
2020-08-26, 214.15, 217.9, 209.155, 214.78, 2314616, 0.0
2020-08-27, 218.05, 223.825, 215.1, 215.12, 3305116, 0.0
2020-08-30, 218.6693, 224.14, 215.515, 222.88, 3218583, 0.0
2020-08-31, 240.68, 271.44, 237, 268.79, 19649274, 0.0
2020-09-01, 282.72, 290.23, 251.12, 265, 23991539, 0.0
2020-09-02, 248.61, 251.9, 225.1621, 242.09, 28245052, 0.0
