Date, Open, High, Low, Close, Volume, OI
2020-06-10, 378, 381.57, 360.918, 363.01, 2327750, 0.0
2020-06-11, 368.5989, 385.89, 366.49, 371.44, 446890, 0.0
2020-06-14, 363, 399.54, 358.68, 399.15, 3217406, 0.0
2020-06-15, 402, 403.37, 386.2801, 393.05, 2272797, 0.0
2020-06-16, 398.52, 407.34, 395.6711, 403.22, 2087391, 0.0
2020-06-17, 405.11, 407.41, 399.12, 401.7, 1321880, 0.0
2020-06-18, 405.15, 412.25, 403.12, 409.36, 1187880, 0.0
2020-06-21, 415.03, 415.49, 404.78, 406.33, 722109, 0.0
2020-06-22, 407.37, 414.57, 405, 406.91, 665564, 0.0
2020-06-23, 405.76, 411.72, 387.02, 394.35, 941365, 0.0
2020-06-24, 395.21, 398.69, 380.0678, 398.05, 992002, 0.0
2020-06-25, 399.94, 404.56, 375.24, 383.07, 1081964, 0.0
2020-06-28, 387.69, 398.55, 376.88, 398.34, 868673, 0.0
2020-06-29, 397.8, 408.74, 391.825, 405.27, 905100, 0.0
2020-06-30, 408.96, 408.96, 395.3, 400.24, 937057, 0.0
2020-07-01, 402.22, 415.475, 398.06, 407.18, 1008430, 0.0
2020-07-05, 412.2, 432.8962, 408.81, 423.17, 1111527, 0.0
2020-07-06, 427.4, 439.49, 424.18, 426.28, 963080, 0.0
2020-07-07, 429.26, 435.4, 426.09, 435.26, 824605, 0.0
2020-07-08, 435.8, 445.52, 428.5, 440.5, 974207, 0.0
2020-07-09, 439.33, 442.73, 433, 439.64, 1086192, 0.0
2020-07-12, 441.43, 446.5, 402.45, 404.41, 1461060, 0.0
2020-07-13, 396.56, 411.32, 381.12, 409.9, 1469492, 0.0
2020-07-14, 415, 419.99, 407.23, 417.85, 773649, 0.0
2020-07-15, 413.13, 416.22, 400.71, 413.19, 476920, 0.0
2020-07-16, 416.66, 429.75, 413.25, 424.43, 745224, 0.0
2020-07-19, 430.76, 437, 427.39, 432.25, 664577, 0.0
2020-07-20, 432.37, 435, 420.3801, 429.03, 567313, 0.0
2020-07-21, 430.82, 434.74, 417.68, 426.26, 383934, 0.0
2020-07-22, 427.26, 437.67, 417.26, 420.19, 433835, 0.0
2020-07-23, 420.46, 424.8771, 402.65, 421.56, 577462, 0.0
2020-07-26, 428.16, 428.16, 411.58, 423.43, 746287, 0.0
2020-07-27, 423.17, 431.5, 416.6, 418.22, 1058046, 0.0
2020-07-28, 429.83, 444.72, 411.68, 427.41, 1783537, 0.0
2020-07-29, 423.35, 432.23, 416.24, 431.96, 814114, 0.0
2020-07-30, 434.78, 442.1266, 425.01, 435.66, 718732, 0.0
2020-08-02, 440.62, 449.4477, 432.39, 443.505, 495844, 0.0
2020-08-03, 442.095, 442.82, 434.635, 441.88, 595347, 0.0
2020-08-04, 441.75, 455, 436.605, 451.79, 630963, 0.0
2020-08-05, 452.41, 452.89, 429.56, 439.23, 784927, 0.0
2020-08-06, 440.88, 456.23, 435.02, 440.7, 859781, 0.0
2020-08-09, 432.51, 433.15, 406.2139, 421.62, 973560, 0.0
2020-08-10, 415.01, 419.21, 403.15, 411.14, 729448, 0.0
2020-08-11, 412.2, 430.42, 412.2, 427.69, 556250, 0.0
2020-08-12, 432.8, 439.9882, 430.74, 435.28, 537772, 0.0
2020-08-13, 436.5, 440.45, 423.1034, 424.85, 422690, 0.0
2020-08-16, 428.97, 441.84, 427.4256, 441.48, 487913, 0.0
2020-08-17, 445.1592, 446.311, 434.0829, 437.21, 428073, 0.0
2020-08-18, 438.72, 441.28, 429.04, 432.87, 373096, 0.0
2020-08-19, 431.91, 441.06, 431.5, 431.89, 398514, 0.0
2020-08-20, 432.88, 434.805, 424, 426.91, 481478, 0.0
2020-08-23, 427.7369, 428.99, 414.5001, 422.79, 472251, 0.0
2020-08-24, 411.41, 430.7, 411.0923, 430.05, 450894, 0.0
2020-08-25, 425.64, 433.52, 423.03, 425.72, 504891, 0.0
2020-08-26, 425.27, 431.22, 413.02, 427.75, 607524, 0.0
2020-08-27, 428.32, 431.02, 417.8, 418.83, 453047, 0.0
2020-08-30, 418.04, 427.83, 412.6009, 424.84, 511726, 0.0
2020-08-31, 423.02, 431.29, 419.9055, 422.38, 544953, 0.0
2020-09-01, 423.91, 449.98, 413.02, 447.71, 1429529, 0.0
2020-09-02, 436, 446.46, 409, 412.94, 1448213, 0.0
