Date, Open, High, Low, Close, Volume, OI
2020-06-10, 124.66, 127.54, 121.94, 122.43, 6302986, 0.0
2020-06-11, 123.1, 124.76, 122.23, 122.26, 428903, 0.0
2020-06-14, 122.9, 127.5, 122.71, 126.52, 6606711, 0.0
2020-06-15, 127.14, 127.87, 125.06, 125.72, 4414874, 0.0
2020-06-16, 126.73, 129.0065, 126.29, 128.11, 3573241, 0.0
2020-06-17, 128.1, 129.45, 128.1, 129.38, 3108373, 0.0
2020-06-18, 131.1277, 131.24, 127.9, 130.17, 2108252, 0.0
2020-06-21, 131.02, 131.86, 128.8, 129.73, 1996617, 0.0
2020-06-22, 131.32, 133.6, 130.2, 130.58, 2142292, 0.0
2020-06-23, 130.55, 131.6, 128.65, 130.93, 1893393, 0.0
2020-06-24, 131.48, 131.89, 129.09, 130.75, 1841205, 0.0
2020-06-25, 130.92, 131.38, 128.09, 130.93, 1902511, 0.0
2020-06-28, 130.98, 132.37, 129.2, 130.75, 1420167, 0.0
2020-06-29, 132.61, 132.61, 130.7, 132.05, 1632785, 0.0
2020-06-30, 132.04, 135.52, 131.33, 135.22, 2699301, 0.0
2020-07-01, 136.42, 136.42, 133.47, 133.85, 1570209, 0.0
2020-07-05, 135.47, 136.5231, 133.51, 134.23, 1470159, 0.0
2020-07-06, 133.87, 137.42, 133.8, 134.78, 1404929, 0.0
2020-07-07, 135.91, 136.34, 134.51, 135.61, 1360634, 0.0
2020-07-08, 136.36, 139.11, 136.06, 138.84, 1830826, 0.0
2020-07-09, 139.42, 141.25, 138.29, 140.81, 1795464, 0.0
2020-07-12, 141.01, 141.58, 134.77, 135.32, 1983521, 0.0
2020-07-13, 134.2035, 138.79, 133.48, 138.52, 1818448, 0.0
2020-07-14, 137.98, 138.98, 135.84, 138.42, 1718684, 0.0
2020-07-15, 137.84, 138.3577, 135.75, 137.915, 1044475, 0.0
2020-07-16, 138.18, 138.73, 136.84, 138.27, 1213441, 0.0
2020-07-19, 139.43, 142.31, 138.75, 141.54, 1287730, 0.0
2020-07-20, 141.56, 141.985, 138.89, 139.36, 1250242, 0.0
2020-07-21, 140.95, 140.95, 137.87, 138.3, 1439437, 0.0
2020-07-22, 139.3, 139.57, 134.73, 135.31, 1229867, 0.0
2020-07-23, 133.75, 136.26, 132.72, 135.24, 1199987, 0.0
2020-07-26, 135.49, 137.1443, 134.82, 136.16, 1235439, 0.0
2020-07-27, 135.42, 136.31, 134.39, 134.8, 1167162, 0.0
2020-07-28, 135.77, 136.505, 134.685, 135.96, 1250934, 0.0
2020-07-29, 135.7, 138.84, 135.25, 138.54, 2426572, 0.0
2020-07-30, 142.04, 142.84, 137.1, 141.61, 3694589, 0.0
2020-08-02, 141.55, 143.43, 139.55, 142.31, 1685473, 0.0
2020-08-03, 143.24, 146.5, 143.105, 146.32, 2127795, 0.0
2020-08-04, 145.82, 146.335, 143.26, 146.18, 1719057, 0.0
2020-08-05, 146.33, 147.36, 144.5, 146.99, 1439319, 0.0
2020-08-06, 146.43, 146.84, 142.316, 143.99, 1312833, 0.0
2020-08-09, 141.7474, 142.32, 139.5, 140.66, 1029863, 0.0
2020-08-10, 141.15, 141.15, 135.5601, 135.65, 2018486, 0.0
2020-08-11, 136.88, 140.3, 136.18, 139.9, 1470884, 0.0
2020-08-12, 141.12, 142.85, 140.58, 141.8, 1021494, 0.0
2020-08-13, 141.6436, 142.4524, 139.95, 140.44, 1701101, 0.0
2020-08-16, 139.25, 140.97, 138.31, 140.44, 1114208, 0.0
2020-08-17, 140.6, 142.74, 140.16, 142.59, 1183605, 0.0
2020-08-18, 142.28, 143.62, 141.07, 141.87, 1231923, 0.0
2020-08-19, 141.62, 143.96, 141.05, 143.49, 1005002, 0.0
2020-08-20, 142.76, 142.99, 140.84, 141.2, 1081532, 0.0
2020-08-23, 142.27, 142.84, 141.21, 142.32, 1284002, 0.0
2020-08-24, 142.01, 142.4, 141, 142.22, 679025, 0.0
2020-08-25, 142.06, 144.5, 142.06, 143.655, 1344350, 0.0
2020-08-26, 143.38, 143.74, 139.85, 141.78, 1763579, 0.0
2020-08-27, 142.34, 142.34, 140.015, 140.88, 1027270, 0.0
2020-08-30, 141.08, 141.11, 138.09, 139.44, 2001986, 0.0
2020-08-31, 140.74, 140.74, 137.08, 138.26, 2440733, 0.0
2020-09-01, 138, 140.3, 136.64, 139.54, 2041332, 0.0
2020-09-02, 138.24, 138.24, 131.22, 132.82, 3054443, 0.0
