Date, Open, High, Low, Close, Volume, OI
2020-06-10, 39.42, 39.54, 37.72, 38.055, 18816798, 0.0
2020-06-11, 38.67, 38.84, 37.85, 37.87, 1626849, 0.0
2020-06-14, 36.97, 38.465, 36.58, 38.31, 9943064, 0.0
2020-06-15, 39.27, 39.75, 38.22, 38.57, 8518696, 0.0
2020-06-16, 38.68, 38.77, 37.92, 38.45, 8411205, 0.0
2020-06-17, 38.14, 38.275, 37.81, 38.2, 7618885, 0.0
2020-06-18, 38.51, 38.81, 37.43, 37.565, 8548639, 0.0
2020-06-21, 37.33, 37.84, 37.05, 37.57, 3484994, 0.0
2020-06-22, 37.99, 38.01, 37.19, 37.25, 4681427, 0.0
2020-06-23, 36.81, 37.17, 36.245, 36.475, 5883118, 0.0
2020-06-24, 36.37, 36.37, 35.0299, 35.41, 8446415, 0.0
2020-06-25, 35.44, 35.59, 34.49, 34.72, 6550398, 0.0
2020-06-28, 35.11, 36, 34.785, 35.99, 4063887, 0.0
2020-06-29, 35.6977, 36.56, 35.591, 36.28, 3676972, 0.0
2020-06-30, 36.15, 37.49, 36.04, 37.36, 5038473, 0.0
2020-07-01, 37.527, 38.04, 37.365, 37.49, 3809990, 0.0
2020-07-05, 37.78, 38.14, 37.03, 37.4, 2667277, 0.0
2020-07-06, 36.92, 37.08, 36.515, 37, 4330116, 0.0
2020-07-07, 37.035, 37.265, 36.5201, 37.16, 3740345, 0.0
2020-07-08, 36.91, 37.03, 35.89, 36.62, 5026841, 0.0
2020-07-09, 36.72, 37.52, 36.511, 37.38, 3571265, 0.0
2020-07-12, 37.35, 37.73, 37.1, 37.46, 3698363, 0.0
2020-07-13, 37.22, 38.07, 37.22, 37.87, 5715454, 0.0
2020-07-14, 38.11, 38.59, 37.91, 38.05, 4306529, 0.0
2020-07-15, 38.09, 38.4101, 37.82, 38.05, 3531121, 0.0
2020-07-16, 38.65, 39.52, 38.4, 39.39, 6116763, 0.0
2020-07-19, 39.08, 39.25, 38.115, 38.32, 4501510, 0.0
2020-07-20, 38.46, 38.92, 38.14, 38.74, 6295766, 0.0
2020-07-21, 38.2467, 39.03, 37.833, 38.99, 9719413, 0.0
2020-07-22, 39.05, 39.3, 38.42, 38.655, 4119618, 0.0
2020-07-23, 38.48, 38.93, 37.505, 37.78, 4817065, 0.0
2020-07-26, 37.83, 38, 37.0377, 37.58, 5153998, 0.0
2020-07-27, 37.48, 38.59, 37.41, 37.98, 6440935, 0.0
2020-07-28, 38.02, 38.57, 37.8, 38.56, 4941535, 0.0
2020-07-29, 38.05, 38.495, 37.56, 38.47, 3802052, 0.0
2020-07-30, 38.31, 38.63, 37.95, 38.61, 5360708, 0.0
2020-08-02, 38.38, 38.45, 37.7, 37.99, 3169450, 0.0
2020-08-03, 37.56, 38.93, 37.34, 38.74, 6565376, 0.0
2020-08-04, 38.6878, 38.92, 37.51, 37.73, 4691299, 0.0
2020-08-05, 37.65, 37.95, 37.35, 37.9, 3977894, 0.0
2020-08-06, 37.9, 39.055, 37.74, 38.93, 5024558, 0.0
2020-08-09, 38.91, 39.29, 37.95, 38.305, 6968628, 0.0
2020-08-10, 38.54, 38.75, 37.72, 37.92, 6044665, 0.0
2020-08-11, 38, 38.93, 37.91, 38.7, 4295634, 0.0
2020-08-12, 38.17, 38.27, 37.73, 37.95, 3635183, 0.0
2020-08-13, 37.75, 38.02, 37.55, 37.93, 2880378, 0.0
2020-08-16, 37.59, 37.72, 37.15, 37.35, 3995972, 0.0
2020-08-17, 37.4168, 37.6101, 36.89, 37.07, 3638949, 0.0
2020-08-18, 37.17, 37.4, 36.89, 37.025, 4103915, 0.0
2020-08-19, 37.2, 37.24, 36.28, 36.31, 3035822, 0.0
2020-08-20, 36.45, 36.585, 35.97, 36.52, 5830269, 0.0
2020-08-23, 36.81, 37.74, 36.54, 37.69, 5225570, 0.0
2020-08-24, 37.78, 37.8, 36.85, 37.13, 3386179, 0.0
2020-08-25, 37.01, 37.3, 36.55, 37.275, 5042415, 0.0
2020-08-26, 37.15, 37.5666, 36.68, 36.9, 4446165, 0.0
2020-08-27, 36.899, 37.06, 36.645, 37.05, 2980302, 0.0
2020-08-30, 36.75, 37.31, 36.75, 36.89, 2750355, 0.0
2020-08-31, 36.7, 36.75, 36.12, 36.33, 3689721, 0.0
2020-09-01, 36.77, 38.23, 36.25, 38.02, 8815310, 0.0
2020-09-02, 38.04, 38.35, 36.84, 37.29, 7637574, 0.0
