Date, Open, High, Low, Close, Volume, OI
2020-06-10, 81.78, 83.73, 77.3, 77.69, 11270602, 0.0
2020-06-11, 82.51, 84.2293, 80.6501, 80.75, 1074459, 0.0
2020-06-14, 79.34, 84.91, 78.16, 84.27, 6192494, 0.0
2020-06-15, 88.23, 89.18, 83.01, 85.3, 6091419, 0.0
2020-06-16, 86.03, 86.08, 83.564, 84.68, 5588575, 0.0
2020-06-17, 83.62, 86.7, 83.13, 84.4, 4100806, 0.0
2020-06-18, 85.69, 86.265, 81.8, 82.05, 2793177, 0.0
2020-06-21, 82.68, 83.25, 80.33, 83.19, 2222826, 0.0
2020-06-22, 84.87, 87.03, 83.7, 86.66, 2708514, 0.0
2020-06-23, 86.27, 86.28, 78.83, 81.22, 6230946, 0.0
2020-06-24, 80.79, 82.9, 79.5423, 82.76, 3773287, 0.0
2020-06-25, 82.99, 83.95, 77.33, 77.45, 5806107, 0.0
2020-06-28, 78.01, 82.82, 75.75, 82.66, 4444136, 0.0
2020-06-29, 83.15, 83.15, 80.851, 82.19, 2718255, 0.0
2020-06-30, 83.21, 86.11, 82.39, 84.43, 3029198, 0.0
2020-07-01, 86.48, 88.08, 83.47, 84.89, 2687869, 0.0
2020-07-05, 88.59, 89.8182, 83.99, 87.34, 4026446, 0.0
2020-07-06, 85.87, 86.22, 83.67, 85.03, 2503823, 0.0
2020-07-07, 84.81, 84.99, 81.96, 84.2, 3611317, 0.0
2020-07-08, 83.94, 84.14, 79.1456, 81.55, 5367811, 0.0
2020-07-09, 81.04, 84.0885, 80.05, 83.53, 3805614, 0.0
2020-07-12, 84.45, 86.07, 81.48, 81.57, 3548964, 0.0
2020-07-13, 80.835, 82.65, 80.315, 82.48, 1987186, 0.0
2020-07-14, 86.2572, 91.29, 86.13, 90.22, 5115901, 0.0
2020-07-15, 88.45, 89.07, 86.45, 87.125, 2071519, 0.0
2020-07-16, 87.21, 87.25, 85.57, 86.87, 1506856, 0.0
2020-07-19, 86.09, 87.55, 84.53, 86.9, 1746822, 0.0
2020-07-20, 87.72, 89.11, 86.7, 87.53, 1707498, 0.0
2020-07-21, 86.88, 87.8, 85.99, 87.68, 1887887, 0.0
2020-07-22, 87.1, 87.23, 84.81, 85.17, 1781093, 0.0
2020-07-23, 84.86, 85.6, 83.285, 83.72, 2240809, 0.0
2020-07-26, 83.4, 84.8, 80.7, 84.41, 2330294, 0.0
2020-07-27, 84.19, 85.48, 83.48, 83.69, 1377304, 0.0
2020-07-28, 84.01, 85.67, 82.27, 85.33, 1692793, 0.0
2020-07-29, 83.91, 85.08, 81.48, 84.83, 2560890, 0.0
2020-07-30, 80.83, 81.32, 76.75, 81.03, 10451669, 0.0
2020-08-02, 81.1, 82.29, 79.92, 79.97, 2372428, 0.0
2020-08-03, 79.86, 81.4, 79.07, 79.73, 3839922, 0.0
2020-08-04, 80.96, 82.8, 80.5, 82.58, 2272623, 0.0
2020-08-05, 81.81, 85.58, 81.48, 84.21, 2897922, 0.0
2020-08-06, 83.48, 84.05, 80.89, 82.6, 2965223, 0.0
2020-08-09, 83.48, 86.37, 83.1, 84.93, 1940457, 0.0
2020-08-10, 87.6, 90.69, 87.42, 88.05, 3929564, 0.0
2020-08-11, 88.35, 88.99, 85.73, 86.95, 1753319, 0.0
2020-08-12, 86.95, 88.76, 86.14, 86.98, 1411676, 0.0
2020-08-13, 86.56, 86.99, 85.44, 86.75, 1417231, 0.0
2020-08-16, 87.37, 87.83, 85.66, 87.71, 1455645, 0.0
2020-08-17, 87.1564, 88.72, 86.6825, 88.5, 1562769, 0.0
2020-08-18, 88.14, 88.82, 87, 87.72, 2283261, 0.0
2020-08-19, 86.97, 89.205, 86.76, 88.63, 1123294, 0.0
2020-08-20, 88.23, 91.3, 87.97, 91.1, 1962982, 0.0
2020-08-23, 92.15, 95.97, 91.55, 95.46, 3349991, 0.0
2020-08-24, 95.59, 96.63, 93.33, 96.47, 2263996, 0.0
2020-08-25, 96, 96.82, 94.9415, 95.11, 1861481, 0.0
2020-08-26, 96.1, 98.48, 95.77, 97.74, 2636949, 0.0
2020-08-27, 98.73, 101.45, 97.9, 100.88, 2835820, 0.0
2020-08-30, 101.02, 101.02, 98.07, 98.07, 2374629, 0.0
2020-08-31, 97.6, 99.3305, 96.69, 99.27, 1765778, 0.0
2020-09-01, 100.46, 103.49, 99.2, 102.95, 3615463, 0.0
2020-09-02, 101.72, 104.05, 99.21, 100.29, 3589698, 0.0
