Date, Open, High, Low, Close, Volume, OI
2020-06-10, 42.03, 42.09, 40.59, 40.65, 6480963, 0.0
2020-06-11, 41.48, 41.48, 40.155, 40.185, 982498, 0.0
2020-06-14, 39.64, 40.73, 39.15, 40.69, 8607000, 0.0
2020-06-15, 41.8, 42.0867, 40.91, 41.81, 8191670, 0.0
2020-06-16, 42.04, 42.37, 41.7, 42.06, 4853172, 0.0
2020-06-17, 41.88, 42.285, 41.61, 41.99, 4657314, 0.0
2020-06-18, 42.41, 42.65, 41.29, 41.595, 3818037, 0.0
2020-06-21, 41.5, 42.21, 41.07, 41.98, 2081364, 0.0
2020-06-22, 42.93, 42.93, 42.205, 42.23, 2500375, 0.0
2020-06-23, 41.77, 42.25, 41.29, 41.35, 2963740, 0.0
2020-06-24, 41.33, 41.84, 40.9, 41.67, 2493486, 0.0
2020-06-25, 41.51, 41.78, 40.81, 41, 2400363, 0.0
2020-06-28, 41.27, 42.21, 41.25, 41.93, 3509026, 0.0
2020-06-29, 41.7, 43.14, 41.46, 42.81, 3814167, 0.0
2020-06-30, 43.02, 43.18, 42.62, 42.99, 4044773, 0.0
2020-07-01, 43.68, 44.26, 43.54, 44.03, 4901363, 0.0
2020-07-05, 44.56, 44.79, 43.86, 44.22, 3873061, 0.0
2020-07-06, 44.18, 44.65, 43.945, 44.05, 4029393, 0.0
2020-07-07, 44.03, 44.12, 42.57, 43.03, 4158445, 0.0
2020-07-08, 42.96, 43.36, 42.66, 43.1, 4654516, 0.0
2020-07-09, 43.02, 43.21, 42.375, 43.025, 3379457, 0.0
2020-07-12, 43.34, 44.275, 43.32, 43.39, 4688737, 0.0
2020-07-13, 43.86, 45, 42.46, 43.4, 6913106, 0.0
2020-07-14, 43.62, 44.27, 42.64, 44.02, 5384596, 0.0
2020-07-15, 44, 44.145, 43.21, 43.47, 3294224, 0.0
2020-07-16, 43.62, 44.59, 43.53, 44.19, 3725055, 0.0
2020-07-19, 44.13, 45.025, 44, 44.85, 2544716, 0.0
2020-07-20, 45.11, 45.7, 45.06, 45.54, 4591425, 0.0
2020-07-21, 45.65, 45.99, 45.41, 45.84, 2754679, 0.0
2020-07-22, 45.95, 46.5382, 45.695, 45.775, 2462192, 0.0
2020-07-23, 45.73, 46.16, 45.4, 45.74, 3082698, 0.0
2020-07-26, 45.58, 46.44, 45.58, 46.22, 2962533, 0.0
2020-07-27, 45.91, 46.01, 45.34, 45.38, 2386114, 0.0
2020-07-28, 45.638, 46.83, 45.45, 46.55, 3056561, 0.0
2020-07-29, 45.91, 47.015, 45.72, 46.89, 2961946, 0.0
2020-07-30, 47.06, 47.07, 46.145, 47.03, 2591344, 0.0
2020-08-02, 47.37, 47.955, 47.25, 47.46, 2376004, 0.0
2020-08-03, 47.18, 47.59, 47.11, 47.53, 3269904, 0.0
2020-08-04, 47.54, 48.21, 47.49, 48.05, 1893161, 0.0
2020-08-05, 47.195, 48.02, 47.1111, 47.95, 2426122, 0.0
2020-08-06, 47.89, 48.51, 47.65, 48.44, 2251863, 0.0
2020-08-09, 48.08, 48.2002, 47.731, 47.94, 2119969, 0.0
2020-08-10, 48.18, 48.37, 47.255, 47.39, 4051919, 0.0
2020-08-11, 47.58, 48.48, 47.51, 48.14, 2614396, 0.0
2020-08-12, 48.05, 48.38, 47.82, 48, 1978182, 0.0
2020-08-13, 47.76, 48.335, 47.645, 47.98, 1613670, 0.0
2020-08-16, 48.05, 48.475, 47.955, 48.28, 1750024, 0.0
2020-08-17, 48.33, 48.55, 48.05, 48.07, 1646045, 0.0
2020-08-18, 48.23, 48.545, 47.89, 48.04, 1752452, 0.0
2020-08-19, 47.8, 48.29, 47.645, 48.21, 1415379, 0.0
2020-08-20, 48.22, 48.57, 47.92, 48.53, 1598958, 0.0
2020-08-23, 48.72, 48.89, 47.18, 47.875, 2526845, 0.0
2020-08-24, 48.12, 48.21, 47.6, 47.9, 2029364, 0.0
2020-08-25, 47.87, 48.305, 47.5739, 48.09, 2258690, 0.0
2020-08-26, 48.36, 48.71, 48.035, 48.34, 2298137, 0.0
2020-08-27, 48.53, 48.88, 48.33, 48.84, 2064642, 0.0
2020-08-30, 48.68, 49.08, 48.61, 48.85, 2412401, 0.0
2020-08-31, 48.86, 49.53, 48.45, 49.49, 2570350, 0.0
2020-09-01, 49.57, 49.86, 49.27, 49.67, 4284166, 0.0
2020-09-02, 48.94, 49.12, 46.51, 47.02, 4901556, 0.0
