Date, Open, High, Low, Close, Volume, OI
2020-06-10, 105.25, 105.4, 98.83, 99.85, 6148160, 0.0
2020-06-11, 102.4, 102.62, 99.35, 99.37, 3239106, 0.0
2020-06-14, 99.15, 100.93, 97.6, 100.01, 7188117, 0.0
2020-06-15, 102.74, 104.25, 101.42, 103.24, 6864496, 0.0
2020-06-16, 103.64, 104.31, 102.17, 103.13, 2750507, 0.0
2020-06-17, 103.45, 104.36, 102.38, 104.01, 2632770, 0.0
2020-06-18, 105.34, 105.34, 100.11, 100.11, 9814488, 0.0
2020-06-21, 99.79, 102.5027, 99.49, 101.28, 3279950, 0.0
2020-06-22, 102.33, 103.19, 101.1017, 101.97, 3100314, 0.0
2020-06-23, 101.02, 101.6, 96.35, 96.601, 5083673, 0.0
2020-06-24, 96.63, 97.74, 96.05, 97.42, 3389588, 0.0
2020-06-25, 97.24, 97.9, 94.5, 95, 5584444, 0.0
2020-06-28, 95.16, 97.04, 93.75, 96.98, 4432656, 0.0
2020-06-29, 96.28, 98.02, 96.01, 97.53, 3314526, 0.0
2020-06-30, 97.88, 98.98, 96.96, 98.51, 2641945, 0.0
2020-07-01, 100, 100.72, 98.06, 98.27, 2247129, 0.0
2020-07-05, 99.43, 99.87, 97.84, 98.04, 2479890, 0.0
2020-07-06, 97.96, 99.85, 96.46, 96.75, 3881515, 0.0
2020-07-07, 96.99, 97.69, 95.89, 97.1, 3182027, 0.0
2020-07-08, 97.1, 97.63, 93.9, 94.81, 4354745, 0.0
2020-07-09, 94.81, 96.21, 94.359, 95.99, 3642680, 0.0
2020-07-12, 96.76, 97.18, 94.19, 94.36, 3653936, 0.0
2020-07-13, 93.85, 97.69, 93.62, 97.53, 4540958, 0.0
2020-07-14, 98.9595, 102.02, 98.6, 100.73, 4936077, 0.0
2020-07-15, 100.25, 100.69, 98.82, 99.36, 3014272, 0.0
2020-07-16, 100.91, 102.99, 99.42, 102.6, 4188656, 0.0
2020-07-19, 102.55, 103.63, 101.785, 102.07, 3471226, 0.0
2020-07-20, 102.69, 102.98, 101.35, 101.64, 2776674, 0.0
2020-07-21, 101.61, 102.66, 101.46, 102.45, 2087823, 0.0
2020-07-22, 102.73, 104.29, 101.6, 102.19, 3539172, 0.0
2020-07-23, 101.79, 102.17, 99.87, 100.64, 1822653, 0.0
2020-07-26, 100.17, 101.53, 99.5, 101.13, 2371543, 0.0
2020-07-27, 100.86, 101.31, 99.18, 99.94, 3502918, 0.0
2020-07-28, 100.3, 101.71, 99.69, 101.36, 1797467, 0.0
2020-07-29, 99.7, 100.68, 98.84, 100.45, 3512357, 0.0
2020-07-30, 100.47, 100.47, 98.86, 99.74, 2837423, 0.0
2020-08-02, 100.52, 101.18, 99.275, 100.54, 3469752, 0.0
2020-08-03, 100.2, 101.83, 99.325, 99.64, 4600949, 0.0
2020-08-04, 100.72, 100.97, 97.62, 98.03, 4156786, 0.0
2020-08-05, 100.9049, 103.69, 99.39, 102.38, 9183993, 0.0
2020-08-06, 101.51, 103.99, 100.22, 103.91, 4027034, 0.0
2020-08-09, 101.53, 101.68, 99, 99.36, 6346482, 0.0
2020-08-10, 98.9, 99.885, 96.99, 98.23, 5952138, 0.0
2020-08-11, 98.89, 100.18, 97.89, 97.97, 3602498, 0.0
2020-08-12, 98.22, 100.25, 97.99, 99.48, 2394174, 0.0
2020-08-13, 98.94, 100.1, 98.51, 99.77, 1961570, 0.0
2020-08-16, 100.29, 102.72, 99.97, 102.19, 3194111, 0.0
2020-08-17, 102.16, 103.545, 101.55, 102.67, 4026950, 0.0
2020-08-18, 103.43, 104.4, 100.2, 100.44, 4736637, 0.0
2020-08-19, 99.53, 99.72, 96.82, 97.02, 5573914, 0.0
2020-08-20, 96.568, 97.59, 95.05, 95.63, 6334748, 0.0
2020-08-23, 96.43, 97.46, 94.99, 96.22, 6438839, 0.0
2020-08-24, 96.65, 98.45, 96.26, 98.21, 3381351, 0.0
2020-08-25, 98.72, 99.2, 97.63, 97.96, 2342646, 0.0
2020-08-26, 99.72, 99.72, 97.655, 99, 4767658, 0.0
2020-08-27, 99.26, 100.17, 98.26, 100.15, 2657743, 0.0
2020-08-30, 100.0228, 101.04, 98.83, 99.59, 4113109, 0.0
2020-08-31, 99.44, 99.99, 98.64, 99.38, 3714693, 0.0
2020-09-01, 100, 103.63, 99.41, 103.13, 4015208, 0.0
2020-09-02, 103.17, 103.37, 99.37, 100.66, 5432813, 0.0
