Date, Open, High, Low, Close, Volume, OI
2020-06-10, 29.36, 29.45, 27.91, 28.05, 5224160, 0.0
2020-06-11, 28.9, 29.03, 27.92, 27.98, 2010906, 0.0
2020-06-14, 27.36, 29.745, 27.11, 29.3, 8344415, 0.0
2020-06-15, 30.15, 30.47, 27.97, 28.31, 8476803, 0.0
2020-06-16, 28.28, 28.52, 27.81, 28.06, 3708260, 0.0
2020-06-17, 28.03, 29.04, 27.72, 28.99, 3628274, 0.0
2020-06-18, 30.15, 30.15, 28.21, 28.31, 8513513, 0.0
2020-06-21, 28.04, 28.21, 27.58, 28.1, 2958732, 0.0
2020-06-22, 28.47, 28.855, 28.18, 28.26, 3049870, 0.0
2020-06-23, 27.95, 28.079, 26.9, 27.38, 4389652, 0.0
2020-06-24, 26.99, 27.105, 26.42, 26.94, 4631264, 0.0
2020-06-25, 26.68, 26.7397, 25.47, 25.69, 5077154, 0.0
2020-06-28, 25.87, 26.93, 25.73, 26.89, 4182810, 0.0
2020-06-29, 26.8, 27, 26.475, 26.81, 3101822, 0.0
2020-06-30, 26.92, 27.35, 26.48, 26.93, 3502941, 0.0
2020-07-01, 27.63, 27.73, 26.47, 26.56, 3324576, 0.0
2020-07-05, 27.01, 27.29, 26.12, 26.49, 3983360, 0.0
2020-07-06, 26.24, 26.38, 25.63, 25.69, 2744540, 0.0
2020-07-07, 25.58, 25.67, 24.995, 25.3, 3579982, 0.0
2020-07-08, 25.28, 25.42, 23.93, 24.38, 5052535, 0.0
2020-07-09, 24.43, 25.385, 24.21, 25.32, 2696703, 0.0
2020-07-12, 25.11, 25.535, 24.34, 24.97, 5268937, 0.0
2020-07-13, 24.78, 25.425, 24.48, 25.03, 3341815, 0.0
2020-07-14, 25.33, 26.18, 25.33, 26.07, 4926708, 0.0
2020-07-15, 25.87, 26.37, 25.77, 26.145, 1806869, 0.0
2020-07-16, 26.18, 26.36, 25.01, 25.28, 4750203, 0.0
2020-07-19, 25.14, 25.39, 24.295, 24.76, 3376398, 0.0
2020-07-20, 24.92, 25.67, 24.81, 25.41, 4390262, 0.0
2020-07-21, 25.47, 25.95, 25.22, 25.91, 2388731, 0.0
2020-07-22, 26.07, 26.53, 25.99, 26.24, 2514217, 0.0
2020-07-23, 26.42, 27.38, 26.32, 26.66, 3891860, 0.0
2020-07-26, 26.58, 26.76, 25.41, 25.72, 3488948, 0.0
2020-07-27, 25.54, 26.185, 25.453, 25.75, 2335356, 0.0
2020-07-28, 25.87, 26.05, 25.41, 25.86, 1940229, 0.0
2020-07-29, 25.5, 26, 25.26, 25.82, 2600456, 0.0
2020-07-30, 25.84, 25.84, 25.17, 25.76, 3471602, 0.0
2020-08-02, 25.77, 26.42, 25.43, 26.36, 2861165, 0.0
2020-08-03, 26.31, 27.2, 26.18, 26.685, 5129150, 0.0
2020-08-04, 25.36, 25.71, 24.22, 24.725, 6548892, 0.0
2020-08-05, 24.9, 25.32, 24.64, 24.99, 5428433, 0.0
2020-08-06, 24.87, 25.1, 24.27, 24.66, 6775372, 0.0
2020-08-09, 24.65, 24.66, 24.175, 24.4, 8874928, 0.0
2020-08-10, 24.78, 25.495, 24.59, 24.67, 7469693, 0.0
2020-08-11, 24.95, 25.14, 24.6, 24.92, 4259493, 0.0
2020-08-12, 24.84, 25.61, 24.73, 25.58, 4147048, 0.0
2020-08-13, 25.59, 26.045, 25.21, 25.74, 2610874, 0.0
2020-08-16, 25.89, 25.93, 25.175, 25.57, 2858274, 0.0
2020-08-17, 25.57, 25.8, 25.45, 25.63, 2445479, 0.0
2020-08-18, 25.6, 26.15, 25.59, 25.87, 3122299, 0.0
2020-08-19, 25.71, 26.02, 25.51, 25.89, 3031711, 0.0
2020-08-20, 25.82, 26.05, 25.57, 26, 2656621, 0.0
2020-08-23, 26.08, 27.14, 26, 26.99, 3425101, 0.0
2020-08-24, 26.95, 27.23, 26.41, 26.89, 3683207, 0.0
2020-08-25, 26.79, 27.295, 26.62, 27.16, 2886642, 0.0
2020-08-26, 27.4, 27.815, 27.29, 27.57, 3350063, 0.0
2020-08-27, 27.6, 27.83, 27.41, 27.82, 3436411, 0.0
2020-08-30, 28, 28.41, 27.65, 27.84, 5145844, 0.0
2020-08-31, 26.8, 27.58, 26.8, 27.44, 3715747, 0.0
2020-09-01, 27.48, 28.1, 27.47, 27.88, 3176697, 0.0
2020-09-02, 28.07, 28.62, 27.21, 27.35, 5260655, 0.0
