Date, Open, High, Low, Close, Volume, OI
2020-06-10, 75.9445, 76.21, 72.75, 72.85, 10028583, 0.0
2020-06-11, 73.33, 73.72, 72.77, 72.875, 4519134, 0.0
2020-06-14, 73.26, 74.47, 72.41, 73.97, 10853589, 0.0
2020-06-15, 74.59, 75.66, 73.7, 74.62, 15050731, 0.0
2020-06-16, 74.53, 74.81, 73.65, 73.75, 5700742, 0.0
2020-06-17, 73.39, 74.18, 73.01, 74.04, 4587392, 0.0
2020-06-18, 74.52, 78, 74.1, 77.4, 19246679, 0.0
2020-06-21, 76.48, 76.75, 75.04, 75.65, 7874641, 0.0
2020-06-22, 75.67, 76.07, 74.81, 75.01, 5741254, 0.0
2020-06-23, 74.9018, 76.05, 74.73, 75.96, 6245989, 0.0
2020-06-24, 75.8, 75.8765, 74.33, 75.51, 5804022, 0.0
2020-06-25, 75.1, 75.37, 73.73, 74.57, 5275300, 0.0
2020-06-28, 76.53, 76.555, 74.135, 74.6, 7535958, 0.0
2020-06-29, 74.34, 77.16, 73.91, 76.96, 7328909, 0.0
2020-06-30, 77.1, 77.23, 75.9, 76.09, 6147076, 0.0
2020-07-01, 76.31, 77.09, 75.65, 76.36, 5643241, 0.0
2020-07-05, 77.51, 77.6622, 76.07, 76.76, 5791160, 0.0
2020-07-06, 76.49, 76.96, 76.31, 76.46, 4208014, 0.0
2020-07-07, 76.7, 77, 74.93, 75.61, 4745876, 0.0
2020-07-08, 75.11, 75.84, 73.95, 74.69, 4397275, 0.0
2020-07-09, 76.1, 76.85, 75.52, 76.33, 8248927, 0.0
2020-07-12, 76.52, 78.34, 75.95, 76.69, 8083446, 0.0
2020-07-13, 76.21, 77.35, 75.44, 77.15, 5410222, 0.0
2020-07-14, 76.99, 77.29, 76.24, 76.65, 5388370, 0.0
2020-07-15, 76.6, 76.75, 75.63, 76.59, 4161671, 0.0
2020-07-16, 76.53, 77.65, 76.2109, 77.51, 5221496, 0.0
2020-07-19, 77.745, 78.94, 77.28, 78.06, 5883136, 0.0
2020-07-20, 77.35, 77.9932, 76.6, 76.81, 4952136, 0.0
2020-07-21, 76.87, 77.25, 75.96, 76.24, 4085201, 0.0
2020-07-22, 76.43, 76.7969, 75.37, 75.56, 3589171, 0.0
2020-07-23, 75.47, 75.65, 73.12, 73.65, 7295423, 0.0
2020-07-26, 73.8865, 74.59, 73.315, 74.54, 5877072, 0.0
2020-07-27, 74.67, 75.04, 73.61, 73.74, 4594219, 0.0
2020-07-28, 73.85, 73.8534, 72.53, 73.07, 7393195, 0.0
2020-07-29, 72.55, 72.6, 71.71, 72.33, 8201952, 0.0
2020-07-30, 69.73, 70.83, 68.52, 69.55, 16071945, 0.0
2020-08-02, 69.725, 72.15, 69.61, 71.74, 6671617, 0.0
2020-08-03, 72.02, 72.31, 70.475, 70.9, 8477229, 0.0
2020-08-04, 70.64, 70.81, 68.98, 69, 11128124, 0.0
2020-08-05, 69.02, 69.63, 68.62, 68.81, 7496452, 0.0
2020-08-06, 69.3635, 69.73, 68.805, 69.42, 7150798, 0.0
2020-08-09, 68.885, 68.89, 67.96, 68.56, 7841477, 0.0
2020-08-10, 68.45, 69.175, 67.92, 68.13, 8011832, 0.0
2020-08-11, 68.69, 69.11, 68.38, 68.85, 7757380, 0.0
2020-08-12, 68.97, 69.195, 67.99, 68.18, 6472827, 0.0
2020-08-13, 68.09, 68.8199, 68, 68.5, 8065914, 0.0
2020-08-16, 68.32, 69.35, 68.31, 69.19, 5860581, 0.0
2020-08-17, 69.23, 69.75, 68.98, 69.06, 5352164, 0.0
2020-08-18, 66.191, 67.47, 65.5, 65.7, 17959497, 0.0
2020-08-19, 65.84, 66.16, 65.55, 66.05, 7718564, 0.0
2020-08-20, 65.78, 66.87, 65.41, 66.49, 9018209, 0.0
2020-08-23, 66.355, 66.96, 65.55, 66.09, 7888102, 0.0
2020-08-24, 65.9122, 66.24, 65.71, 66.05, 5125522, 0.0
2020-08-25, 65.88, 65.88, 65.16, 65.6, 6527405, 0.0
2020-08-26, 65.59, 65.845, 65.32, 65.57, 6467795, 0.0
2020-08-27, 65.22, 65.745, 64.98, 65.27, 5736517, 0.0
2020-08-30, 65.46, 66.89, 65.42, 66.75, 7246467, 0.0
2020-08-31, 66.335, 66.47, 64.91, 65.85, 7687031, 0.0
2020-09-01, 65.32, 66.96, 65.32, 66.78, 7252919, 0.0
2020-09-02, 66.8121, 67.43, 65.48, 65.91, 7895106, 0.0
