Date, Open, High, Low, Close, Volume, OI
2020-06-10, 1442.48, 1454.475, 1402, 1403.84, 1700778, 0.0
2020-06-11, 1428.49, 1437, 1409, 1409, 904628, 0.0
2020-06-14, 1390.8, 1424.7999, 1387.92, 1419.85, 2553529, 0.0
2020-06-15, 1445.22, 1455.02, 1425.9001, 1444.09, 2960676, 0.0
2020-06-16, 1447.16, 1460, 1431.38, 1451.35, 1346126, 0.0
2020-06-17, 1449.16, 1451.41, 1427.01, 1436.65, 1357310, 0.0
2020-06-18, 1444, 1447.8, 1421.3501, 1431.69, 3742863, 0.0
2020-06-21, 1429, 1452.75, 1423.21, 1452.07, 1307241, 0.0
2020-06-22, 1455.64, 1475.941, 1445.24, 1464.45, 1209365, 0.0
2020-06-23, 1461.51, 1475.42, 1429.75, 1431.97, 1609913, 0.0
2020-06-24, 1429.9, 1442.9, 1420, 1440.95, 1113024, 0.0
2020-06-25, 1431.39, 1433.45, 1352.78, 1359.03, 3252765, 0.0
2020-06-28, 1358.18, 1395.6, 1347.01, 1395.6, 1623379, 0.0
2020-06-29, 1390.44, 1418.65, 1383.96, 1413.84, 1676429, 0.0
2020-06-30, 1411.1, 1443, 1409.82, 1437.55, 1616413, 0.0
2020-07-01, 1446.94, 1482.95, 1446.42, 1464.43, 1712035, 0.0
2020-07-05, 1480.06, 1506.59, 1472.86, 1495.54, 1390462, 0.0
2020-07-06, 1490, 1516.8, 1483.55, 1484.45, 1321201, 0.0
2020-07-07, 1494.32, 1505.8799, 1485.63, 1495.991, 1028701, 0.0
2020-07-08, 1506.45, 1522.72, 1488.085, 1509.82, 1258995, 0.0
2020-07-09, 1506.15, 1543.83, 1496.54, 1541.74, 1737242, 0.0
2020-07-12, 1550, 1577.1316, 1505.2427, 1511.33, 1647631, 0.0
2020-07-13, 1490.31, 1522.95, 1483.5, 1520.48, 1383833, 0.0
2020-07-14, 1523.13, 1535.33, 1498, 1513.85, 1590093, 0.0
2020-07-15, 1500, 1518.69, 1486.31, 1517.36, 1220445, 0.0
2020-07-16, 1521.62, 1523.44, 1498.42, 1516.25, 1347351, 0.0
2020-07-19, 1515.26, 1570.29, 1503.6, 1564.7, 1373762, 0.0
2020-07-20, 1586.99, 1586.99, 1554.28, 1558.56, 1084526, 0.0
2020-07-21, 1560.5, 1570, 1546.1, 1567.85, 806721, 0.0
2020-07-22, 1566.97, 1571.87, 1511.76, 1516.185, 1030695, 0.0
2020-07-23, 1498.93, 1517.6362, 1488.4, 1510.97, 1402817, 0.0
2020-07-26, 1515.6, 1540.97, 1515.21, 1530.28, 1000523, 0.0
2020-07-27, 1525.18, 1526.48, 1497.66, 1501.26, 1563177, 0.0
2020-07-28, 1506.32, 1531.2522, 1501.33, 1522.01, 1003815, 0.0
2020-07-29, 1497, 1537.87, 1492.22, 1532.981, 1333004, 0.0
2020-07-30, 1505.01, 1508.95, 1454.03, 1483.89, 3100856, 0.0
2020-08-02, 1486.64, 1490.47, 1465.64, 1474.29, 1670785, 0.0
2020-08-03, 1476.57, 1485.56, 1458.65, 1466, 1785701, 0.0
2020-08-04, 1469.3, 1482.41, 1463.46, 1473.62, 1694201, 0.0
2020-08-05, 1471.75, 1502.38, 1466, 1501.35, 1900021, 0.0
2020-08-06, 1500, 1516.845, 1481.64, 1493.96, 1294134, 0.0
2020-08-09, 1488.845, 1497.066, 1473.08, 1494.95, 866630, 0.0
2020-08-10, 1492.44, 1510, 1478, 1480.42, 1222471, 0.0
2020-08-11, 1485.58, 1512.3859, 1485.25, 1505.75, 1245267, 0.0
2020-08-12, 1510.34, 1537.25, 1508.005, 1518.66, 1299525, 0.0
2020-08-13, 1515.66, 1521.9, 1502.88, 1507.73, 1130637, 0.0
2020-08-16, 1514.67, 1525.61, 1507.97, 1518.54, 1073770, 0.0
2020-08-17, 1526.18, 1562.47, 1523.71, 1559, 1660499, 0.0
2020-08-18, 1553.31, 1573.68, 1543.95, 1547.52, 1486291, 0.0
2020-08-19, 1543.45, 1585.87, 1538.2, 1582.22, 1330146, 0.0
2020-08-20, 1577.03, 1597.72, 1568.005, 1580.97, 1202370, 0.0
2020-08-23, 1593.98, 1614.17, 1580.57, 1588.19, 1272735, 0.0
2020-08-24, 1582.07, 1611.62, 1582.07, 1607.08, 2093950, 0.0
2020-08-25, 1608, 1659.22, 1603.6, 1651.98, 3800579, 0.0
2020-08-26, 1653.68, 1655, 1625.75, 1635.31, 1619812, 0.0
2020-08-27, 1633.49, 1647.1699, 1630.75, 1644.4, 1597702, 0.0
2020-08-30, 1647.89, 1647.965, 1630.31, 1632.03, 1277354, 0.0
2020-08-31, 1636.63, 1665.73, 1632.22, 1660.71, 1690137, 0.0
2020-09-01, 1673.7754, 1733.1799, 1666.3301, 1728.29, 2258622, 0.0
2020-09-02, 1709.7144, 1709.7144, 1615.06, 1642.22, 2819796, 0.0
