Date, Open, High, Low, Close, Volume, OI
2020-06-10, 1441.03, 1451.6033, 1398.41, 1401.02, 1999334, 0.0
2020-06-11, 1425.86, 1434.505, 1407.49, 1407.49, 887410, 0.0
2020-06-14, 1389.49, 1425, 1387.1952, 1420.75, 2269274, 0.0
2020-06-15, 1449, 1457.17, 1428.99, 1446.64, 2479769, 0.0
2020-06-16, 1452.94, 1462.2, 1435.125, 1452.7, 1159372, 0.0
2020-06-17, 1449.85, 1452.9698, 1426.235, 1433.621, 1510086, 0.0
2020-06-18, 1440, 1444.5, 1420, 1426.98, 3542029, 0.0
2020-06-21, 1425.01, 1450.95, 1419.19, 1450.44, 1199967, 0.0
2020-06-22, 1452, 1475.2, 1445, 1464.18, 1598914, 0.0
2020-06-23, 1463.28, 1475.79, 1430, 1432.17, 1336574, 0.0
2020-06-24, 1431.22, 1442.32, 1419.54, 1441.15, 1063889, 0.0
2020-06-25, 1433.89, 1437.02, 1355, 1362.14, 3853374, 0.0
2020-06-28, 1360.34, 1398, 1351.65, 1398, 2043748, 0.0
2020-06-29, 1396.88, 1424, 1386.93, 1417.92, 1419202, 0.0
2020-06-30, 1419.17, 1448.48, 1414.18, 1442.6, 1932776, 0.0
2020-07-01, 1451.84, 1488.52, 1451.065, 1469.8, 2517791, 0.0
2020-07-05, 1488.15, 1510, 1476.976, 1499.66, 1960308, 0.0
2020-07-06, 1496.13, 1521.32, 1489.7, 1489.92, 1856318, 0.0
2020-07-07, 1500.8, 1511.17, 1492.3, 1503.155, 1296330, 0.0
2020-07-08, 1509.93, 1529.1412, 1495.59, 1518.38, 1863494, 0.0
2020-07-09, 1513.25, 1541.34, 1500.72, 1538.81, 1593035, 0.0
2020-07-12, 1549.94, 1576.36, 1506.56, 1513.17, 1937555, 0.0
2020-07-13, 1492.79, 1522.8, 1485.925, 1522.12, 1522864, 0.0
2020-07-14, 1523.23, 1536.33, 1497.83, 1516.88, 1282541, 0.0
2020-07-15, 1501.5, 1515.91, 1488.27, 1514.42, 993187, 0.0
2020-07-16, 1516.91, 1523.43, 1498.1, 1515.6, 1309979, 0.0
2020-07-19, 1515, 1569.01, 1502.696, 1563.41, 1254122, 0.0
2020-07-20, 1585.03, 1587.05, 1552.62, 1555.99, 1031309, 0.0
2020-07-21, 1555.71, 1566.98, 1543.23, 1565.5, 1027158, 0.0
2020-07-22, 1565.93, 1570.35, 1513.09, 1518, 867401, 0.0
2020-07-23, 1499.19, 1515.4272, 1487.59, 1508.81, 1278512, 0.0
2020-07-26, 1513.26, 1537.56, 1512.33, 1529.46, 995385, 0.0
2020-07-27, 1525, 1526.01, 1500.52, 1504.6, 1187358, 0.0
2020-07-28, 1505, 1533.33, 1503.01, 1523.28, 1014050, 0.0
2020-07-29, 1497.97, 1540.89, 1495.17, 1537.91, 1378255, 0.0
2020-07-30, 1497.05, 1505.02, 1454, 1488.79, 4034600, 0.0
2020-08-02, 1491, 1497.73, 1472, 1482.9, 1436760, 0.0
2020-08-03, 1486.71, 1493.11, 1464.03, 1472.58, 1729091, 0.0
2020-08-04, 1476.82, 1490, 1471.215, 1479.67, 1237415, 0.0
2020-08-05, 1476.15, 1506.27, 1471.9, 1504.94, 1496750, 0.0
2020-08-06, 1509.04, 1520.09, 1486.27, 1497.85, 1248438, 0.0
2020-08-09, 1492.68, 1500, 1477.4901, 1496.82, 654441, 0.0
2020-08-10, 1494, 1510.44, 1478.19, 1480.86, 1374519, 0.0
2020-08-11, 1487.1245, 1511.67, 1485, 1506.24, 922497, 0.0
2020-08-12, 1508.21, 1536.9744, 1508.21, 1517.05, 934619, 0.0
2020-08-13, 1513.61, 1519.785, 1499, 1504.63, 902924, 0.0
2020-08-16, 1515.97, 1523.78, 1505, 1515.14, 828389, 0.0
2020-08-17, 1526.12, 1557.37, 1521.665, 1555.79, 1180985, 0.0
2020-08-18, 1552.49, 1568.86, 1540, 1545.03, 1205790, 0.0
2020-08-19, 1539.97, 1580.17, 1534.46, 1575.73, 1128179, 0.0
2020-08-20, 1571.8, 1591.88, 1562.31, 1576.19, 1306105, 0.0
2020-08-23, 1592.47, 1608.78, 1575.04, 1585.15, 1115989, 0.0
2020-08-24, 1580.1, 1608.88, 1577.88, 1605.85, 1158413, 0.0
2020-08-25, 1606.3, 1652.79, 1600.9753, 1644.28, 2083610, 0.0
2020-08-26, 1646.61, 1647.99, 1618.8137, 1628.53, 1473001, 0.0
2020-08-27, 1629.47, 1641.35, 1625.605, 1640.12, 899113, 0.0
2020-08-30, 1643.57, 1644.5, 1625.33, 1627, 980237, 0.0
2020-08-31, 1632.16, 1659.22, 1629.53, 1656.48, 969175, 0.0
2020-09-01, 1668.01, 1726.1022, 1660.19, 1719.15, 2171450, 0.0
2020-09-02, 1699.52, 1700, 1607.71, 1630.18, 2725681, 0.0
