Date, Open, High, Low, Close, Volume, OI
2020-06-10, 320.2, 320.89, 294.37, 298.9, 608884, 0.0
2020-06-11, 304.96, 311.6465, 303.03, 303.635, 172602, 0.0
2020-06-14, 296.62, 310.3, 294.17, 309.21, 698026, 0.0
2020-06-15, 315.15, 315.73, 307.8, 312.32, 565316, 0.0
2020-06-16, 314.86, 318.74, 313.11, 316.425, 254755, 0.0
2020-06-17, 313.69, 316.59, 311.86, 313.38, 303055, 0.0
2020-06-18, 315.5021, 320.305, 310.1, 314.23, 1025701, 0.0
2020-06-21, 314.92, 327, 311.485, 325.51, 593629, 0.0
2020-06-22, 326.89, 330.29, 323.46, 327.95, 398574, 0.0
2020-06-23, 323.3, 328.61, 315.52, 319.47, 450356, 0.0
2020-06-24, 319.71, 327.79, 314.57, 327.22, 418491, 0.0
2020-06-25, 328.45, 331.01, 323, 325.01, 375497, 0.0
2020-06-28, 328.19, 328.35, 322, 327.85, 312522, 0.0
2020-06-29, 327.61, 332.68, 324.375, 329.92, 562178, 0.0
2020-06-30, 331.74, 337.16, 329.9, 334.71, 317594, 0.0
2020-07-01, 338.76, 339.805, 333.015, 334.57, 335782, 0.0
2020-07-05, 339.45, 344.81, 337.625, 339.47, 282605, 0.0
2020-07-06, 338.28, 343, 336.84, 337.36, 174496, 0.0
2020-07-07, 337.93, 339.65, 333.55, 336.39, 232458, 0.0
2020-07-08, 337.56, 343.73, 333.7, 341.29, 278579, 0.0
2020-07-09, 341.01, 341.55, 334.42, 338.24, 214163, 0.0
2020-07-12, 340.74, 345.4, 333.67, 335.31, 358754, 0.0
2020-07-13, 332.82, 339.07, 329.69, 338.47, 302406, 0.0
2020-07-14, 340.56, 342.99, 336.62, 340.78, 215549, 0.0
2020-07-15, 339.37, 340.68, 334.5886, 339.17, 174863, 0.0
2020-07-16, 339.782, 352.715, 339.13, 349.86, 270725, 0.0
2020-07-19, 353.51, 363, 352.575, 361, 355607, 0.0
2020-07-20, 364.16, 366.04, 360.41, 363.45, 234589, 0.0
2020-07-21, 366.82, 372.33, 362.37, 364.99, 270525, 0.0
2020-07-22, 366.32, 368.7062, 358.72, 361.02, 258611, 0.0
2020-07-23, 359.54, 361.2299, 353.17, 359.32, 242083, 0.0
2020-07-26, 359, 368.64, 359, 366.81, 289529, 0.0
2020-07-27, 365.84, 367.995, 360.65, 362.06, 238447, 0.0
2020-07-28, 363.35, 369.69, 361.94, 366.91, 260763, 0.0
2020-07-29, 363.8, 375.48, 361.26, 374.3, 380295, 0.0
2020-07-30, 382.92, 407.86, 382.5, 397.76, 664918, 0.0
2020-08-02, 398.02, 399.84, 390.17, 391.99, 446218, 0.0
2020-08-03, 393.77, 394.705, 385.22, 390.47, 588646, 0.0
2020-08-04, 393.12, 396.41, 388.82, 395.67, 522047, 0.0
2020-08-05, 394.01, 395.74, 384.19, 389.7528, 384076, 0.0
2020-08-06, 387.96, 392.305, 377.72, 381.6, 463245, 0.0
2020-08-09, 381.65, 381.65, 376.16, 377, 445535, 0.0
2020-08-10, 376.2, 379.39, 372.18, 373.88, 353104, 0.0
2020-08-11, 375.02, 387.84, 375.02, 384.84, 320145, 0.0
2020-08-12, 385.98, 389.5, 382.7, 385.25, 335359, 0.0
2020-08-13, 384.78, 386, 377.4, 379.34, 424407, 0.0
2020-08-16, 381.91, 385.47, 381.67, 384.23, 421579, 0.0
2020-08-17, 384.01, 387.745, 381.56, 386.64, 278570, 0.0
2020-08-18, 389.32, 390.08, 380.91, 381.82, 246842, 0.0
2020-08-19, 381.5, 385.28, 379.5, 383.49, 226727, 0.0
2020-08-20, 382.7, 384.03, 377.01, 383.45, 325370, 0.0
2020-08-23, 384.2283, 386.68, 378.1, 380.57, 256697, 0.0
2020-08-24, 380, 386.35, 377.61, 383.55, 279356, 0.0
2020-08-25, 382.41, 386.7827, 376.61, 385.72, 219706, 0.0
2020-08-26, 387.62, 389.35, 379.745, 386.51, 221432, 0.0
2020-08-27, 387.79, 389.06, 381.07, 383.98, 186533, 0.0
2020-08-30, 382.68, 393.4, 382.525, 390.95, 256232, 0.0
2020-08-31, 393.95, 398.59, 391.25, 398.21, 306478, 0.0
2020-09-01, 399, 407.45, 398.38, 406.17, 381728, 0.0
2020-09-02, 406.1, 406.1, 377.1901, 381.54, 404075, 0.0
