Date, Open, High, Low, Close, Volume, OI
2020-06-10, 354.83, 357.4, 335.85, 337.1, 1087746, 0.0
2020-06-11, 340.43, 345.63, 339.47, 339.47, 361974, 0.0
2020-06-14, 336.4, 349.79, 335.19, 348.62, 947834, 0.0
2020-06-15, 354.93, 357.9619, 346.11, 355.11, 1235219, 0.0
2020-06-16, 358.18, 363.51, 355.09, 360.66, 621456, 0.0
2020-06-17, 359.85, 366.26, 359.07, 362.95, 558336, 0.0
2020-06-18, 365.47, 372.43, 363, 368.77, 1751547, 0.0
2020-06-21, 369.55, 369.55, 357.6, 360.79, 784719, 0.0
2020-06-22, 361, 368.58, 360.12, 367.25, 617775, 0.0
2020-06-23, 367.26, 372.63, 354.03, 359.17, 696986, 0.0
2020-06-24, 358.41, 366.66, 351.86, 365.98, 568546, 0.0
2020-06-25, 365, 368.18, 357.26, 360.16, 570092, 0.0
2020-06-28, 363.32, 363.68, 356.86, 362.5, 485686, 0.0
2020-06-29, 362.31, 372.62, 358.18, 370.35, 648021, 0.0
2020-06-30, 369.26, 370.685, 362.35, 368.56, 550591, 0.0
2020-07-01, 372.63, 377.4159, 371.22, 372.55, 587360, 0.0
2020-07-05, 375, 384.2146, 373.4, 379.43, 597138, 0.0
2020-07-06, 370.22, 378.79, 369.11, 372.12, 578555, 0.0
2020-07-07, 375.99, 376.33, 366.45, 370.08, 954324, 0.0
2020-07-08, 370, 375.28, 367.14, 372.6, 778811, 0.0
2020-07-09, 372.6, 374.23, 369.9, 370.24, 480516, 0.0
2020-07-12, 370.51, 382.32, 366.53, 369.16, 826258, 0.0
2020-07-13, 367.99, 376.9162, 361.53, 376.26, 607141, 0.0
2020-07-14, 380, 383.24, 375.34, 382.63, 871084, 0.0
2020-07-15, 382.32, 382.32, 373.07, 375.96, 697538, 0.0
2020-07-16, 378.24, 385.23, 376.15, 383.56, 855214, 0.0
2020-07-19, 385.13, 402.14, 383.86, 398.62, 1116117, 0.0
2020-07-20, 399, 401.54, 388.22, 389.89, 787146, 0.0
2020-07-21, 391.42, 394, 384.65, 391.82, 505284, 0.0
2020-07-22, 395.5, 399.46, 383.8, 386.45, 442458, 0.0
2020-07-23, 385, 385, 376.625, 382.43, 475412, 0.0
2020-07-26, 384.99, 395.5, 383.23, 393.04, 562903, 0.0
2020-07-27, 392.68, 396.55, 384.18, 385.41, 467779, 0.0
2020-07-28, 387.74, 388.5, 384.28, 385.46, 505425, 0.0
2020-07-29, 381.55, 386.18, 380.2, 382.33, 535672, 0.0
2020-07-30, 382, 384.68, 377.23, 381.96, 761091, 0.0
2020-08-02, 385.19, 401.77, 384.94, 397.97, 717209, 0.0
2020-08-03, 397.73, 399.31, 391.02, 393.68, 500899, 0.0
2020-08-04, 397.4, 404.2, 395.1101, 400.74, 443933, 0.0
2020-08-05, 400.74, 403.66, 393.13, 399.78, 639977, 0.0
2020-08-06, 343.0035, 360.69, 343, 355.66, 3998578, 0.0
2020-08-09, 355.25, 356.17, 352.095, 353.35, 761634, 0.0
2020-08-10, 354.39, 354.39, 339.9, 341.28, 1041819, 0.0
2020-08-11, 342.48, 346.13, 339.2925, 344.15, 1028480, 0.0
2020-08-12, 346.06, 357.1, 344.15, 353.47, 884641, 0.0
2020-08-13, 354.29, 354.865, 344, 347.55, 581143, 0.0
2020-08-16, 351.63, 357.22, 349.82, 353.86, 655038, 0.0
2020-08-17, 354.03, 358.605, 349.715, 356.06, 660239, 0.0
2020-08-18, 358.42, 358.42, 351.77, 353.35, 513092, 0.0
2020-08-19, 351.01, 355.23, 346.98, 354.62, 578332, 0.0
2020-08-20, 353.69, 354.31, 348.42, 353.06, 519734, 0.0
2020-08-23, 355, 355.15, 344.39, 349.04, 492680, 0.0
2020-08-24, 349.83, 352.68, 348.56, 350.91, 391633, 0.0
2020-08-25, 351.27, 355.22, 348.21, 353.56, 511008, 0.0
2020-08-26, 353.13, 353.13, 345.1, 351.43, 784805, 0.0
2020-08-27, 351.58, 354.2818, 350.59, 353.99, 438534, 0.0
2020-08-30, 352.18, 359.352, 351.01, 356.86, 570376, 0.0
2020-08-31, 355.35, 356.67, 346.91, 347.83, 812975, 0.0
2020-09-01, 349.45, 368.3, 347.99, 364.53, 1008976, 0.0
2020-09-02, 366.74, 366.74, 342.61, 346.52, 832580, 0.0
