Date, Open, High, Low, Close, Volume, OI
2020-06-10, 93.39, 93.88, 90.68, 90.81, 1533069, 0.0
2020-06-11, 92.35, 93.69, 91.6, 91.9, 545988, 0.0
2020-06-14, 90.49, 93.95, 90.47, 93.521, 2267178, 0.0
2020-06-15, 94.45, 95.61, 93.31, 95.42, 1774821, 0.0
2020-06-16, 96.24, 97.27, 95, 96.31, 641279, 0.0
2020-06-17, 96.28, 97.93, 95.86, 97.43, 798868, 0.0
2020-06-18, 98.34, 106.26, 97.83, 105.39, 4371064, 0.0
2020-06-21, 104.84, 109.14, 104.39, 108.96, 2252585, 0.0
2020-06-22, 109.46, 110.25, 106.03, 106.54, 1538568, 0.0
2020-06-23, 105.65, 107.86, 104, 104.42, 1298709, 0.0
2020-06-24, 105.08, 106.07, 103.645, 106.05, 1093632, 0.0
2020-06-25, 105.3, 105.565, 100.8, 101.49, 1253840, 0.0
2020-06-28, 101.48, 103.87, 100.08, 102.5, 792888, 0.0
2020-06-29, 102.53, 104.53, 101.67, 103.97, 834266, 0.0
2020-06-30, 103.99, 104.62, 101.33, 102.65, 1090872, 0.0
2020-07-01, 102.82, 107.38, 102.52, 106.47, 1151239, 0.0
2020-07-05, 106.58, 108.48, 105.52, 107.8, 1059655, 0.0
2020-07-06, 107.73, 110.365, 106.87, 108.65, 1442351, 0.0
2020-07-07, 108.56, 109.55, 107.37, 108.28, 561475, 0.0
2020-07-08, 108, 109.19, 105.49, 107.89, 881741, 0.0
2020-07-09, 107.74, 108.17, 104.54, 104.715, 648598, 0.0
2020-07-12, 104.52, 105, 100.02, 100.58, 1234074, 0.0
2020-07-13, 100.2, 103.23, 97.83, 103.02, 1376867, 0.0
2020-07-14, 103.26, 104.965, 102.59, 104.22, 897050, 0.0
2020-07-15, 103.83, 103.83, 99.85, 101.54, 730459, 0.0
2020-07-16, 102.32, 104.58, 100.96, 104.13, 985012, 0.0
2020-07-19, 105.19, 110.01, 105.01, 109.72, 1179507, 0.0
2020-07-20, 109.67, 109.67, 106.46, 106.63, 906682, 0.0
2020-07-21, 107.06, 107.74, 104.045, 105.36, 522804, 0.0
2020-07-22, 106.33, 107.09, 101.405, 101.75, 562512, 0.0
2020-07-23, 100.72, 101.42, 98.285, 99.42, 695861, 0.0
2020-07-26, 100.15, 102.68, 100.15, 102.09, 845567, 0.0
2020-07-27, 101.76, 102.3185, 100.2, 100.56, 588200, 0.0
2020-07-28, 101.09, 101.55, 97.8, 98.05, 764922, 0.0
2020-07-29, 97.32, 100.97, 97.132, 100.44, 1305395, 0.0
2020-07-30, 100.3892, 101.15, 98.06, 98.76, 826112, 0.0
2020-08-02, 100.95, 102.605, 98.9, 101.77, 1336619, 0.0
2020-08-03, 101, 101.96, 96.89, 100, 1735752, 0.0
2020-08-04, 100, 101, 96.25, 97.53, 1107374, 0.0
2020-08-05, 97.8, 98.5, 96.92, 97.25, 832731, 0.0
2020-08-06, 97.25, 98.35, 95.93, 96.93, 591715, 0.0
2020-08-09, 96.06, 96.1, 92.94, 94.32, 901667, 0.0
2020-08-10, 94.12, 95.06, 92.84, 92.99, 778849, 0.0
2020-08-11, 93.05, 94.8, 93.01, 94.22, 589615, 0.0
2020-08-12, 94.59, 95.59, 94.28, 95.555, 397056, 0.0
2020-08-13, 95.62, 96.42, 94.28, 94.87, 770476, 0.0
2020-08-16, 95.3, 97.8, 95.3, 97.53, 949911, 0.0
2020-08-17, 97.51, 97.97, 96.15, 97.55, 779978, 0.0
2020-08-18, 96.96, 98.2, 96.16, 96.24, 708791, 0.0
2020-08-19, 96.05, 96.1, 94.48, 95.55, 533373, 0.0
2020-08-20, 95.5, 95.69, 93.35, 94.12, 945161, 0.0
2020-08-23, 94.56, 94.95, 92.94, 94.04, 610055, 0.0
2020-08-24, 94.04, 95.46, 93.6, 95.3, 398381, 0.0
2020-08-25, 94.02, 94.93, 92.93, 93.74, 458909, 0.0
2020-08-26, 94.41, 95.49, 93.5, 94.35, 521539, 0.0
2020-08-27, 94.13, 94.56, 93.56, 93.9, 452919, 0.0
2020-08-30, 93.79, 96.756, 93.495, 96.35, 505895, 0.0
2020-08-31, 95.62, 95.955, 92.26, 92.93, 809587, 0.0
2020-09-01, 93.09, 95.51, 92.765, 95.42, 620995, 0.0
2020-09-02, 95.98, 95.98, 90.61, 91.63, 1277299, 0.0
