Date, Open, High, Low, Close, Volume, OI
2020-06-10, 63.07, 63.3, 59.52, 59.695, 21238568, 0.0
2020-06-11, 60.11, 60.96, 59.03, 59.03, 13025614, 0.0
2020-06-14, 59.33, 60.36, 58.58, 60.13, 43500413, 0.0
2020-06-15, 61.49, 61.65, 59.49, 60.48, 37831393, 0.0
2020-06-16, 60.74, 61.28, 60.06, 60.48, 14226495, 0.0
2020-06-17, 60.35, 60.51, 59.32, 60.1, 17029243, 0.0
2020-06-18, 60.65, 60.89, 59.1, 59.59, 55487262, 0.0
2020-06-21, 59.73, 60.545, 58.83, 60.13, 19315637, 0.0
2020-06-22, 60.19, 60.47, 59.8612, 59.91, 19416681, 0.0
2020-06-23, 59.64, 59.805, 58.67, 59.08, 20533582, 0.0
2020-06-24, 58.98, 59.09, 57.48, 58.52, 19303215, 0.0
2020-06-25, 58.49, 58.73, 57.07, 57.5, 20203985, 0.0
2020-06-28, 57.47, 58.35, 56.76, 58.31, 14742242, 0.0
2020-06-29, 58.71, 59.98, 58.54, 59.81, 18463900, 0.0
2020-06-30, 59.91, 60.03, 58.76, 58.8, 12314569, 0.0
2020-07-01, 59.19, 59.81, 58.97, 59.13, 11893321, 0.0
2020-07-05, 58.72, 59.62, 58.6, 59.54, 15033198, 0.0
2020-07-06, 59.07, 59.57, 58.14, 58.3, 12955359, 0.0
2020-07-07, 58.45, 58.695, 57.93, 58.62, 11429440, 0.0
2020-07-08, 58.2, 58.745, 57.7, 58.43, 17556260, 0.0
2020-07-09, 57.95, 59.69, 57.83, 59.55, 15142712, 0.0
2020-07-12, 59.84, 60.62, 58.39, 58.57, 16707981, 0.0
2020-07-13, 57.8735, 59.25, 57.345, 58.96, 17891229, 0.0
2020-07-14, 59.03, 59.34, 58.42, 59.03, 15241139, 0.0
2020-07-15, 58.54, 59.36, 58.4, 59.105, 10237059, 0.0
2020-07-16, 59.42, 60.46, 59.28, 59.99, 14132685, 0.0
2020-07-19, 60.08, 61.38, 59.34, 61.15, 14221377, 0.0
2020-07-20, 61.515, 61.9275, 60.44, 60.7, 15743924, 0.0
2020-07-21, 61.31, 61.765, 60.62, 61.02, 15857450, 0.0
2020-07-22, 61.255, 61.74, 60.27, 60.49, 15665945, 0.0
2020-07-23, 52.15, 52.18, 49.5, 50.5885, 171360353, 0.0
2020-07-26, 51.03, 51.14, 49.465, 49.5655, 98869733, 0.0
2020-07-27, 49.48, 50.23, 49.14, 49.24, 53174628, 0.0
2020-07-28, 49.49, 49.5, 47.9, 48.08, 57441396, 0.0
2020-07-29, 47.83, 48.5, 47.59, 48, 37676906, 0.0
2020-07-30, 48.13, 48.3216, 46.97, 47.74, 39130979, 0.0
2020-08-02, 48.27, 48.62, 47.74, 48.29, 21653372, 0.0
2020-08-03, 48.6, 49.14, 48.5, 49.14, 26350256, 0.0
2020-08-04, 49.72, 49.72, 48.66, 48.93, 26818706, 0.0
2020-08-05, 48.79, 48.82, 48.1, 48.58, 21376785, 0.0
2020-08-06, 48.53, 48.65, 47.7, 48.04, 34861240, 0.0
2020-08-09, 48.75, 49.39, 48.5213, 49.22, 21282560, 0.0
2020-08-10, 49.63, 49.73, 48.06, 48.19, 32574531, 0.0
2020-08-11, 48.67, 49.26, 48.24, 49.19, 27247985, 0.0
2020-08-12, 49.26, 49.33, 48.385, 48.5638, 21866770, 0.0
2020-08-13, 48.73, 49.21, 48.65, 48.9, 19866313, 0.0
2020-08-16, 49.11, 49.305, 48.73, 48.92, 17851507, 0.0
2020-08-17, 49.26, 49.57, 48.62, 48.65, 17126329, 0.0
2020-08-18, 48.785, 48.98, 48.25, 48.33, 22672244, 0.0
2020-08-19, 49.81, 50.2, 49, 49.17, 51649938, 0.0
2020-08-20, 49.02, 49.31, 48.65, 49.3, 30778314, 0.0
2020-08-23, 49.26, 49.4, 48.82, 49.18, 26811147, 0.0
2020-08-24, 49.35, 49.88, 49.21, 49.44, 31939217, 0.0
2020-08-25, 49.39, 49.67, 49.23, 49.55, 26665225, 0.0
2020-08-26, 49.79, 49.93, 49.17, 49.4, 21615588, 0.0
2020-08-27, 49.57, 50.8, 49.46, 50.43, 32788008, 0.0
2020-08-30, 51, 51.5, 50.32, 50.92, 35491568, 0.0
2020-08-31, 50.91, 51, 50.22, 50.8, 26624026, 0.0
2020-09-01, 51.21, 52.68, 51.09, 52.24, 49342738, 0.0
2020-09-02, 52.5, 52.62, 50.135, 50.39, 41619660, 0.0
