Date, Open, High, Low, Close, Volume, OI
2020-06-10, 293.9, 294.98, 277.72, 277.86, 1139123, 0.0
2020-06-11, 283.91, 287.04, 280.19, 280.2, 566650, 0.0
2020-06-14, 275, 285.14, 274.19, 283.38, 1487564, 0.0
2020-06-15, 289.98, 293.4, 285.42, 288.47, 2003302, 0.0
2020-06-16, 291.31, 291.9, 286.05, 286.48, 693059, 0.0
2020-06-17, 285.01, 287.91, 282.37, 287.19, 927962, 0.0
2020-06-18, 289.53, 291.99, 285.27, 286.455, 3390561, 0.0
2020-06-21, 285.8, 294.2, 285.29, 294.06, 993570, 0.0
2020-06-22, 294.98, 296.49, 292.44, 293.84, 928890, 0.0
2020-06-23, 291.44, 296, 284.2, 285.84, 733033, 0.0
2020-06-24, 286.25, 289.34, 281.98, 288.74, 633630, 0.0
2020-06-25, 286.5, 289.995, 283.92, 286.49, 839899, 0.0
2020-06-28, 285.81, 289.78, 281.75, 288.16, 798158, 0.0
2020-06-29, 289.15, 297.92, 288, 296.28, 1054104, 0.0
2020-06-30, 297.41, 304.92, 297.02, 302.44, 1428242, 0.0
2020-07-01, 304.85, 307.78, 303.11, 305.05, 985985, 0.0
2020-07-05, 308, 314.14, 308, 309.9, 923981, 0.0
2020-07-06, 309.18, 314.725, 307.19, 307.92, 921366, 0.0
2020-07-07, 310.54, 312.07, 307.77, 310.62, 624931, 0.0
2020-07-08, 309.72, 311, 303.95, 307.97, 832398, 0.0
2020-07-09, 307.78, 308.64, 302.995, 307.74, 639493, 0.0
2020-07-12, 309, 311.23, 296.98, 296.995, 948806, 0.0
2020-07-13, 294.57, 294.71, 280.99, 285.38, 2605421, 0.0
2020-07-14, 288.03, 290.8786, 284.77, 290.03, 1303826, 0.0
2020-07-15, 287.93, 288.41, 281.19, 285.57, 955684, 0.0
2020-07-16, 287.93, 290.42, 284.59, 289.26, 737337, 0.0
2020-07-19, 289.5, 300.41, 289.01, 298.6, 806891, 0.0
2020-07-20, 299.42, 300.705, 296.85, 297.98, 748800, 0.0
2020-07-21, 300.16, 300.16, 294.22, 296.47, 1025730, 0.0
2020-07-22, 295.94, 298.88, 290.2901, 291.55, 727536, 0.0
2020-07-23, 290.45, 291.11, 286.35, 288.68, 1073780, 0.0
2020-07-26, 290.47, 297.43, 290.46, 296.145, 1037720, 0.0
2020-07-27, 292.28, 300.67, 292.21, 296.79, 920653, 0.0
2020-07-28, 298.87, 305.22, 298.02, 302.18, 855729, 0.0
2020-07-29, 297.1, 305.05, 295.05, 303.93, 781797, 0.0
2020-07-30, 304.77, 306.49, 298.87, 306.46, 693001, 0.0
2020-08-02, 309.84, 313.45, 308.97, 311.7, 805171, 0.0
2020-08-03, 310.81, 312.38, 307.24, 310.64, 896120, 0.0
2020-08-04, 311.26, 312.72, 308.64, 310.84, 678692, 0.0
2020-08-05, 310.36, 312.42, 307.865, 312.36, 551918, 0.0
2020-08-06, 311.39, 312.425, 306.22, 309.25, 567716, 0.0
2020-08-09, 303.99, 305.55, 301.01, 304.33, 409711, 0.0
2020-08-10, 303.63, 305.15, 298.47, 299.03, 647356, 0.0
2020-08-11, 299.93, 305.6, 299.88, 304.75, 647556, 0.0
2020-08-12, 305.25, 310.71, 305.25, 306.61, 551975, 0.0
2020-08-13, 307.55, 308.74, 304.82, 305.54, 470064, 0.0
2020-08-16, 307.84, 310.015, 306.83, 308.01, 544394, 0.0
2020-08-17, 310, 311, 306.58, 309.03, 620395, 0.0
2020-08-18, 308.67, 313.95, 305.86, 310.55, 824834, 0.0
2020-08-19, 310, 320.655, 309.94, 320.15, 873638, 0.0
2020-08-20, 319.86, 322.6, 318.4, 322.39, 981091, 0.0
2020-08-23, 325.27, 334.15, 324.63, 333.26, 1948232, 0.0
2020-08-24, 332.5, 337.37, 329.9513, 336.97, 1518126, 0.0
2020-08-25, 356.86, 360, 338.07, 342.24, 2929884, 0.0
2020-08-26, 341.84, 349.51, 339.06, 345, 1774448, 0.0
2020-08-27, 346.73, 347.38, 343.84, 346.37, 1008871, 0.0
2020-08-30, 345.89, 346.2389, 342.1, 345.39, 760265, 0.0
2020-08-31, 344.92, 349.33, 343.56, 347.31, 897372, 0.0
2020-09-01, 348.67, 355.67, 347.47, 354.08, 1253943, 0.0
2020-09-02, 353.11, 353.11, 336.66, 339.63, 1213844, 0.0
