Date, Open, High, Low, Close, Volume, OI
2020-06-10, 573.97, 576.69, 547.13, 548.01, 731921, 0.0
2020-06-11, 563.03, 569.34, 555.17, 555.425, 276372, 0.0
2020-06-14, 546.5, 571.98, 544.87, 571.28, 1060140, 0.0
2020-06-15, 587.88, 589.27, 572.56, 575.07, 1110957, 0.0
2020-06-16, 580.34, 585.63, 577.12, 578.42, 297935, 0.0
2020-06-17, 578.2, 585.76, 576.99, 585.51, 303480, 0.0
2020-06-18, 591.71, 595.335, 579.67, 587.58, 1233018, 0.0
2020-06-21, 588.26, 590.28, 582.49, 588.91, 450614, 0.0
2020-06-22, 591, 596.3, 587, 588.36, 350348, 0.0
2020-06-23, 582.63, 583.01, 552.43, 554.97, 868991, 0.0
2020-06-24, 556.7, 557.29, 543.03, 554.77, 603721, 0.0
2020-06-25, 556.57, 557.8715, 544.865, 550.35, 411218, 0.0
2020-06-28, 553.51, 554.99, 544.16, 553.66, 336107, 0.0
2020-06-29, 554.65, 573.38, 551.98, 569.58, 545531, 0.0
2020-06-30, 572, 576.95, 567.09, 575.54, 389557, 0.0
2020-07-01, 582.29, 583.4422, 576.83, 580.86, 413744, 0.0
2020-07-05, 588.88, 591.37, 581.1, 584.86, 295778, 0.0
2020-07-06, 579.7, 586.93, 575.14, 576.08, 303942, 0.0
2020-07-07, 578.96, 583.07, 575.61, 580.84, 289904, 0.0
2020-07-08, 579.22, 583.22, 568, 574.47, 357391, 0.0
2020-07-09, 574.7, 577.11, 567.51, 576.225, 244098, 0.0
2020-07-12, 579.16, 588.785, 570, 571.29, 431700, 0.0
2020-07-13, 569.64, 586.48, 566.21, 585.13, 473977, 0.0
2020-07-14, 591.25, 609, 590.58, 607.92, 729213, 0.0
2020-07-15, 604.7, 612.77, 596.3581, 604.1, 614978, 0.0
2020-07-16, 610, 654.8, 606.36, 650.99, 1327334, 0.0
2020-07-19, 645.44, 671.63, 631.57, 667.54, 984901, 0.0
2020-07-20, 667.2318, 675.063, 652.55, 658.38, 997787, 0.0
2020-07-21, 669.45, 684.845, 660.02, 681, 958517, 0.0
2020-07-22, 684.79, 699.7199, 675.7055, 687.14, 474165, 0.0
2020-07-23, 665.13, 677.1, 658.98, 675.35, 715597, 0.0
2020-07-26, 673.07, 689.83, 668.08, 685.35, 483766, 0.0
2020-07-27, 680, 685, 674.25, 679.53, 360926, 0.0
2020-07-28, 682.72, 704, 680.005, 696.56, 730579, 0.0
2020-07-29, 688.96, 692.29, 680.11, 686.77, 489791, 0.0
2020-07-30, 687.85, 690.64, 675.72, 685.44, 395577, 0.0
2020-08-02, 685.75, 693.24, 685.37, 689.3, 307900, 0.0
2020-08-03, 687.23, 689.4099, 681.5, 683.35, 307949, 0.0
2020-08-04, 687.65, 697.565, 685.32, 692.24, 311112, 0.0
2020-08-05, 690.2, 692.53, 676.09, 691.19, 261054, 0.0
2020-08-06, 691.02, 694.1, 680.02, 685.86, 301632, 0.0
2020-08-09, 683.87, 685.3, 675.99, 682.7, 211574, 0.0
2020-08-10, 685.99, 685.99, 671.6243, 674.49, 268040, 0.0
2020-08-11, 676.24, 685.995, 672.77, 683.02, 411152, 0.0
2020-08-12, 682.72, 694, 680.088, 690.69, 225115, 0.0
2020-08-13, 692.54, 692.54, 681.35, 684.52, 227919, 0.0
2020-08-16, 685.02, 695.06, 684.34, 694.16, 305196, 0.0
2020-08-17, 691.63, 696.195, 690.735, 693.05, 343852, 0.0
2020-08-18, 695, 699, 689.66, 691.41, 413501, 0.0
2020-08-19, 689.25, 695.205, 687.01, 693.25, 224213, 0.0
2020-08-20, 690.54, 694.975, 686.6825, 693.88, 421419, 0.0
2020-08-23, 699, 701.96, 689.29, 696.19, 454100, 0.0
2020-08-24, 695.78, 700.85, 694.183, 699.4, 402705, 0.0
2020-08-25, 700, 701.48, 692.79, 699.6, 435741, 0.0
2020-08-26, 700.83, 718.11, 692.115, 708.91, 795804, 0.0
2020-08-27, 713.34, 729.95, 708.69, 727.25, 560743, 0.0
2020-08-30, 723.17, 734.45, 721, 730.52, 467125, 0.0
2020-08-31, 732.45, 742.44, 727.31, 741.95, 450086, 0.0
2020-09-01, 742.01, 778.83, 738.33, 764.43, 996747, 0.0
2020-09-02, 752.86, 756.98, 724.13, 741.61, 984715, 0.0
