Date, Open, High, Low, Close, Volume, OI
2020-06-10, 58.5, 59.17, 56.74, 57.25, 18080359, 0.0
2020-06-11, 58.51, 59.02, 57.93, 57.935, 7540436, 0.0
2020-06-14, 56.98, 59.57, 56.8, 59.51, 21852450, 0.0
2020-06-15, 60.5, 61.28, 58.3, 60.97, 30155995, 0.0
2020-06-16, 61.5, 62.42, 61.0701, 61.99, 19099928, 0.0
2020-06-17, 60.81, 61, 59.52, 60.79, 22737407, 0.0
2020-06-18, 60.62, 61, 58.55, 58.64, 38315857, 0.0
2020-06-21, 59.14, 59.15, 57.94, 59.07, 14141974, 0.0
2020-06-22, 59.93, 60.69, 59.14, 59.9, 9399465, 0.0
2020-06-23, 60.09, 61.06, 58.58, 59.83, 11261561, 0.0
2020-06-24, 59.65, 60.67, 58.82, 60.5, 7511624, 0.0
2020-06-25, 60.455, 60.95, 58.95, 59.7, 7848016, 0.0
2020-06-28, 59.06, 60, 58.25, 59.59, 7307309, 0.0
2020-06-29, 59.36, 60.9, 59.21, 60.18, 9479324, 0.0
2020-06-30, 60.1635, 60.78, 59.61, 60.01, 6148737, 0.0
2020-07-01, 61.38, 61.92, 60.8, 61.39, 10112205, 0.0
2020-07-05, 63.59, 64.05, 62.5, 63.21, 12070308, 0.0
2020-07-06, 62.93, 63.21, 61.63, 61.7, 7844055, 0.0
2020-07-07, 63.48, 65.9, 62.92, 65.38, 20834031, 0.0
2020-07-08, 68, 69.18, 65.62, 67.37, 16583190, 0.0
2020-07-09, 66.28, 66.4998, 64.55, 65.6, 9767890, 0.0
2020-07-12, 65.8, 66.35, 62.1101, 62.3, 14049897, 0.0
2020-07-13, 60.9, 62.45, 59.96, 62.14, 12376698, 0.0
2020-07-14, 62.38, 63.07, 61.6, 62.54, 6976119, 0.0
2020-07-15, 60.717, 62.11, 59.41, 61.6918, 9992043, 0.0
2020-07-16, 62.76, 62.76, 61.6, 62.13, 4886855, 0.0
2020-07-19, 63.425, 63.7, 62.27, 63.37, 9475721, 0.0
2020-07-20, 65.07, 65.099, 61.68, 62.68, 13997998, 0.0
2020-07-21, 61.96, 62.415, 60.87, 61.86, 8807576, 0.0
2020-07-22, 62.04, 62.29, 59.92, 60.57, 7096097, 0.0
2020-07-23, 59.34, 61.33, 58.76, 60.88, 10893135, 0.0
2020-07-26, 60.96, 62.84, 60.92, 62.79, 6925888, 0.0
2020-07-27, 62.87, 62.948, 61.29, 61.49, 5302228, 0.0
2020-07-28, 61.82, 63.45, 61.73, 62.57, 5287504, 0.0
2020-07-29, 62.58, 62.81, 61.57, 62.29, 4726938, 0.0
2020-07-30, 62.95, 64.25, 62.39, 63.8, 10508864, 0.0
2020-08-02, 64, 65.55, 63.94, 64.53, 7145750, 0.0
2020-08-03, 65, 65.125, 64.06, 64.57, 5026531, 0.0
2020-08-04, 64.49, 65.85, 63.9, 65.53, 7111072, 0.0
2020-08-05, 65.49, 65.5, 63.55, 64.899, 8379559, 0.0
2020-08-06, 63.13, 63.6, 60.74, 62.06, 13704339, 0.0
2020-08-09, 62.22, 62.375, 59.9, 61.49, 9706304, 0.0
2020-08-10, 61.99, 62.58, 60.85, 61.22, 8268938, 0.0
2020-08-11, 61.92, 63.52, 61.64, 62.9, 6226057, 0.0
2020-08-12, 63.45, 63.46, 62.18, 62.53, 7106503, 0.0
2020-08-13, 62.73, 62.79, 60.9422, 62.02, 9766302, 0.0
2020-08-16, 64.66, 67.1, 62.6, 67.09, 29495929, 0.0
2020-08-17, 68.19, 71.4, 68.14, 70.37, 21239503, 0.0
2020-08-18, 70.8, 73.69, 70.8, 72.57, 21459240, 0.0
2020-08-19, 71.26, 74.39, 71.03, 73.93, 21251562, 0.0
2020-08-20, 74.56, 75.7219, 73.86, 74.95, 11681482, 0.0
2020-08-23, 76.99, 77.3, 75.01, 76.19, 12126483, 0.0
2020-08-24, 76.57, 79.82, 76.34, 78.9719, 18554865, 0.0
2020-08-25, 81.06, 81.45, 79.3199, 80.38, 18434720, 0.0
2020-08-26, 81.13, 81.24, 78.2301, 79.3, 11899576, 0.0
2020-08-27, 79.68, 80.72, 78.89, 79.99, 7472111, 0.0
2020-08-30, 79.94, 80.47, 78.57, 78.65, 11571927, 0.0
2020-08-31, 79.49, 83, 79.145, 82.48, 10565408, 0.0
2020-09-01, 85.459, 86.58, 81.8, 83.2, 13266677, 0.0
2020-09-02, 81.375, 81.69, 76.03, 79.051, 18188259, 0.0
