Date, Open, High, Low, Close, Volume, OI
2020-06-10, 31.72, 31.91, 31.14, 31.185, 5888052, 0.0
2020-06-11, 31.79, 31.98, 31.43, 31.44, 2670086, 0.0
2020-06-14, 31.26, 32.12, 30.99, 32.12, 8111511, 0.0
2020-06-15, 32.58, 32.9, 32.02, 32.74, 10056209, 0.0
2020-06-16, 32.92, 33.38, 32.76, 32.8, 4202264, 0.0
2020-06-17, 32.61, 33.2, 32.5, 33.19, 3330244, 0.0
2020-06-18, 33.25, 33.7, 33.07, 33.48, 11774536, 0.0
2020-06-21, 33.07, 33.37, 32.8, 33.14, 6034404, 0.0
2020-06-22, 33.2, 33.3774, 32.305, 32.4, 6560557, 0.0
2020-06-23, 32.25, 32.315, 31.67, 32.125, 5051633, 0.0
2020-06-24, 31.95, 32.07, 31.51, 31.87, 4327959, 0.0
2020-06-25, 31.89, 31.89, 30.8, 30.9, 5848040, 0.0
2020-06-28, 31, 31.71, 31, 31.64, 4270883, 0.0
2020-06-29, 31.64, 32.05, 31.4987, 31.88, 4419802, 0.0
2020-06-30, 31.93, 32.03, 31.485, 31.67, 3978184, 0.0
2020-07-01, 31.95, 32.21, 31.73, 31.81, 3752033, 0.0
2020-07-05, 32.08, 32.34, 31.85, 32, 3230868, 0.0
2020-07-06, 31.79, 32.275, 31.78, 32.04, 4061726, 0.0
2020-07-07, 32.04, 32.16, 31.48, 31.86, 3080313, 0.0
2020-07-08, 31.64, 31.755, 31.16, 31.36, 2872471, 0.0
2020-07-09, 31.35, 32.31, 31.35, 32.29, 4473684, 0.0
2020-07-12, 32.51, 32.95, 32.18, 32.52, 5343800, 0.0
2020-07-13, 32.3, 33.435, 32.28, 33.3, 5715844, 0.0
2020-07-14, 33.5, 33.5, 33.05, 33.15, 4420175, 0.0
2020-07-15, 33.57, 34.69, 33.44, 34.43, 8125576, 0.0
2020-07-16, 34.61, 35.19, 34.37, 35.01, 7602025, 0.0
2020-07-19, 34.92, 34.92, 33.91, 34.12, 5366794, 0.0
2020-07-20, 34.36, 34.89, 34.27, 34.53, 4041696, 0.0
2020-07-21, 34.65, 34.96, 34.28, 34.9, 3314369, 0.0
2020-07-22, 34.65, 35.13, 34.27, 34.87, 3655150, 0.0
2020-07-23, 34.9, 35.25, 34.511, 34.69, 4059352, 0.0
2020-07-26, 34.67, 34.8875, 34.49, 34.83, 3816746, 0.0
2020-07-27, 34.76, 35.39, 34.76, 35.26, 5503479, 0.0
2020-07-28, 35.55, 35.87, 35.4, 35.56, 6307554, 0.0
2020-07-29, 35.063, 35.5, 33.36, 34.38, 11594781, 0.0
2020-07-30, 34.12, 34.83, 33.83, 34.4, 7535537, 0.0
2020-08-02, 34.4742, 35.05, 34.25, 34.8, 4121424, 0.0
2020-08-03, 34.79, 35.1399, 34.38, 35.09, 4306676, 0.0
2020-08-04, 35.15, 35.23, 34.65, 34.78, 3487262, 0.0
2020-08-05, 34.84, 35.33, 34.67, 35.28, 4217032, 0.0
2020-08-06, 35.14, 35.45, 34.98, 35.41, 3299271, 0.0
2020-08-09, 35.115, 35.12, 34.52, 34.8, 3933580, 0.0
2020-08-10, 35, 35.25, 34.49, 34.64, 4114562, 0.0
2020-08-11, 34.89, 35.5, 34.765, 35.33, 3955230, 0.0
2020-08-12, 35.44, 35.67, 35.1333, 35.57, 4436742, 0.0
2020-08-13, 35.34, 35.665, 35.13, 35.6, 2368291, 0.0
2020-08-16, 35.68, 36.3686, 35.54, 35.91, 4444745, 0.0
2020-08-17, 36, 36.01, 35.26, 35.65, 3698357, 0.0
2020-08-18, 35.75, 35.87, 35.38, 35.43, 3445699, 0.0
2020-08-19, 35.26, 35.31, 34.73, 34.86, 3647914, 0.0
2020-08-20, 34.77, 34.9, 34.3167, 34.56, 4257688, 0.0
2020-08-23, 34.69, 35.09, 34.35, 35.09, 3878540, 0.0
2020-08-24, 35.31, 35.41, 34.915, 35.37, 3850392, 0.0
2020-08-25, 35.32, 35.36, 34.8301, 35.31, 4009904, 0.0
2020-08-26, 35.0914, 35.235, 34.7, 34.76, 3871559, 0.0
2020-08-27, 34.76, 34.91, 34.25, 34.87, 3519250, 0.0
2020-08-30, 34.86, 35.14, 34.56, 35.04, 3361229, 0.0
2020-08-31, 34.75, 34.78, 33.915, 34.149, 5183712, 0.0
2020-09-01, 34.292, 34.94, 34.11, 34.71, 4518956, 0.0
2020-09-02, 34.525, 35.05, 33.27, 33.55, 7678007, 0.0
