Date, Open, High, Low, Close, Volume, OI
2020-06-10, 191.32, 191.32, 179.84, 180.815, 1104008, 0.0
2020-06-11, 186.17, 188.4, 183.505, 183.53, 450884, 0.0
2020-06-14, 178.24, 188.125, 176.58, 187.75, 2225327, 0.0
2020-06-15, 193.855, 196.97, 188.73, 193.09, 2460287, 0.0
2020-06-16, 193.17, 196.3, 192.17, 193.87, 959303, 0.0
2020-06-17, 194.29, 194.29, 192.05, 193.72, 725310, 0.0
2020-06-18, 196.43, 197.5, 192.05, 192.73, 2172160, 0.0
2020-06-21, 189.35, 193.77, 189.35, 191.835, 958263, 0.0
2020-06-22, 195.16, 195.16, 192.29, 193.21, 851458, 0.0
2020-06-23, 192.21, 193, 185.69, 188.44, 1304309, 0.0
2020-06-24, 190.91, 192.71, 187.42, 192.45, 861452, 0.0
2020-06-25, 192.63, 193.2, 189.04, 189.76, 958916, 0.0
2020-06-28, 190.54, 191.75, 186.585, 191.7, 536618, 0.0
2020-06-29, 191.03, 195.86, 191.03, 194.48, 971695, 0.0
2020-06-30, 194.48, 195.27, 191.92, 193.15, 1122924, 0.0
2020-07-01, 194.56, 198.21, 194.27, 196.5, 1034804, 0.0
2020-07-05, 199.385, 206.51, 198.22, 203.61, 1152718, 0.0
2020-07-06, 203.48, 205.33, 201.8, 202.74, 1116569, 0.0
2020-07-07, 203.3346, 205.73, 201.175, 204.45, 629175, 0.0
2020-07-08, 203, 206.49, 200.64, 203.68, 921458, 0.0
2020-07-09, 203.6, 204.2, 198.23, 202.24, 914811, 0.0
2020-07-12, 204.9646, 207.78, 199.08, 199.57, 1021127, 0.0
2020-07-13, 197.81, 201.65, 194.01, 200.89, 1453757, 0.0
2020-07-14, 201.86, 204.17, 194.31, 195.965, 1302981, 0.0
2020-07-15, 193.98, 197.48, 193, 196.005, 793969, 0.0
2020-07-16, 198.02, 198.38, 195.02, 197.24, 604062, 0.0
2020-07-19, 197.32, 203.97, 196.57, 203.02, 605126, 0.0
2020-07-20, 203.87, 204.68, 200.79, 203.56, 793969, 0.0
2020-07-21, 204.99, 206.865, 203.21, 205.95, 714593, 0.0
2020-07-22, 205.78, 209.3, 203.25, 203.99, 603555, 0.0
2020-07-23, 196.39, 197.26, 187.14, 188.21, 2366363, 0.0
2020-07-26, 192.27, 197.88, 190.185, 197.06, 1690549, 0.0
2020-07-27, 195.3, 196.93, 192.19, 192.46, 1014859, 0.0
2020-07-28, 191.5, 195.72, 190.34, 195.04, 1347714, 0.0
2020-07-29, 194.81, 199, 193.75, 197.99, 1047961, 0.0
2020-07-30, 200, 200, 195.04, 199.76, 866374, 0.0
2020-08-02, 202.59, 208.04, 202.5, 207.65, 1190481, 0.0
2020-08-03, 200.241, 205.17, 200.1543, 204.73, 1559435, 0.0
2020-08-04, 206.02, 206.2, 202.365, 203.98, 695363, 0.0
2020-08-05, 203.25, 204.2, 200.99, 203.59, 918585, 0.0
2020-08-06, 201.86, 206.5322, 200.29, 202.85, 872408, 0.0
2020-08-09, 200.4425, 203.36, 198.25, 203.15, 817862, 0.0
2020-08-10, 203.56, 204.82, 200.05, 200.62, 653093, 0.0
2020-08-11, 201.56, 208.76, 201.11, 208.05, 655757, 0.0
2020-08-12, 207.79, 210.26, 206.42, 209.96, 1036182, 0.0
2020-08-13, 210.08, 215.2, 209.5, 211.64, 1009383, 0.0
2020-08-16, 213.19, 218.57, 212.81, 216.63, 938657, 0.0
2020-08-17, 217.71, 217.9, 211.365, 211.76, 763766, 0.0
2020-08-18, 212.71, 212.719, 209.49, 210.72, 617788, 0.0
2020-08-19, 206.6, 208.8325, 205.08, 206.85, 805361, 0.0
2020-08-20, 206.75, 206.87, 202.1132, 203.99, 896650, 0.0
2020-08-23, 207.5, 208.67, 205.3, 208.44, 798833, 0.0
2020-08-24, 208.03, 211.18, 207.19, 210.21, 772072, 0.0
2020-08-25, 209.77, 212.66, 209.595, 212.21, 509355, 0.0
2020-08-26, 213.78, 214.14, 203.5, 204.62, 987435, 0.0
2020-08-27, 204.79, 208.92, 203.95, 208.57, 712579, 0.0
2020-08-30, 207.78, 208.11, 203.98, 204.96, 689652, 0.0
2020-08-31, 205.89, 208.485, 204.51, 208.12, 576399, 0.0
2020-09-01, 210.68, 216.17, 209, 215.55, 1014762, 0.0
2020-09-02, 213.61, 214.04, 200.25, 201.4, 1505036, 0.0
