Date, Open, High, Low, Close, Volume, OI
2020-06-10, 22.36, 22.39, 21.295, 21.425, 1732320, 0.0
2020-06-11, 21.84, 22.08, 21.69, 21.69, 1014832, 0.0
2020-06-14, 21.83, 22.21, 21.37, 22.07, 2699280, 0.0
2020-06-15, 22.78, 22.89, 22.27, 22.53, 2125519, 0.0
2020-06-16, 22.57, 22.57, 22.08, 22.11, 1173671, 0.0
2020-06-17, 22.31, 23.87, 22.14, 23.73, 1721017, 0.0
2020-06-18, 23.81, 23.97, 23.06, 23.17, 1914900, 0.0
2020-06-21, 23.12, 23.395, 23.01, 23.22, 871604, 0.0
2020-06-22, 23.22, 23.44, 22.685, 22.72, 533181, 0.0
2020-06-23, 22.56, 22.8, 21.89, 22.03, 1154464, 0.0
2020-06-24, 21.91, 22.02, 21.58, 21.82, 978048, 0.0
2020-06-25, 21.75, 21.75, 20.88, 20.92, 3338255, 0.0
2020-06-28, 21.07, 21.86, 20.935, 21.86, 1151383, 0.0
2020-06-29, 21.79, 22.03, 21.545, 21.86, 651255, 0.0
2020-06-30, 21.76, 22.1, 21.51, 21.88, 609842, 0.0
2020-07-01, 22.59, 23.26, 22.37, 22.51, 1430164, 0.0
2020-07-05, 22.84, 23.32, 22.75, 23.29, 814047, 0.0
2020-07-06, 23.09, 23.3, 22.935, 22.97, 645482, 0.0
2020-07-07, 22.95, 22.98, 22.525, 22.94, 688341, 0.0
2020-07-08, 22.87, 23.22, 22.68, 22.72, 1024481, 0.0
2020-07-09, 22.56, 22.93, 22.325, 22.89, 793224, 0.0
2020-07-12, 23.01, 23.23, 22.63, 22.68, 908545, 0.0
2020-07-13, 22.35, 23.12, 22.29, 23.05, 913371, 0.0
2020-07-14, 23.22, 23.54, 23.05, 23.37, 667964, 0.0
2020-07-15, 23.26, 23.45, 22.88, 23.055, 557042, 0.0
2020-07-16, 23.09, 23.35, 22.68, 22.81, 750304, 0.0
2020-07-19, 22.82, 23.05, 22.72, 22.96, 566251, 0.0
2020-07-20, 23.1, 23.35, 22.81, 22.89, 944139, 0.0
2020-07-21, 22.8, 23.18, 22.68, 23.02, 511448, 0.0
2020-07-22, 22.99, 23.05, 22.555, 22.62, 413604, 0.0
2020-07-23, 22.57, 22.83, 22.295, 22.46, 794641, 0.0
2020-07-26, 22.38, 23.2, 21.91, 23.15, 2278023, 0.0
2020-07-27, 23.07, 23.51, 22.865, 23.34, 1680370, 0.0
2020-07-28, 23.55, 24.125, 23.4, 23.97, 1514296, 0.0
2020-07-29, 23.38, 23.79, 23.38, 23.57, 2021846, 0.0
2020-07-30, 23.64, 23.7, 23.2, 23.41, 1811133, 0.0
2020-08-02, 23.38, 23.47, 22.95, 23.26, 866577, 0.0
2020-08-03, 22.48, 23.68, 22.48, 23.36, 1236265, 0.0
2020-08-04, 23.5, 23.59, 22.815, 22.87, 1092185, 0.0
2020-08-05, 22.76, 22.9, 22.34, 22.49, 967232, 0.0
2020-08-06, 22.52, 22.66, 22.105, 22.39, 969539, 0.0
2020-08-09, 22.32, 22.34, 21.86, 22.19, 684662, 0.0
2020-08-10, 22.31, 22.41, 21.98, 22.04, 913426, 0.0
2020-08-11, 22.2, 23.18, 22.17, 22.36, 2140645, 0.0
2020-08-12, 22.005, 22.51, 22.005, 22.31, 1110013, 0.0
2020-08-13, 22.02, 22.27, 21.945, 22.2, 899600, 0.0
2020-08-16, 22.0135, 22.24, 21.64, 21.73, 1331693, 0.0
2020-08-17, 21.8, 22.73, 21.71, 22.61, 1225172, 0.0
2020-08-18, 22.67, 22.67, 22.07, 22.16, 787537, 0.0
2020-08-19, 22.01, 22.15, 21.87, 22.09, 660959, 0.0
2020-08-20, 21.99, 22.15, 21.68, 22, 942386, 0.0
2020-08-23, 21.98, 22.41, 21.84, 22.27, 964771, 0.0
2020-08-24, 22.75, 22.79, 22.39, 22.76, 809229, 0.0
2020-08-25, 22.69, 23.3, 22.62, 23.29, 857663, 0.0
2020-08-26, 23.46, 23.48, 23.065, 23.42, 829721, 0.0
2020-08-27, 23.42, 23.69, 23.36, 23.68, 409483, 0.0
2020-08-30, 23.57, 23.83, 23.315, 23.37, 1401541, 0.0
2020-08-31, 23.12, 23.775, 23.12, 23.26, 930405, 0.0
2020-09-01, 23.27, 23.84, 23.22, 23.61, 683707, 0.0
2020-09-02, 23.77, 23.86, 23.08, 23.33, 943979, 0.0
