Date, Open, High, Low, Close, Volume, OI
2020-06-10, 21.96, 21.97, 20.83, 20.97, 2895104, 0.0
2020-06-11, 21.32, 21.635, 21.11, 21.24, 1229338, 0.0
2020-06-14, 21.47, 21.77, 21.15, 21.61, 4343917, 0.0
2020-06-15, 22.27, 22.29, 21.8, 22.061, 4216868, 0.0
2020-06-16, 22.18, 22.18, 21.65, 21.69, 1557708, 0.0
2020-06-17, 21.54, 23.39, 21.54, 23.15, 3087270, 0.0
2020-06-18, 23.32, 23.41, 22.55, 22.735, 4576272, 0.0
2020-06-21, 22.66, 22.88, 22.46, 22.67, 1529550, 0.0
2020-06-22, 22.84, 22.84, 22.14, 22.2, 1631082, 0.0
2020-06-23, 22, 22.135, 21.34, 21.44, 2812456, 0.0
2020-06-24, 21.37, 21.755, 21.13, 21.38, 2279016, 0.0
2020-06-25, 21.23, 21.31, 20.67, 20.72, 5783084, 0.0
2020-06-28, 20.78, 21.5, 20.61, 21.5, 2729500, 0.0
2020-06-29, 21.52, 21.715, 21.19, 21.51, 1732693, 0.0
2020-06-30, 21.48, 21.72, 21.22, 21.47, 1365140, 0.0
2020-07-01, 22.01, 22.76, 21.86, 22, 2481028, 0.0
2020-07-05, 22.37, 22.83, 22.19, 22.81, 1494355, 0.0
2020-07-06, 22.6, 22.8, 22.49, 22.53, 1170673, 0.0
2020-07-07, 22.47, 22.6, 22.1, 22.6, 1551081, 0.0
2020-07-08, 22.56, 22.835, 22.31, 22.38, 2571779, 0.0
2020-07-09, 22.42, 22.59, 21.99, 22.55, 1366006, 0.0
2020-07-12, 22.64, 22.88, 22.3, 22.36, 1633667, 0.0
2020-07-13, 22, 22.77, 21.91, 22.71, 1599076, 0.0
2020-07-14, 22.77, 23.15, 22.675, 23.03, 1369824, 0.0
2020-07-15, 22.97, 23.09, 22.57, 22.7299, 924406, 0.0
2020-07-16, 22.8, 23.01, 22.36, 22.49, 1767560, 0.0
2020-07-19, 22.45, 22.75, 22.405, 22.63, 1103844, 0.0
2020-07-20, 22.77, 23.02, 22.52, 22.58, 2136003, 0.0
2020-07-21, 22.59, 22.86, 22.36, 22.71, 924389, 0.0
2020-07-22, 22.6, 22.73, 22.2, 22.29, 763308, 0.0
2020-07-23, 22.28, 22.49, 21.96, 22.11, 1713475, 0.0
2020-07-26, 22.05, 22.89, 21.58, 22.79, 2739163, 0.0
2020-07-27, 22.77, 23.11, 22.59, 22.92, 2892972, 0.0
2020-07-28, 23.08, 23.615, 22.91, 23.44, 2041345, 0.0
2020-07-29, 23.16, 23.24, 22.88, 22.99, 2042559, 0.0
2020-07-30, 23.08, 23.17, 22.57, 22.75, 2083693, 0.0
2020-08-02, 22.71, 22.9, 22.34, 22.72, 1664003, 0.0
2020-08-03, 22.49, 23.045, 22.11, 22.75, 2518459, 0.0
2020-08-04, 22.87, 22.96, 22.25, 22.27, 1815025, 0.0
2020-08-05, 22.19, 22.35, 21.79, 21.97, 2420482, 0.0
2020-08-06, 21.92, 22.08, 21.48, 21.76, 2822422, 0.0
2020-08-09, 21.71, 21.74, 21.245, 21.6, 2447801, 0.0
2020-08-10, 21.72, 21.795, 21.355, 21.44, 2283941, 0.0
2020-08-11, 21.68, 22.52, 21.56, 21.69, 3892973, 0.0
2020-08-12, 21.79, 21.87, 21.44, 21.61, 2551764, 0.0
2020-08-13, 21.6, 21.6529, 21.31, 21.55, 2033971, 0.0
2020-08-16, 21.52, 21.63, 21.06, 21.1, 2751000, 0.0
2020-08-17, 21.11, 22.09, 21.08, 21.96, 4214717, 0.0
2020-08-18, 21.91, 21.92, 21.44, 21.51, 2904385, 0.0
2020-08-19, 21.52, 21.815, 21.25, 21.45, 2429788, 0.0
2020-08-20, 21.12, 21.55, 21.005, 21.4, 2520788, 0.0
2020-08-23, 21.47, 21.84, 21.36, 21.65, 2450269, 0.0
2020-08-24, 21.77, 22.17, 21.77, 22.15, 2567798, 0.0
2020-08-25, 22.08, 22.75, 22, 22.73, 2860609, 0.0
2020-08-26, 22.79, 22.9, 22.5, 22.8, 2156573, 0.0
2020-08-27, 22.82, 23.0584, 22.73, 23.04, 1688988, 0.0
2020-08-30, 23.18, 23.23, 22.74, 23, 2413163, 0.0
2020-08-31, 22.97, 23.24, 22.64, 22.7, 1831369, 0.0
2020-09-01, 22.85, 23.29, 22.73, 23.06, 1590259, 0.0
2020-09-02, 23.22, 23.35, 22.56, 22.76, 2963657, 0.0
