Date, Open, High, Low, Close, Volume, OI
2020-06-10, 292.29, 298.63, 281.88, 281.95, 3462212, 0.0
2020-06-11, 292.8029, 294.4, 284.6, 284.68, 453338, 0.0
2020-06-14, 275.85, 291.7385, 274.51, 291.45, 1835873, 0.0
2020-06-15, 303.48, 308.75, 299.67, 305.98, 2321753, 0.0
2020-06-16, 310.59, 314.44, 307.62, 313.63, 1572844, 0.0
2020-06-17, 314.01, 317.725, 312.53, 314.81, 2307833, 0.0
2020-06-18, 320.3, 325.115, 313.54, 315.15, 3754353, 0.0
2020-06-21, 312, 314.84, 307.0617, 312.18, 1350881, 0.0
2020-06-22, 315.02, 319.0599, 312.5, 315.77, 1531422, 0.0
2020-06-23, 311.04, 316.63, 303.97, 305.78, 1590911, 0.0
2020-06-24, 308.17, 313.38, 300.6058, 312.8, 1294356, 0.0
2020-06-25, 312.4, 312.69, 300.36, 302.53, 1763291, 0.0
2020-06-28, 303.75, 309, 300.61, 308.7, 1281624, 0.0
2020-06-29, 311.19, 325.8, 308.93, 323.09, 2521806, 0.0
2020-06-30, 322.15, 322.77, 316.12, 317.45, 1352430, 0.0
2020-07-01, 322.86, 327.4488, 318.64, 323.85, 1549743, 0.0
2020-07-05, 330.01, 336.99, 328.98, 334.83, 1244157, 0.0
2020-07-06, 332.13, 337.27, 327.5, 327.89, 1017834, 0.0
2020-07-07, 332.79, 335.4, 329.39, 333.89, 835965, 0.0
2020-07-08, 337.36, 338.9284, 331.05, 335.55, 1524944, 0.0
2020-07-09, 335.09, 340.29, 330.65, 339.81, 1334582, 0.0
2020-07-12, 343, 350.24, 336.85, 337.05, 1963263, 0.0
2020-07-13, 336.07, 347.51, 331.4, 346.21, 1679771, 0.0
2020-07-14, 347.07, 348.8, 335.61, 343.46, 1460957, 0.0
2020-07-15, 340.27, 346.71, 338.89, 344.54, 934171, 0.0
2020-07-16, 347.86, 348.33, 341.1501, 346.27, 855199, 0.0
2020-07-19, 346.27, 355.94, 342.01, 353.72, 1072290, 0.0
2020-07-20, 357.37, 362.2, 352.34, 357.02, 1568796, 0.0
2020-07-21, 359.97, 363, 356.5, 361.96, 942326, 0.0
2020-07-22, 358.85, 367.56, 354.155, 354.96, 1143354, 0.0
2020-07-23, 344.21, 348, 336.28, 345.5, 1865165, 0.0
2020-07-26, 347.44, 360.0773, 346.675, 358.025, 1443761, 0.0
2020-07-27, 354.61, 358.93, 348.6, 348.89, 1151364, 0.0
2020-07-28, 352.1, 361.84, 349, 360.82, 1886261, 0.0
2020-07-29, 367.775, 381.48, 367.08, 378.75, 2424933, 0.0
2020-07-30, 379.56, 380.16, 369.29, 377.17, 1833354, 0.0
2020-08-02, 380.8, 387.695, 379.6279, 381.38, 1016724, 0.0
2020-08-03, 382.18, 385.75, 380.22, 384.96, 1032847, 0.0
2020-08-04, 384.58, 387.09, 382.28, 383.43, 710732, 0.0
2020-08-05, 377, 379.6, 370.79, 377.74, 1503735, 0.0
2020-08-06, 378.38, 381.69, 366.45, 372.1, 1246811, 0.0
2020-08-09, 372.83, 376.82, 369.15, 376.03, 668090, 0.0
2020-08-10, 378.86, 380.87, 367.39, 369.09, 1009978, 0.0
2020-08-11, 372.18, 383.28, 369.93, 381.51, 1092653, 0.0
2020-08-12, 380.01, 382.45, 374.3801, 376.95, 997759, 0.0
2020-08-13, 379, 384.99, 373, 373.65, 1235510, 0.0
2020-08-16, 376.55, 384.17, 372.81, 379.1, 1259845, 0.0
2020-08-17, 381.95, 382.7021, 372.93, 374.59, 953150, 0.0
2020-08-18, 374.03, 376.19, 368.26, 372.19, 976619, 0.0
2020-08-19, 360.1, 363.4, 355.27, 358.38, 2096643, 0.0
2020-08-20, 355.92, 356.71, 350.33, 353.44, 2354751, 0.0
2020-08-23, 359.4, 360.67, 347.32, 350.75, 1579333, 0.0
2020-08-24, 353.05, 356.3, 350.5, 352.38, 1186450, 0.0
2020-08-25, 352.55, 354, 348.07, 351.6, 1063484, 0.0
2020-08-26, 354.86, 354.86, 338.59, 341.67, 1798643, 0.0
2020-08-27, 342.66, 351.99, 341.45, 350.61, 1490918, 0.0
2020-08-30, 348.55, 349.145, 336.24, 336.34, 2277334, 0.0
2020-08-31, 339.55, 346.5, 337.568, 340.54, 1845485, 0.0
2020-09-01, 345.98, 365.141, 344.25, 362.94, 2570998, 0.0
2020-09-02, 357.295, 357.295, 339.395, 341.52, 2264304, 0.0
