Date, Open, High, Low, Close, Volume, OI
2020-06-10, 314.37, 321.1, 306.63, 308.5047, 5521758, 0.0
2020-06-11, 302.84, 308.38, 295.5211, 295.6121, 3126661, 0.0
2020-06-14, 289.17, 303.25, 288.61, 303.05, 2129127, 0.0
2020-06-15, 310.79, 312.802, 303.27, 310.62, 1998220, 0.0
2020-06-16, 313, 313.83, 302.57, 303.69, 1551462, 0.0
2020-06-17, 303.99, 305.66, 299, 302.98, 2923630, 0.0
2020-06-18, 306.98, 307.01, 295.29, 297.63, 2972174, 0.0
2020-06-21, 298.01, 306.57, 293.85, 304.7899, 1497597, 0.0
2020-06-22, 308.01, 310.2136, 300.73, 301.21, 1233849, 0.0
2020-06-23, 299.48, 303.15, 290.52, 295.4, 1462620, 0.0
2020-06-24, 294.3, 295.26, 288.5, 295.12, 1145724, 0.0
2020-06-25, 293.8, 295.1, 288.11, 289.66, 1144853, 0.0
2020-06-28, 290.11, 295.67, 284.29, 294.35, 1543887, 0.0
2020-06-29, 305, 318.3236, 304.2, 312.14, 5287934, 0.0
2020-06-30, 314.5, 316.99, 306.355, 308.62, 1698383, 0.0
2020-07-01, 312.15, 312.5917, 302.4954, 304.67, 1747969, 0.0
2020-07-05, 309, 316.12, 308.6, 314.34, 2374468, 0.0
2020-07-06, 313.12, 313.13, 306.31, 306.75, 1239187, 0.0
2020-07-07, 310.88, 311.25, 306.575, 309.87, 1138873, 0.0
2020-07-08, 309.8, 319.1099, 303.68, 315.25, 3186673, 0.0
2020-07-09, 316.64, 317.97, 308.12, 314.2, 1645588, 0.0
2020-07-12, 316.75, 321.82, 304.539, 305.33, 2040655, 0.0
2020-07-13, 303.53, 309.445, 295.01, 308.25, 1960247, 0.0
2020-07-14, 308.5944, 314, 304.14, 312.52, 1405322, 0.0
2020-07-15, 308.5, 315.21, 306.78, 313.03, 1079368, 0.0
2020-07-16, 315.02, 319.04, 310.86, 316.84, 1567863, 0.0
2020-07-19, 319.14, 329.85, 317, 326.85, 1869711, 0.0
2020-07-20, 330.36, 330.9, 324.07, 325.03, 1377562, 0.0
2020-07-21, 325.89, 329.484, 322.534, 326.57, 835332, 0.0
2020-07-22, 327.16, 337.5673, 317.94, 320.01, 1859446, 0.0
2020-07-23, 316.26, 325.71, 313.62, 321.55, 1359359, 0.0
2020-07-26, 324.28, 333.18, 323.04, 331.55, 1870790, 0.0
2020-07-27, 331.22, 333.8799, 321.91, 322.87, 1456072, 0.0
2020-07-28, 322.2, 329.5, 321.5, 326.25, 1252783, 0.0
2020-07-29, 322.3, 325.38, 316.99, 323.45, 1172823, 0.0
2020-07-30, 326.17, 326.2753, 319.6, 325.61, 1144734, 0.0
2020-08-02, 327.99, 331.17, 324.01, 328.59, 986518, 0.0
2020-08-03, 327.93, 330.39, 324.3201, 328.14, 909775, 0.0
2020-08-04, 330.94, 343.59, 328.265, 340.4, 2062132, 0.0
2020-08-05, 342.32, 343.09, 334.12, 339.18, 1048151, 0.0
2020-08-06, 339.08, 343.74, 336.51, 342.08, 1513579, 0.0
2020-08-09, 342.72, 346.0628, 337.3928, 344.23, 1234386, 0.0
2020-08-10, 344.32, 344.7802, 334.87, 335.47, 1446893, 0.0
2020-08-11, 338, 346.43, 337.79, 345.59, 1149964, 0.0
2020-08-12, 349.99, 354.59, 346.27, 350.445, 1342682, 0.0
2020-08-13, 350.15, 351.69, 345.03, 349.09, 820922, 0.0
2020-08-16, 350.49, 355.82, 350, 354.99, 646328, 0.0
2020-08-17, 358.07, 360.77, 352.4549, 358.78, 926643, 0.0
2020-08-18, 360.58, 364.89, 356.17, 360.97, 832096, 0.0
2020-08-19, 358.18, 367.94, 356.3, 366.42, 1003427, 0.0
2020-08-20, 367.45, 369.77, 364.55, 368.63, 710707, 0.0
2020-08-23, 372.2, 377.84, 369.395, 376.31, 1492591, 0.0
2020-08-24, 376.51, 380.5896, 372.21, 378.45, 982557, 0.0
2020-08-25, 381.41, 383.2, 376.67, 381.5, 966509, 0.0
2020-08-26, 384, 384.05, 373.892, 375.01, 1629340, 0.0
2020-08-27, 377, 380.92, 376.13, 377.48, 1194719, 0.0
2020-08-30, 377.5, 379.31, 372.5, 375.34, 1560592, 0.0
2020-08-31, 376.6, 391.38, 373.56, 391.16, 1297367, 0.0
2020-09-01, 398.11, 399.8965, 387.075, 398.25, 1528570, 0.0
2020-09-02, 393.39, 396.83, 376.37, 377.87, 2297445, 0.0
