Date, Open, High, Low, Close, Volume, OI
2020-06-10, 95.05, 96.5, 90.61, 91.43, 14461266, 0.0
2020-06-11, 97.61, 97.76, 92.76, 92.76, 1682866, 0.0
2020-06-14, 88, 92.33, 86.79, 90.79, 8739310, 0.0
2020-06-15, 96.34, 96.4, 90.7, 93.98, 5775034, 0.0
2020-06-16, 93.52, 94, 90.8023, 91.15, 3653866, 0.0
2020-06-17, 90.5, 94.18, 90.17, 92.75, 6782424, 0.0
2020-06-18, 93.905, 94.13, 88.66, 89.68, 7972043, 0.0
2020-06-21, 89.5, 91, 88.28, 90.16, 4037344, 0.0
2020-06-22, 91, 91.49, 88.83, 90.61, 5231862, 0.0
2020-06-23, 89.33, 89.52, 83.88, 85, 6127374, 0.0
2020-06-24, 83.59, 84.56, 82.12, 83.98, 5013837, 0.0
2020-06-25, 83.55, 83.95, 80.3994, 80.88, 5734171, 0.0
2020-06-28, 81.53, 86.61, 80.26, 86.6, 4853392, 0.0
2020-06-29, 85.41, 86.9199, 84, 85.73, 3750109, 0.0
2020-06-30, 86.67, 90.5, 86.33, 86.64, 5357443, 0.0
2020-07-01, 89.7, 90.23, 86.26, 87.82, 3565900, 0.0
2020-07-05, 89.6574, 90.34, 87.12, 89.8, 2855296, 0.0
2020-07-06, 88.63, 88.9795, 87.08, 87.48, 2488668, 0.0
2020-07-07, 87.29, 90.03, 86.49, 90.01, 3141365, 0.0
2020-07-08, 90.22, 90.28, 86, 86.21, 4947844, 0.0
2020-07-09, 85.86, 88.61, 85.5, 88.52, 2963932, 0.0
2020-07-12, 89.07, 90.54, 87.31, 87.53, 3694024, 0.0
2020-07-13, 87, 87.73, 86, 87.09, 2733124, 0.0
2020-07-14, 90.23, 94.75, 90.16, 94.01, 6425130, 0.0
2020-07-15, 92.13, 93.43, 90.7627, 93.235, 2193256, 0.0
2020-07-16, 93.03, 93.1, 90.1, 91.47, 2106829, 0.0
2020-07-19, 90.64, 91.63, 87.57, 88.47, 2848431, 0.0
2020-07-20, 89.67, 91.5, 88.5, 89.96, 2246059, 0.0
2020-07-21, 89.07, 90.96, 88.81, 90.78, 1556808, 0.0
2020-07-22, 89.91, 90.2, 87.98, 88.97, 1359168, 0.0
2020-07-23, 88.89, 88.89, 86.57, 87.52, 1940921, 0.0
2020-07-26, 86.11, 87.135, 85.2, 86.23, 2462933, 0.0
2020-07-27, 86.31, 87.88, 85.96, 86.59, 2020575, 0.0
2020-07-28, 87.08, 88.1779, 86, 87.15, 1522356, 0.0
2020-07-29, 85.46, 86.1074, 84.54, 85.51, 2275226, 0.0
2020-07-30, 84.53, 84.61, 82.06, 83.83, 3538472, 0.0
2020-08-02, 83.26, 83.965, 81.3, 83.48, 2178917, 0.0
2020-08-03, 83.42, 86.27, 82.62, 86.1, 2787640, 0.0
2020-08-04, 87.72, 87.9307, 85.88, 87.27, 1981006, 0.0
2020-08-05, 86.46, 91.2165, 85.951, 90.39, 3624337, 0.0
2020-08-06, 90.23, 94.05, 88.62, 93.74, 4578187, 0.0
2020-08-09, 94.08, 98.125, 93.42, 97.13, 4762508, 0.0
2020-08-10, 101.18, 101.62, 96.8701, 97, 5161842, 0.0
2020-08-11, 99.21, 99.65, 95.39, 95.98, 3612743, 0.0
2020-08-12, 95.93, 98.5, 95.54, 96.5, 1994635, 0.0
2020-08-13, 97.25, 97.67, 95.96, 96, 3111494, 0.0
2020-08-16, 97.22, 97.5, 95.1601, 95.74, 1875126, 0.0
2020-08-17, 95.52, 95.84, 93.43, 94.46, 1543152, 0.0
2020-08-18, 94.91, 95.8436, 93.67, 94.03, 1377309, 0.0
2020-08-19, 92.46, 95.63, 92.07, 94.06, 2056025, 0.0
2020-08-20, 93.81, 97.03, 93.5, 95.27, 1926777, 0.0
2020-08-23, 96.01, 98.57, 95, 97.87, 2606993, 0.0
2020-08-24, 98.825, 100.38, 97.52, 98.77, 2117635, 0.0
2020-08-25, 98.34, 98.57, 96.33, 97.36, 1968314, 0.0
2020-08-26, 99.2503, 103.3242, 99, 101.8, 3669216, 0.0
2020-08-27, 102.96, 106.61, 101.95, 106.26, 3430187, 0.0
2020-08-30, 105.25, 105.96, 102.84, 102.84, 2424667, 0.0
2020-08-31, 101.48, 104.58, 100.76, 103.12, 1773649, 0.0
2020-09-01, 103.28, 104.84, 102.4039, 104.35, 1674143, 0.0
2020-09-02, 104.99, 107.9, 102.21, 103.09, 2581550, 0.0
