Date, Open, High, Low, Close, Volume, OI
2020-06-10, 101.5, 101.97, 97.165, 97.4, 6206957, 0.0
2020-06-11, 101.46, 102.59, 98.66, 98.67, 469321, 0.0
2020-06-14, 96.62, 101.34, 96.51, 101.28, 1966817, 0.0
2020-06-15, 104.98, 105.97, 102, 103.81, 2288463, 0.0
2020-06-16, 104.83, 105.91, 103.85, 104.58, 2074082, 0.0
2020-06-17, 103.89, 104.85, 103.19, 104.29, 2741053, 0.0
2020-06-18, 106.89, 107.58, 103.42, 103.46, 4505537, 0.0
2020-06-21, 103.76, 104.3, 102.04, 103.745, 1129400, 0.0
2020-06-22, 105.02, 105.56, 103.99, 104.07, 951374, 0.0
2020-06-23, 103.05, 104.08, 100.55, 101.03, 2568270, 0.0
2020-06-24, 99.97, 102.19, 99, 101.97, 1469701, 0.0
2020-06-25, 101.7, 101.94, 99.5, 100.13, 1305383, 0.0
2020-06-28, 100.84, 103.24, 99.41, 102.6, 1717148, 0.0
2020-06-29, 102.86, 105.76, 102.24, 105.32, 2274488, 0.0
2020-06-30, 105.1295, 105.48, 103.11, 103.11, 1377895, 0.0
2020-07-01, 105.4, 106.28, 103.94, 104.65, 1931841, 0.0
2020-07-05, 106.74, 108.87, 106.01, 107.73, 1285071, 0.0
2020-07-06, 107.29, 107.87, 104.8, 105, 1976887, 0.0
2020-07-07, 104.96, 105.395, 102.53, 103.99, 4295259, 0.0
2020-07-08, 103.82, 109.34, 101.6, 107.54, 4955063, 0.0
2020-07-09, 108.6, 108.6, 105.22, 106.61, 1695530, 0.0
2020-07-12, 108.72, 110.1225, 104.46, 104.53, 2658436, 0.0
2020-07-13, 103.88, 107.85, 103.31, 107.58, 3164494, 0.0
2020-07-14, 108.37, 108.845, 106.71, 107.88, 1473502, 0.0
2020-07-15, 106.14, 106.84, 105.02, 105.71, 1544715, 0.0
2020-07-16, 106.47, 107.11, 105.23, 105.67, 1781511, 0.0
2020-07-19, 106.1, 107.91, 104.985, 107.75, 1759028, 0.0
2020-07-20, 107.74, 108.65, 106.38, 106.69, 1591931, 0.0
2020-07-21, 107.14, 107.39, 104.37, 104.49, 2098524, 0.0
2020-07-22, 104.39, 104.93, 101.2, 101.56, 1583788, 0.0
2020-07-23, 100.6635, 102.56, 99.331, 100.21, 2210027, 0.0
2020-07-26, 101.81, 104.37, 101.25, 103.08, 2565939, 0.0
2020-07-27, 102.56, 102.56, 100.07, 100.53, 1340067, 0.0
2020-07-28, 101, 103.19, 100.685, 102.8, 1425714, 0.0
2020-07-29, 100.52, 102.38, 99.75, 102.21, 1903091, 0.0
2020-07-30, 102.19, 102.65, 100.42, 101.72, 1318537, 0.0
2020-08-02, 102.51, 105.16, 102.27, 104.845, 1242457, 0.0
2020-08-03, 104.22, 107.65, 104.19, 107.31, 2278955, 0.0
2020-08-04, 100.0744, 100.76, 97.86, 98.5, 7033687, 0.0
2020-08-05, 98.01, 99.19, 97.51, 99.19, 2047384, 0.0
2020-08-06, 99.18, 99.7984, 97.665, 98.97, 2008715, 0.0
2020-08-09, 99.135, 100.3334, 98.44, 100.26, 1475236, 0.0
2020-08-10, 100.6, 103.15, 100.48, 100.64, 2275162, 0.0
2020-08-11, 101.86, 102.42, 101.04, 102.09, 1467781, 0.0
2020-08-12, 102.29, 102.31, 100.1, 100.58, 1668711, 0.0
2020-08-13, 100.39, 101.07, 99.93, 100.2, 972043, 0.0
2020-08-16, 100.6, 103.58, 100.44, 103.36, 1813919, 0.0
2020-08-17, 103.91, 107.66, 103.53, 107.26, 5457243, 0.0
2020-08-18, 107.67, 110.99, 107.01, 108.11, 4928708, 0.0
2020-08-19, 106.53, 107.35, 104.18, 104.93, 1896243, 0.0
2020-08-20, 104.6, 108.385, 103.493, 107.94, 3684627, 0.0
2020-08-23, 108.39, 109.42, 105.34, 107.38, 1925050, 0.0
2020-08-24, 107.5, 109.19, 107.21, 108.99, 1265971, 0.0
2020-08-25, 107.82, 108.61, 107.1255, 107.62, 1277830, 0.0
2020-08-26, 109.32, 109.32, 106.41, 107.44, 1160328, 0.0
2020-08-27, 107.7, 110.55, 107.46, 110.53, 1018929, 0.0
2020-08-30, 110, 110.44, 109.15, 109.66, 1407900, 0.0
2020-08-31, 109.92, 112.39, 109.21, 112.37, 1418492, 0.0
2020-09-01, 113, 115.105, 111.5, 114.7, 2080925, 0.0
2020-09-02, 113.37, 113.431, 108.22, 109.01, 1941549, 0.0
