Date, Open, High, Low, Close, Volume, OI
2020-06-10, 52.61, 52.76, 50.49, 50.525, 14345182, 0.0
2020-06-11, 51.5, 51.63, 50.74, 50.76, 984870, 0.0
2020-06-14, 50.76, 51.27, 50.015, 51.22, 3934303, 0.0
2020-06-15, 52.69, 52.82, 51.67, 52.591, 6766828, 0.0
2020-06-16, 52.44, 53.275, 52.43, 52.72, 4303822, 0.0
2020-06-17, 52.37, 53.15, 52.37, 53.1, 7660008, 0.0
2020-06-18, 53.7, 53.78, 52.3993, 52.56, 11712274, 0.0
2020-06-21, 52.3, 52.605, 51.91, 52.35, 2869001, 0.0
2020-06-22, 52.6, 52.6, 51.825, 51.93, 3000982, 0.0
2020-06-23, 51.61, 51.61, 50.3, 50.65, 4993466, 0.0
2020-06-24, 50.58, 50.96, 50.07, 50.83, 4205410, 0.0
2020-06-25, 50.71, 51.16, 49.92, 50.08, 5756541, 0.0
2020-06-28, 50.44, 50.72, 50, 50.59, 3212584, 0.0
2020-06-29, 50.7, 51.225, 50.54, 51.11, 3385424, 0.0
2020-06-30, 51.06, 51.33, 50.885, 51.08, 4392889, 0.0
2020-07-01, 51.17, 52.05, 51.17, 51.5, 3370082, 0.0
2020-07-05, 51.72, 52.08, 51.2, 51.61, 3504259, 0.0
2020-07-06, 51.36, 51.74, 51.29, 51.51, 4230551, 0.0
2020-07-07, 51.37, 51.49, 50.9, 51.25, 2944296, 0.0
2020-07-08, 51.13, 51.2, 50, 50.25, 3894224, 0.0
2020-07-09, 50.6, 51.52, 50.31, 51.45, 4305308, 0.0
2020-07-12, 51.97, 52.2, 51.51, 51.68, 5172592, 0.0
2020-07-13, 51.3, 53.025, 51.3, 52.86, 5979694, 0.0
2020-07-14, 53.35, 53.54, 52.36, 52.57, 6825594, 0.0
2020-07-15, 52.57, 53.44, 52.511, 53.055, 4332484, 0.0
2020-07-16, 53.43, 54.335, 53.14, 54.07, 5055165, 0.0
2020-07-19, 54, 54.07, 53.255, 53.41, 3941966, 0.0
2020-07-20, 53.4525, 54.8, 53.44, 54.04, 4852701, 0.0
2020-07-21, 54.1, 54.65, 53.82, 54.55, 3941650, 0.0
2020-07-22, 54.94, 55.18, 54.69, 54.88, 3475957, 0.0
2020-07-23, 55.35, 55.63, 54.54, 54.87, 4699740, 0.0
2020-07-26, 54.85, 55.63, 54.55, 55.58, 4336932, 0.0
2020-07-27, 55.55, 56, 55.46, 55.73, 5469611, 0.0
2020-07-28, 57.255, 57.7, 55.92, 56.79, 8794656, 0.0
2020-07-29, 56.1507, 56.38, 55.695, 55.77, 7167436, 0.0
2020-07-30, 55.39, 55.68, 54.565, 55.48, 5429044, 0.0
2020-08-02, 55.6, 55.955, 55.36, 55.48, 2638352, 0.0
2020-08-03, 55.33, 55.84, 54.97, 55.58, 3544903, 0.0
2020-08-04, 55.37, 55.69, 55.095, 55.14, 3671513, 0.0
2020-08-05, 54.4, 55.53, 54.4, 55.48, 5420761, 0.0
2020-08-06, 55.46, 55.69, 55.28, 55.6, 4264157, 0.0
2020-08-09, 55.61, 55.6987, 55.215, 55.5, 2913872, 0.0
2020-08-10, 55.7, 55.89, 55.055, 55.2, 4070725, 0.0
2020-08-11, 55.05, 56.41, 55.03, 56.03, 5934210, 0.0
2020-08-12, 56.19, 56.35, 55.86, 56.01, 3244430, 0.0
2020-08-13, 56.09, 56.42, 55.87, 56.12, 2695471, 0.0
2020-08-16, 55.99, 56.685, 55.855, 56.53, 4093148, 0.0
2020-08-17, 56.58, 57.34, 56.425, 57.29, 6074871, 0.0
2020-08-18, 57.17, 57.33, 56.66, 56.8, 5783596, 0.0
2020-08-19, 56.4, 57.27, 56.251, 57.23, 4221259, 0.0
2020-08-20, 57.03, 57.725, 57.03, 57.47, 5652598, 0.0
2020-08-23, 57.44, 58, 57.39, 57.98, 3401840, 0.0
2020-08-24, 58.01, 58.24, 57.63, 57.88, 4232797, 0.0
2020-08-25, 57.85, 58.4, 57.54, 58.355, 3973559, 0.0
2020-08-26, 58.64, 58.87, 58.06, 58.14, 3599181, 0.0
2020-08-27, 58, 58.355, 57.51, 58.32, 2585503, 0.0
2020-08-30, 58.2, 58.8, 58.03, 58.418, 4240572, 0.0
2020-08-31, 58.4, 58.43, 57.592, 58.2, 4325224, 0.0
2020-09-01, 58.17, 59.25, 58.01, 59.01, 4513776, 0.0
2020-09-02, 59.03, 59.72, 57.42, 57.83, 6918105, 0.0
