Date, Open, High, Low, Close, Volume, OI
2020-06-10, 873.62, 889.87, 845.86, 854.91, 841536, 0.0
2020-06-11, 874.43, 886.6, 870.3401, 878.34, 216637, 0.0
2020-06-14, 885.86, 940.38, 877.02, 924, 525331, 0.0
2020-06-15, 958.02, 964.84, 923.25, 950.27, 471651, 0.0
2020-06-16, 960.31, 967.27, 928.66, 935.21, 434227, 0.0
2020-06-17, 930, 937.57, 922.09, 924.86, 728273, 0.0
2020-06-18, 929.19, 961.99, 922.5, 954.25, 786698, 0.0
2020-06-21, 953.94, 989, 953.005, 986.56, 464173, 0.0
2020-06-22, 995.3, 998.11, 976.38, 977.9, 335533, 0.0
2020-06-23, 978.34, 988.52, 942, 954.52, 421100, 0.0
2020-06-24, 950.35, 972.945, 944.35, 969.28, 215049, 0.0
2020-06-25, 974.51, 985.03, 952.62, 975, 415693, 0.0
2020-06-28, 970.3, 987, 949.98, 980.51, 287617, 0.0
2020-06-29, 982, 989.9899, 971.01, 985.43, 247743, 0.0
2020-06-30, 985, 993.05, 968.83, 977.23, 457186, 0.0
2020-07-01, 991.91, 997.99, 982.6, 988.42, 239880, 0.0
2020-07-05, 1001.93, 1035.58, 990, 996.2201, 540976, 0.0
2020-07-06, 1000.58, 1023.48, 986.9, 1007, 377040, 0.0
2020-07-07, 1020.75, 1020.98, 1001.44, 1013.34, 312508, 0.0
2020-07-08, 1026.26, 1026.26, 991.8209, 1018.41, 378575, 0.0
2020-07-09, 1020, 1035.85, 1001.61, 1035.84, 250536, 0.0
2020-07-12, 1058.01, 1125, 979.82, 982.78, 497431, 0.0
2020-07-13, 972.14, 1000, 950.405, 972.75, 589512, 0.0
2020-07-14, 978.28, 987.18, 956.805, 971.25, 426266, 0.0
2020-07-15, 959.66, 965.72, 945.79, 957.4, 260704, 0.0
2020-07-16, 964.62, 972.95, 941.44, 963.93, 276017, 0.0
2020-07-19, 980.34, 1029.93, 975, 1024.3, 376980, 0.0
2020-07-20, 1059.99, 1059.99, 1013.3889, 1019.99, 334702, 0.0
2020-07-21, 1029.15, 1046.8, 1003.83, 1018.6476, 273670, 0.0
2020-07-22, 1018.45, 1034.225, 977.21, 982.18, 213006, 0.0
2020-07-23, 968.03, 1002.47, 952.22, 990, 422216, 0.0
2020-07-26, 1004.48, 1081.74, 996, 1069.35, 514345, 0.0
2020-07-27, 1063, 1066.3252, 1039.82, 1040, 264151, 0.0
2020-07-28, 1060.68, 1095.345, 1053.75, 1085.96, 437098, 0.0
2020-07-29, 1085.55, 1131.8868, 1074.085, 1107.4, 707469, 0.0
2020-07-30, 1147.11, 1150.8239, 1085.15, 1123.96, 659042, 0.0
2020-08-02, 1124.99, 1181.99, 1124.99, 1171.96, 377038, 0.0
2020-08-03, 1170.72, 1175, 1151.12, 1173.79, 352091, 0.0
2020-08-04, 1186.72, 1234.2699, 1181.605, 1225.01, 585354, 0.0
2020-08-05, 1235.34, 1248.22, 1200.1531, 1219.675, 347291, 0.0
2020-08-06, 1218, 1235, 1162.315, 1192.54, 798082, 0.0
2020-08-09, 1143.73, 1160.76, 1090, 1109.99, 810202, 0.0
2020-08-10, 1137.99, 1146, 1097.72, 1099.55, 627268, 0.0
2020-08-11, 1117.42, 1138.97, 1101.216, 1110.67, 530216, 0.0
2020-08-12, 1122.51, 1161.823, 1121, 1157.38, 803123, 0.0
2020-08-13, 1171.65, 1172.495, 1145, 1160, 330094, 0.0
2020-08-16, 1171.76, 1197.59, 1165.01, 1187.11, 377999, 0.0
2020-08-17, 1191, 1221.32, 1180, 1208.54, 304457, 0.0
2020-08-18, 1213.78, 1229.72, 1198, 1212.42, 350555, 0.0
2020-08-19, 1200.02, 1221.08, 1195.53, 1215.47, 185553, 0.0
2020-08-20, 1211, 1221.06, 1200, 1202.23, 227973, 0.0
2020-08-23, 1217, 1231.59, 1198.6638, 1210.74, 235335, 0.0
2020-08-24, 1210.38, 1233.99, 1200.3, 1224.37, 237240, 0.0
2020-08-25, 1230.06, 1244.15, 1208.205, 1214.37, 410772, 0.0
2020-08-26, 1224.73, 1225.08, 1199, 1201.39, 216117, 0.0
2020-08-27, 1208.01, 1220.06, 1172.8608, 1177.64, 546404, 0.0
2020-08-30, 1174.75, 1176.303, 1128.56, 1168.58, 616364, 0.0
2020-08-31, 1200, 1222.682, 1195.63, 1210.84, 624229, 0.0
2020-09-01, 1221.11, 1225, 1171.6257, 1195.97, 549307, 0.0
2020-09-02, 1168.48, 1177.38, 1067.92, 1088.04, 1024721, 0.0
