Date, Open, High, Low, Close, Volume, OI
2020-06-10, 69.77, 70.38, 67.53, 67.79, 3179306, 0.0
2020-06-11, 68.77, 69.29, 68.13, 68.5887, 335627, 0.0
2020-06-14, 67.19, 68.86, 66.62, 68.84, 1315858, 0.0
2020-06-15, 70.43, 70.5, 68.47, 69.48, 1314533, 0.0
2020-06-16, 69.95, 70.46, 69.33, 69.56, 1232938, 0.0
2020-06-17, 69.51, 70.1, 69.2, 69.75, 2457599, 0.0
2020-06-18, 70.69, 70.95, 69.43, 70.07, 4220576, 0.0
2020-06-21, 69.54, 70.86, 69.44, 70.28, 1349020, 0.0
2020-06-22, 70.86, 71.04, 69.99, 70.18, 1202235, 0.0
2020-06-23, 69.55, 70.13, 67.87, 68.03, 1594166, 0.0
2020-06-24, 68.08, 69.14, 67.37, 69.06, 1344012, 0.0
2020-06-25, 69.2, 69.3769, 67.69, 67.88, 1264151, 0.0
2020-06-28, 68.39, 69.26, 67.93, 69.12, 1220883, 0.0
2020-06-29, 69.09, 69.51, 68.58, 69.26, 1286857, 0.0
2020-06-30, 69.33, 69.97, 68.84, 69.03, 925242, 0.0
2020-07-01, 69.62, 69.94, 69.1, 69.3, 1175798, 0.0
2020-07-05, 70.27, 71.35, 69.97, 71.3, 2180093, 0.0
2020-07-06, 70.8, 72.925, 70.65, 71.66, 2064038, 0.0
2020-07-07, 72.11, 72.82, 71.22, 71.77, 1275932, 0.0
2020-07-08, 71.65, 72.04, 70.52, 71.02, 1116709, 0.0
2020-07-09, 71.08, 71.67, 70.11, 71.66, 938587, 0.0
2020-07-12, 72.49, 72.49, 70.24, 70.56, 1755855, 0.0
2020-07-13, 69.77, 71.75, 69.54, 71.58, 1768161, 0.0
2020-07-14, 71.87, 72.59, 71, 72.14, 1790675, 0.0
2020-07-15, 71.79, 72.64, 71.61, 72.54, 1141882, 0.0
2020-07-16, 73.3, 74.62, 72.425, 74.22, 3560876, 0.0
2020-07-19, 74.5, 74.95, 73.59, 73.86, 1510040, 0.0
2020-07-20, 74.5, 75.76, 74.35, 75.02, 2059939, 0.0
2020-07-21, 75.41, 76.09, 75.34, 75.76, 1885648, 0.0
2020-07-22, 76.16, 76.5, 74.8, 74.93, 1123163, 0.0
2020-07-23, 75.06, 75.49, 74.59, 74.89, 1383494, 0.0
2020-07-26, 75.29, 76.73, 75.27, 76.41, 1457371, 0.0
2020-07-27, 76.93, 77.02, 75.93, 76.19, 1511191, 0.0
2020-07-28, 76.22, 77.51, 75.81, 77.36, 1228753, 0.0
2020-07-29, 76.73, 78, 76.0144, 77.83, 1915478, 0.0
2020-07-30, 77.76, 78.48, 76.81, 78.48, 1698909, 0.0
2020-08-02, 78.69, 78.79, 77.15, 77.86, 1083578, 0.0
2020-08-03, 77.48, 78.25, 77.21, 78.04, 2261587, 0.0
2020-08-04, 82.03, 83.96, 81.31, 83.1, 3293318, 0.0
2020-08-05, 82.98, 83.825, 82.62, 83.51, 1968111, 0.0
2020-08-06, 82.95, 83.84, 82.42, 83.1704, 1478761, 0.0
2020-08-09, 83.03, 83.06, 81.5762, 82.01, 986481, 0.0
2020-08-10, 82.28, 82.44, 80.15, 80.61, 2128824, 0.0
2020-08-11, 81.24, 83.07, 81.24, 82.67, 1762956, 0.0
2020-08-12, 83, 83.975, 82.79, 83.82, 1681507, 0.0
2020-08-13, 83.49, 83.88, 82.88, 83.31, 1045655, 0.0
2020-08-16, 83.34, 83.91, 83.285, 83.47, 947674, 0.0
2020-08-17, 83.44, 83.83, 82.6, 82.98, 1118120, 0.0
2020-08-18, 82.78, 83.58, 82.35, 82.66, 906181, 0.0
2020-08-19, 82.19, 83.18, 81.91, 83, 755465, 0.0
2020-08-20, 82.76, 83.025, 81.82, 82.69, 1008043, 0.0
2020-08-23, 82.98, 83.7, 82.54, 83.7, 971347, 0.0
2020-08-24, 84.05, 84.56, 83.19, 83.97, 895453, 0.0
2020-08-25, 83.7, 84.09, 83.02, 83.96, 1039181, 0.0
2020-08-26, 84, 84.19, 82.79, 83.34, 1113658, 0.0
2020-08-27, 83.75, 84.64, 83.06, 84.53, 1149101, 0.0
2020-08-30, 84.42, 84.97, 83.24, 83.85, 1888294, 0.0
2020-08-31, 83.78, 84.86, 83.47, 84.86, 1469867, 0.0
2020-09-01, 85, 87.05, 84.945, 86.5, 1970758, 0.0
2020-09-02, 86.78, 86.81, 81.97, 82.69, 2208335, 0.0
