Date, Open, High, Low, Close, Volume, OI
2020-06-10, 62.95, 66.6867, 58.77, 60.22, 59190390, 0.0
2020-06-11, 62.355, 63.63, 60.91, 61.165, 5528571, 0.0
2020-06-14, 65.9, 66.98, 63.424, 66.57, 18210514, 0.0
2020-06-15, 66.31, 66.6, 62.6, 64.34, 15788129, 0.0
2020-06-16, 63.6, 65.88, 62.58, 63.32, 10589049, 0.0
2020-06-17, 63.03, 65.4, 62.58, 64.94, 16831564, 0.0
2020-06-18, 64.99, 66.45, 64.01, 66.38, 17668790, 0.0
2020-06-21, 65.92, 66.29, 62.12, 64.785, 11182622, 0.0
2020-06-22, 64.1, 65.08, 62.74, 62.92, 10006365, 0.0
2020-06-23, 63.23, 66.1559, 63.14, 64.84, 14107274, 0.0
2020-06-24, 67, 67, 58.51, 62, 26156406, 0.0
2020-06-25, 60.71, 62.29, 59.14, 61.27, 10230070, 0.0
2020-06-28, 61.82, 63, 59.4, 62.1, 7840255, 0.0
2020-06-29, 62.18, 65.159, 61.8, 64.26, 11430191, 0.0
2020-06-30, 63, 63.73, 59.12, 61.5926, 17692487, 0.0
2020-07-01, 60, 61.8, 55.8097, 58.5699, 26362042, 0.0
2020-07-05, 58.55, 60.73, 57.1, 59.14, 8730019, 0.0
2020-07-06, 58.8, 61.5, 57.44, 61.09, 8597733, 0.0
2020-07-07, 60.79, 62.46, 59.45, 61.58, 7396342, 0.0
2020-07-08, 62.09, 65.35, 58.88, 64.92, 20362095, 0.0
2020-07-09, 64.65, 64.93, 62.32, 62.59, 6792206, 0.0
2020-07-12, 63.89, 77.7499, 63.8, 71.72, 55882816, 0.0
2020-07-13, 74, 76.9486, 70.6201, 75.04, 27216851, 0.0
2020-07-14, 87.52, 88.37, 78.01, 80.23, 83755539, 0.0
2020-07-15, 80.1598, 84.2899, 79.6, 81.73, 25932627, 0.0
2020-07-16, 83.35, 95.21, 82.61, 94.99, 91935592, 0.0
2020-07-19, 87.86, 90.85, 78.05, 82.65, 71684448, 0.0
2020-07-20, 80.91, 82.43, 79.07, 80.9, 25252037, 0.0
2020-07-21, 79.61, 84.12, 79.11, 83.23, 26513753, 0.0
2020-07-22, 82.05, 82.68, 74.9, 75.34, 18508107, 0.0
2020-07-23, 69.05, 73.9, 66.54, 73.21, 26606475, 0.0
2020-07-26, 80.63, 80.98, 76.16, 79.91, 41630875, 0.0
2020-07-27, 81, 83.85, 79.5, 81.49, 31259095, 0.0
2020-07-28, 81.98, 82.82, 76.5502, 79.51, 24039626, 0.0
2020-07-29, 78, 79.25, 76.8, 77.6, 12537000, 0.0
2020-07-30, 78.2, 78.44, 73.6038, 74.1, 13781899, 0.0
2020-08-02, 74.98, 77.99, 73.03, 77.9404, 9791283, 0.0
2020-08-03, 78.192, 78.62, 75.5, 78.49, 9146510, 0.0
2020-08-04, 77.49, 77.49, 73.69, 75.76, 18674649, 0.0
2020-08-05, 75.79, 76.25, 73.12, 73.76, 11442419, 0.0
2020-08-06, 74.38, 75.39, 73.01, 74.05, 8418390, 0.0
2020-08-09, 73.2915, 73.37, 71.41, 72.0282, 7056852, 0.0
2020-08-10, 69.52, 71.4, 67, 68.96, 14240638, 0.0
2020-08-11, 75.67, 75.75, 68.3, 69.52, 47228871, 0.0
2020-08-12, 69.09, 69.18, 67.05, 67.84, 14410071, 0.0
2020-08-13, 68.06, 70.36, 67.86, 69.15, 12432549, 0.0
2020-08-16, 69.14, 70.78, 68.38, 69.75, 8435856, 0.0
2020-08-17, 68.28, 69.7, 65.23, 67.085, 11042068, 0.0
2020-08-18, 66.74, 69.17, 66.6, 68, 8257263, 0.0
2020-08-19, 67.79, 68, 66.63, 67.84, 6197491, 0.0
2020-08-20, 67.5, 68.02, 65.6, 66.49, 6729052, 0.0
2020-08-23, 67.15, 67.85, 62.88, 64.88, 12364492, 0.0
2020-08-24, 64.32, 66.696, 63.55, 66.25, 7418985, 0.0
2020-08-25, 67.62, 71.64, 66.03, 70.5, 28166750, 0.0
2020-08-26, 69.98, 70.32, 67.01, 68.02, 9003545, 0.0
2020-08-27, 68.04, 68.95, 67.15, 67.434, 6031559, 0.0
2020-08-30, 67.14, 67.2, 62.54, 64.93, 14438331, 0.0
2020-08-31, 63.54, 64.5, 62.5, 63.31, 7796327, 0.0
2020-09-01, 62.84, 64.89, 61.3805, 64.72, 9512057, 0.0
2020-09-02, 65.65, 69.35, 64.3, 64.84, 13733050, 0.0
