Date, Open, High, Low, Close, Volume, OI
2020-06-10, 50.42, 51.085, 48.195, 48.565, 54017546, 0.0
2020-06-11, 50.285, 50.48, 48.46, 48.48, 7040249, 0.0
2020-06-14, 47.36, 49.73, 47.1, 49.25, 16045687, 0.0
2020-06-15, 51.16, 52.15, 49.86, 51.02, 17899557, 0.0
2020-06-16, 51.3, 51.51, 50.535, 50.97, 12279497, 0.0
2020-06-17, 50.5, 51.04, 50.02, 50.48, 22282715, 0.0
2020-06-18, 51.16, 52.75, 50.785, 50.83, 43324087, 0.0
2020-06-21, 51.1, 51.4, 50.24, 51.15, 14002404, 0.0
2020-06-22, 50.69, 50.89, 49.5683, 49.84, 20996640, 0.0
2020-06-23, 49.65, 50.1, 48.02, 48.3, 17982224, 0.0
2020-06-24, 48.2404, 49.31, 47.275, 49.2, 13872930, 0.0
2020-06-25, 49.15, 49.35, 48.14, 48.5, 13920325, 0.0
2020-06-28, 48.69, 49.15, 47.58, 49.15, 18223201, 0.0
2020-06-29, 51.78, 52.47, 50.97, 51.49, 45068641, 0.0
2020-06-30, 51.52, 51.555, 49.61, 49.7, 23859859, 0.0
2020-07-01, 50.5, 50.75, 49.48, 49.83, 17243343, 0.0
2020-07-05, 50.75, 51.43, 50.48, 50.92, 14776754, 0.0
2020-07-06, 50.52, 50.57, 49.01, 49.09, 18032621, 0.0
2020-07-07, 49.56, 49.75, 48.96, 49.71, 13767789, 0.0
2020-07-08, 49.85, 50.39, 48.73, 49.98, 17363408, 0.0
2020-07-09, 50.01, 50.71, 49.4, 50.7, 16388708, 0.0
2020-07-12, 51.31, 52.283, 49.38, 49.47, 21704147, 0.0
2020-07-13, 49.08, 49.79, 47.95, 49.71, 16319867, 0.0
2020-07-14, 50.21, 50.65, 49.405, 50.53, 14574100, 0.0
2020-07-15, 49.82, 50.285, 49.23, 50.035, 11790954, 0.0
2020-07-16, 50.3066, 50.43, 49.28, 49.47, 13541695, 0.0
2020-07-19, 49.66, 51.32, 49.535, 51.2, 14621298, 0.0
2020-07-20, 51.62, 52.66, 51.23, 51.53, 15623927, 0.0
2020-07-21, 51.58, 51.77, 51.02, 51.64, 10650106, 0.0
2020-07-22, 51.74, 54.2, 51.57, 52.62, 25128988, 0.0
2020-07-23, 51.28, 51.28, 49.65, 50.03, 24116955, 0.0
2020-07-26, 50.6, 51.71, 50.49, 51.6, 14769583, 0.0
2020-07-27, 51.26, 51.27, 50.04, 50.1, 14434903, 0.0
2020-07-28, 50.39, 50.63, 49.78, 50.39, 13952314, 0.0
2020-07-29, 49.74, 50.75, 49.11, 50.74, 16506675, 0.0
2020-07-30, 50.62, 50.7, 49.26, 50.055, 16403555, 0.0
2020-08-02, 50.39, 50.6246, 50.02, 50.38, 10682702, 0.0
2020-08-03, 50.35, 51.48, 50.29, 51.33, 14414584, 0.0
2020-08-04, 51.09, 51.28, 50.63, 51.0499, 11469714, 0.0
2020-08-05, 50, 50.03, 48.32, 48.7, 31391575, 0.0
2020-08-06, 48.69, 49.1792, 48.05, 48.75, 12326333, 0.0
2020-08-09, 48.89, 49.665, 48.265, 49.14, 11800863, 0.0
2020-08-10, 49.01, 49.74, 47.6317, 47.76, 18737590, 0.0
2020-08-11, 48.38, 48.73, 47.66, 48.47, 15790290, 0.0
2020-08-12, 47.16, 47.23, 45.93, 46.13, 39288125, 0.0
2020-08-13, 45.6, 46.0794, 45.2975, 45.58, 17095803, 0.0
2020-08-16, 45.9, 45.94, 44.74, 45.22, 15626699, 0.0
2020-08-17, 45.06, 45.16, 44.05, 44.4, 19594978, 0.0
2020-08-18, 44.3, 44.7, 43.85, 44.05, 17392859, 0.0
2020-08-19, 42.68, 43.655, 42.25, 42.99, 21114023, 0.0
2020-08-20, 42.85, 43.06, 42.4, 42.66, 13709793, 0.0
2020-08-23, 43.12, 43.815, 42.8917, 43.76, 13372343, 0.0
2020-08-24, 44.88, 45.5399, 44.6, 45.09, 20239336, 0.0
2020-08-25, 45.6, 45.82, 44.685, 44.95, 14405563, 0.0
2020-08-26, 44.55, 44.83, 43.67, 44.62, 13159428, 0.0
2020-08-27, 44.62, 45.7883, 44.405, 45.69, 11975684, 0.0
2020-08-30, 45.35, 45.82, 45.14, 45.4985, 11859644, 0.0
2020-08-31, 45.53, 45.79, 45.055, 45.77, 11841860, 0.0
2020-09-01, 46.425, 48.19, 46.28, 47.8, 23428932, 0.0
2020-09-02, 47.7597, 47.83, 45.85, 46.34, 18955512, 0.0
