Date, Open, High, Low, Close, Volume, OI
2020-06-10, 59.5, 59.775, 56.92, 57.03, 4568358, 0.0
2020-06-11, 58.6, 58.91, 57.45, 57.47, 472730, 0.0
2020-06-14, 56.22, 58.29, 55.9346, 58.28, 1706541, 0.0
2020-06-15, 60, 60.97, 58.98, 59.88, 2242384, 0.0
2020-06-16, 60.42, 60.9, 59.86, 60.32, 1593836, 0.0
2020-06-17, 60.39, 60.76, 60.04, 60.56, 2848751, 0.0
2020-06-18, 61.41, 61.48, 59.99, 60.44, 4166637, 0.0
2020-06-21, 60.07, 60.75, 59.09, 60.59, 1124916, 0.0
2020-06-22, 61.25, 62.19, 61.125, 61.52, 1744127, 0.0
2020-06-23, 61.28, 61.58, 59.78, 59.9, 1606003, 0.0
2020-06-24, 59.68, 60.31, 58.97, 60.17, 1610925, 0.0
2020-06-25, 59.88, 60.18, 58.94, 59.2, 1482338, 0.0
2020-06-28, 59.29, 59.765, 58.61, 59.595, 1261618, 0.0
2020-06-29, 59.79, 60.88, 59.49, 60.58, 1685972, 0.0
2020-06-30, 60.44, 60.53, 59.65, 59.67, 1074023, 0.0
2020-07-01, 60.22, 60.98, 60.22, 60.41, 1161066, 0.0
2020-07-05, 61.7, 62.1975, 61.24, 61.98, 1752964, 0.0
2020-07-06, 61.71, 62.165, 61.38, 61.52, 1734815, 0.0
2020-07-07, 62.04, 62.3, 61.175, 62.08, 2125356, 0.0
2020-07-08, 62.3, 65.01, 62, 64.47, 3232360, 0.0
2020-07-09, 64.48, 64.72, 63.29, 64.09, 1752489, 0.0
2020-07-12, 72.46, 73.52, 69.05, 69.3, 21762621, 0.0
2020-07-13, 67.52, 70.14, 67.38, 69.93, 8829406, 0.0
2020-07-14, 70.44, 71.01, 69.75, 70.47, 4165445, 0.0
2020-07-15, 69.6, 69.98, 69.07, 69.425, 5282451, 0.0
2020-07-16, 69.72, 70.39, 69.53, 70.04, 2140676, 0.0
2020-07-19, 70, 71.58, 69.56, 71.39, 2805438, 0.0
2020-07-20, 71.11, 71.45, 68.73, 69.04, 3585687, 0.0
2020-07-21, 69.23, 69.53, 68.59, 68.93, 3785438, 0.0
2020-07-22, 68.83, 68.95, 67.28, 67.45, 2757348, 0.0
2020-07-23, 67.4, 68.21, 66.591, 67.13, 3337758, 0.0
2020-07-26, 67.41, 69.26, 67.33, 68.94, 4578424, 0.0
2020-07-27, 68.58, 69.23, 67.76, 69.02, 3523128, 0.0
2020-07-28, 68.69, 70.17, 68.69, 69.9, 3024669, 0.0
2020-07-29, 68.65, 69.25, 67.9, 69.02, 3061346, 0.0
2020-07-30, 69.06, 69.15, 67.01, 68.085, 3550876, 0.0
2020-08-02, 68.53, 69.15, 68.21, 68.88, 2517552, 0.0
2020-08-03, 68.8, 69.86, 68.7, 69.1518, 4783560, 0.0
2020-08-04, 68.93, 69.05, 67.97, 68.89, 2852751, 0.0
2020-08-05, 68.37, 69.45, 68.335, 69.11, 2045265, 0.0
2020-08-06, 68.72, 69.524, 68.32, 68.7, 2595174, 0.0
2020-08-09, 68.84, 69.41, 68.26, 68.96, 2349352, 0.0
2020-08-10, 68.83, 70.69, 68.61, 68.77, 3496228, 0.0
2020-08-11, 69.06, 70.66, 68.96, 70.09, 3536091, 0.0
2020-08-12, 69.84, 70.13, 69.06, 69.39, 2967319, 0.0
2020-08-13, 69.62, 69.864, 68.56, 68.59, 2327531, 0.0
2020-08-16, 68.84, 69.33, 68.7, 68.97, 2668856, 0.0
2020-08-17, 68.97, 69.5, 68.71, 68.94, 3885199, 0.0
2020-08-18, 68.81, 69.79, 68.61, 68.96, 3204646, 0.0
2020-08-19, 68.82, 69.35, 68.39, 68.995, 2125419, 0.0
2020-08-20, 68.76, 68.88, 68.08, 68.5, 1459730, 0.0
2020-08-23, 69.04, 69.33, 68.44, 69.1, 1241873, 0.0
2020-08-24, 68.96, 70.88, 68.95, 70.82, 1833162, 0.0
2020-08-25, 70, 70.88, 69.58, 70.31, 3223217, 0.0
2020-08-26, 70.94, 70.94, 69.34, 70.05, 1761812, 0.0
2020-08-27, 69.86, 70.39, 69.62, 70.22, 1812135, 0.0
2020-08-30, 69.45, 69.9, 68.2, 68.37, 3597907, 0.0
2020-08-31, 68.73, 69.37, 68.23, 69.35, 1950878, 0.0
2020-09-01, 69.74, 71.37, 69.47, 70.715, 4921163, 0.0
2020-09-02, 70.49, 70.49, 68.09, 68.55, 4691018, 0.0
