Date, Open, High, Low, Close, Volume, OI
2020-06-10, 428.2, 445.57, 424.1601, 425.25, 13330626, 0.0
2020-06-11, 429, 434.06, 423.04, 423.11, 1491300, 0.0
2020-06-14, 421.4, 426.49, 415.4238, 425.63, 3742202, 0.0
2020-06-15, 425.76, 437.96, 425.18, 436.14, 4801834, 0.0
2020-06-16, 441.82, 450.46, 439.22, 447.77, 5558962, 0.0
2020-06-17, 448.73, 452.76, 442.8, 449.71, 7790596, 0.0
2020-06-18, 449.12, 453.97, 445.6, 453.3961, 8588759, 0.0
2020-06-21, 455.01, 468.59, 454.21, 468.08, 5774011, 0.0
2020-06-22, 466.5, 474.01, 464.5, 465.94, 5089073, 0.0
2020-06-23, 468.54, 472.36, 454, 457.65, 4411545, 0.0
2020-06-24, 458.86, 467.01, 454, 466.14, 3573784, 0.0
2020-06-25, 466.39, 468.03, 442.24, 443.39, 5748408, 0.0
2020-06-28, 445.23, 447.67, 432.14, 447.42, 3981095, 0.0
2020-06-29, 450.02, 457.59, 447, 454.75, 3510310, 0.0
2020-06-30, 454, 488.23, 454, 485.58, 9186237, 0.0
2020-07-01, 485.64, 492.28, 475.5258, 477.22, 5986249, 0.0
2020-07-05, 480.77, 499.5, 479.8, 493.81, 7335742, 0.0
2020-07-06, 497.3105, 504.82, 490.83, 493.05, 5386598, 0.0
2020-07-07, 498.5755, 505.1, 493.81, 502.68, 5299138, 0.0
2020-07-08, 508.4, 510, 495.78, 507.62, 5478061, 0.0
2020-07-09, 519.73, 555.8799, 511.28, 548.7, 20937484, 0.0
2020-07-12, 567.98, 575.37, 520.96, 525.5, 17158906, 0.0
2020-07-13, 517.08, 525.5, 490.49, 525.12, 14428338, 0.0
2020-07-14, 516.3, 529, 510.18, 523.45, 9648810, 0.0
2020-07-15, 526.48, 535.54, 504.3627, 526.1, 18355429, 0.0
2020-07-16, 494.87, 503.59, 484.14, 493.18, 23341613, 0.0
2020-07-19, 489.14, 504.5, 484.2001, 502.35, 11299608, 0.0
2020-07-20, 506, 506.22, 488.61, 490.1, 8595439, 0.0
2020-07-21, 492.19, 497.2, 487.2, 489.63, 6226091, 0.0
2020-07-22, 491.13, 491.9, 474.77, 477.69, 4473567, 0.0
2020-07-23, 468.77, 487.17, 467.54, 480.45, 7488414, 0.0
2020-07-26, 484.51, 496.92, 482.31, 495.7, 7363295, 0.0
2020-07-27, 496.02, 497.7927, 487.7601, 488.45, 5481319, 0.0
2020-07-28, 492.25, 494.92, 484.13, 484.48, 5853532, 0.0
2020-07-29, 480.7072, 488.35, 477.5101, 485.69, 6058624, 0.0
2020-07-30, 488.29, 494.8, 484.5, 489.27, 5370995, 0.0
2020-08-02, 490.86, 503.09, 490.23, 498.62, 3955162, 0.0
2020-08-03, 498.65, 510.4436, 498.65, 509.87, 5110171, 0.0
2020-08-04, 508.68, 510.1021, 501.2, 502.11, 3899092, 0.0
2020-08-05, 504.11, 510.82, 498.7, 509.05, 3446502, 0.0
2020-08-06, 505.45, 508.29, 486.68, 494.98, 5673738, 0.0
2020-08-09, 489.665, 490.9999, 478.6269, 483, 3910532, 0.0
2020-08-10, 479.75, 480.92, 466.55, 466.63, 6610608, 0.0
2020-08-11, 471.34, 482.49, 470.18, 475.47, 4893258, 0.0
2020-08-12, 478.4, 484.45, 476.45, 481.23, 2806669, 0.0
2020-08-13, 482.82, 488.325, 480.21, 482.57, 2704864, 0.0
2020-08-16, 484.19, 486.24, 479.1, 482.58, 2093747, 0.0
2020-08-17, 484.35, 495.3, 482.8, 492.1, 3287233, 0.0
2020-08-18, 493.93, 494.4985, 483.5, 484.54, 2851384, 0.0
2020-08-19, 484.69, 498.94, 483.89, 498.26, 5014602, 0.0
2020-08-20, 496.46, 498.13, 490, 492.31, 3410275, 0.0
2020-08-23, 495.4383, 501, 483.16, 488.92, 3712174, 0.0
2020-08-24, 488.19, 492.47, 485.09, 490.58, 4613657, 0.0
2020-08-25, 492.5, 549.04, 492.075, 547.37, 19786489, 0.0
2020-08-26, 537.775, 541, 521.2471, 526.59, 8803813, 0.0
2020-08-27, 532, 539, 522, 523.89, 4116404, 0.0
2020-08-30, 521.16, 531.99, 517.58, 529.05, 4364749, 0.0
2020-08-31, 532.6, 557.3895, 532.45, 556.99, 9170004, 0.0
2020-09-01, 553.78, 556.5, 537.369, 552.85, 5500649, 0.0
2020-09-02, 545, 554, 521.32, 525.75, 8261759, 0.0
