Date, Open, High, Low, Close, Volume, OI
2020-06-10, 411.18, 415.755, 403.4, 410.89, 3638828, 0.0
2020-06-11, 415.55, 418.65, 410.4, 412.805, 461774, 0.0
2020-06-14, 404.98, 415.62, 401.78, 413.21, 895645, 0.0
2020-06-15, 424.31, 424.31, 409.7, 412.24, 838243, 0.0
2020-06-16, 415.9, 417.08, 406.15, 407.67, 952997, 0.0
2020-06-17, 409.55, 414.86, 406.88, 409.3, 932631, 0.0
2020-06-18, 415.99, 418.84, 408.2698, 413.19, 1366722, 0.0
2020-06-21, 416.5, 418.16, 410.06, 418.16, 522341, 0.0
2020-06-22, 425, 437.86, 423.22, 435, 1393390, 0.0
2020-06-23, 437, 441.87, 423.5396, 437.46, 932408, 0.0
2020-06-24, 432.03, 438.6, 428.485, 436.38, 614862, 0.0
2020-06-25, 436.43, 441.8, 433.15, 438.05, 490027, 0.0
2020-06-28, 435.07, 435.07, 426.37, 433.24, 555747, 0.0
2020-06-29, 434.42, 437.78, 426.77, 429.38, 526747, 0.0
2020-06-30, 428.02, 431.77, 425.01, 428.47, 673875, 0.0
2020-07-01, 436.8, 437.69, 429.46, 430.22, 793078, 0.0
2020-07-05, 440.65, 449.22, 436.16, 440.37, 887404, 0.0
2020-07-06, 439.39, 449.69, 437.59, 444.28, 688145, 0.0
2020-07-07, 452.85, 455.985, 448.69, 454.56, 903007, 0.0
2020-07-08, 494.23, 503.27, 478, 483.01, 2038979, 0.0
2020-07-09, 491.01, 492, 473.86, 484.41, 1281221, 0.0
2020-07-12, 485.52, 492.48, 474.435, 477.16, 867757, 0.0
2020-07-13, 461.92, 476.97, 458.85, 476.34, 711436, 0.0
2020-07-14, 480.565, 480.565, 470.94, 472.2, 672039, 0.0
2020-07-15, 457.98, 458.26, 446.5811, 450, 763630, 0.0
2020-07-16, 453.08, 458.54, 451.24, 457.28, 403365, 0.0
2020-07-19, 459.99, 473.905, 457, 470.97, 402384, 0.0
2020-07-20, 479.98, 486.05, 469.05, 472.26, 516492, 0.0
2020-07-21, 467.58, 472.85, 462.12, 465.24, 473916, 0.0
2020-07-22, 465.3, 465.54, 454, 455.24, 285687, 0.0
2020-07-23, 441.45, 448.71, 434.02, 448.63, 711455, 0.0
2020-07-26, 451.79, 455.23, 448.33, 451.51, 510875, 0.0
2020-07-27, 444.1, 457.17, 444.1, 450.5, 322872, 0.0
2020-07-28, 450.28, 457.85, 449.36, 451.92, 519028, 0.0
2020-07-29, 451.08, 454.66, 448.03, 451.23, 400521, 0.0
2020-07-30, 453.94, 459.55, 450.4, 458.42, 406606, 0.0
2020-08-02, 463.93, 471.45, 463.93, 468.98, 360458, 0.0
2020-08-03, 467.17, 479.78, 467.17, 479.78, 451928, 0.0
2020-08-04, 480.12, 487.11, 477.4027, 480.83, 347203, 0.0
2020-08-05, 485.64, 486.97, 478.28, 482.03, 595475, 0.0
2020-08-06, 471, 474.56, 461.3, 466.32, 668173, 0.0
2020-08-09, 459.34, 460.8, 453.32, 456.67, 434727, 0.0
2020-08-10, 460.93, 461.55, 452, 454.73, 415009, 0.0
2020-08-11, 456.08, 476.97, 456.08, 474.53, 477749, 0.0
2020-08-12, 466.8, 470, 451.68, 464.95, 665401, 0.0
2020-08-13, 465.12, 468.1, 458.36, 461.25, 347327, 0.0
2020-08-16, 463.07, 477.31, 462.75, 474.96, 306199, 0.0
2020-08-17, 479.99, 483.6, 477.12, 479.85, 307213, 0.0
2020-08-18, 480, 480.98, 470.27, 475.98, 371198, 0.0
2020-08-19, 474.99, 479.825, 473.085, 479.29, 272128, 0.0
2020-08-20, 477.74, 485.615, 475.6, 484.85, 250405, 0.0
2020-08-23, 490, 498.82, 488.695, 492.76, 342547, 0.0
2020-08-24, 499.78, 515.51, 497.13, 514.18, 564571, 0.0
2020-08-25, 513, 517.65, 509.41, 514.28, 474451, 0.0
2020-08-26, 517.49, 517.49, 506.75, 511.88, 441087, 0.0
2020-08-27, 509.05, 515.01, 503.23, 504.55, 539951, 0.0
2020-08-30, 491.69, 497.99, 485.58, 486.78, 626222, 0.0
2020-08-31, 490.35, 495.25, 481.02, 491.78, 647642, 0.0
2020-09-01, 497.72, 504.31, 492.315, 492.35, 458641, 0.0
2020-09-02, 489.06, 489.94, 475.86, 486.12, 592415, 0.0
