Date, Open, High, Low, Close, Volume, OI
2020-06-10, 105.56, 107.47, 102.36, 102.52, 5115878, 0.0
2020-06-11, 106.64, 107.3, 103.945, 104.08, 817159, 0.0
2020-06-14, 104.89, 110.45, 103.2, 109.45, 3709609, 0.0
2020-06-15, 114.145, 116.26, 110.54, 113.26, 4279351, 0.0
2020-06-16, 114.63, 117.74, 114.4, 116.75, 4506630, 0.0
2020-06-17, 115.34, 119.265, 115.34, 117.19, 9093237, 0.0
2020-06-18, 118.95, 121.68, 117, 117.56, 18630027, 0.0
2020-06-21, 117.71, 118.09, 114.61, 117.05, 2996513, 0.0
2020-06-22, 118.5, 120.34, 117.81, 119.79, 2065941, 0.0
2020-06-23, 117.64, 118.885, 112.6, 113.06, 3480604, 0.0
2020-06-24, 113.21, 113.96, 110.98, 113.37, 3090233, 0.0
2020-06-25, 112.35, 113.15, 106.75, 108.15, 3787478, 0.0
2020-06-28, 109.61, 112.6, 107, 111.58, 2164253, 0.0
2020-06-29, 113.35, 114.79, 111.35, 114.05, 2154939, 0.0
2020-06-30, 114.05, 114.6, 111.68, 111.9, 1466369, 0.0
2020-07-01, 114.22, 115.67, 112.58, 112.73, 1799082, 0.0
2020-07-05, 115.68, 116.86, 115.02, 116.47, 1710663, 0.0
2020-07-06, 116.485, 117.46, 115.22, 115.41, 1118805, 0.0
2020-07-07, 116.17, 116.725, 114.53, 116.43, 1203201, 0.0
2020-07-08, 116.57, 119, 113.25, 117.89, 2126187, 0.0
2020-07-09, 118.49, 119.5, 116.07, 117.1, 1421031, 0.0
2020-07-12, 120.71, 122.71, 116.87, 117.06, 2814328, 0.0
2020-07-13, 116.4, 120.8, 115.49, 120.38, 2103963, 0.0
2020-07-14, 121.96, 122.97, 120.25, 121.84, 1798575, 0.0
2020-07-15, 119.23, 121.7, 118.53, 121.18, 1277264, 0.0
2020-07-16, 122.67, 122.82, 120.66, 122.71, 2029215, 0.0
2020-07-19, 121.89, 124.01, 120.405, 123.5, 1481170, 0.0
2020-07-20, 125, 126.12, 122.95, 123.5501, 2049985, 0.0
2020-07-21, 122.97, 124.19, 120.89, 121.37, 2076740, 0.0
2020-07-22, 121.58, 121.6699, 118.53, 119.19, 1414076, 0.0
2020-07-23, 116.86, 118.04, 114.38, 115.7, 2998819, 0.0
2020-07-26, 117.05, 120.38, 116.29, 120.11, 2426732, 0.0
2020-07-27, 116.5681, 119, 115, 115.36, 5826771, 0.0
2020-07-28, 115.75, 119.75, 115.75, 119.09, 2569864, 0.0
2020-07-29, 116.89, 117.87, 115.66, 117.16, 2793506, 0.0
2020-07-30, 118.36, 118.63, 114.77, 117.53, 2585983, 0.0
2020-08-02, 118.41, 119.72, 117.8852, 119.13, 1149740, 0.0
2020-08-03, 119.47, 121.555, 119.29, 120.91, 1989677, 0.0
2020-08-04, 118.18, 120.05, 117.25, 119.86, 1964636, 0.0
2020-08-05, 119.57, 122.58, 119.05, 122.45, 1766627, 0.0
2020-08-06, 121.89, 122.67, 119.4, 120.71, 1600632, 0.0
2020-08-09, 121.04, 121.84, 119.69, 121.38, 1049590, 0.0
2020-08-10, 122.18, 124.48, 121.15, 121.33, 1601052, 0.0
2020-08-11, 122.14, 125.41, 121.86, 124.88, 1136511, 0.0
2020-08-12, 124.3, 124.5599, 122.52, 122.68, 864247, 0.0
2020-08-13, 122.36, 123.66, 122.18, 123.16, 595513, 0.0
2020-08-16, 124.44, 125.02, 123.73, 124.8, 994022, 0.0
2020-08-17, 125.94, 126.2, 122.89, 124.38, 1712982, 0.0
2020-08-18, 125.1, 125.56, 123.12, 123.75, 1372947, 0.0
2020-08-19, 122.07, 122.76, 120.61, 121.37, 943566, 0.0
2020-08-20, 120.93, 121.5, 119.8, 121.5, 1229059, 0.0
2020-08-23, 122.7, 123.85, 122.16, 123.85, 908210, 0.0
2020-08-24, 125.92, 127.8, 124.92, 127.28, 1835993, 0.0
2020-08-25, 127.2, 128.422, 126.1137, 127.53, 1303482, 0.0
2020-08-26, 128.14, 128.35, 125.44, 126.06, 1248780, 0.0
2020-08-27, 125.93, 127.45, 125.26, 127.18, 1549673, 0.0
2020-08-30, 126.96, 127.71, 124.85, 125.77, 1335672, 0.0
2020-08-31, 126, 129.02, 125.95, 128.27, 1520870, 0.0
2020-09-01, 129.68, 132.945, 128.7, 132.09, 1370924, 0.0
2020-09-02, 130.99, 130.99, 125.05, 126.1, 1627806, 0.0
