Date, Open, High, Low, Close, Volume, OI
2020-06-10, 410.98, 418.17, 408.81, 409.42, 943342, 0.0
2020-06-11, 415, 415.61, 403.99, 405.67, 146267, 0.0
2020-06-14, 403.35, 418.38, 403, 415.85, 355498, 0.0
2020-06-15, 426.99, 428.9, 415.65, 426.011, 597434, 0.0
2020-06-16, 427.47, 432, 423.7, 426.14, 706824, 0.0
2020-06-17, 425.11, 427.33, 421.51, 426.14, 657234, 0.0
2020-06-18, 430.63, 430.73, 418.96, 421.6, 1104921, 0.0
2020-06-21, 421.78, 432.3, 419.44, 430.98, 418597, 0.0
2020-06-22, 432.97, 434.37, 426.42, 427.48, 463579, 0.0
2020-06-23, 425, 428.86, 412.55, 413.85, 490462, 0.0
2020-06-24, 413.22, 417.965, 409.17, 417.66, 437635, 0.0
2020-06-25, 420.73, 424.425, 411.78, 415.47, 784455, 0.0
2020-06-28, 419.89, 422.745, 414.31, 422.44, 344918, 0.0
2020-06-29, 419.76, 424.55, 415.28, 421.1, 388783, 0.0
2020-06-30, 419.94, 427.66, 416.13, 426.15, 468922, 0.0
2020-07-01, 430.64, 432.19, 424.83, 428.2, 403378, 0.0
2020-07-05, 432.8, 433.74, 423.52, 425.82, 384407, 0.0
2020-07-06, 424.9, 428.5, 422.09, 422.16, 332541, 0.0
2020-07-07, 421.37, 424.0925, 414.68, 420.75, 526566, 0.0
2020-07-08, 420.58, 422, 414.5, 419.07, 331221, 0.0
2020-07-09, 418.38, 421.02, 413, 420.85, 428324, 0.0
2020-07-12, 423.36, 429.2511, 418.24, 420.04, 404123, 0.0
2020-07-13, 417.41, 429.44, 417.26, 427.89, 299229, 0.0
2020-07-14, 430.48, 435.2, 427.3, 432.735, 319041, 0.0
2020-07-15, 431.49, 435, 429.11, 431.78, 287332, 0.0
2020-07-16, 435.05, 435.05, 429, 431.7, 304057, 0.0
2020-07-19, 437.93, 442.63, 430.695, 438.15, 514850, 0.0
2020-07-20, 439.89, 448.56, 439.89, 446.57, 499701, 0.0
2020-07-21, 447.82, 454.465, 447.82, 450.93, 390642, 0.0
2020-07-22, 451.05, 463.02, 446.55, 448.25, 363918, 0.0
2020-07-23, 446.04, 451.23, 442.15, 442.33, 482826, 0.0
2020-07-26, 443.71, 451.855, 443.62, 450.46, 735935, 0.0
2020-07-27, 456.39, 458.68, 449.66, 450.38, 551435, 0.0
2020-07-28, 450.77, 458.91, 448.36, 456.98, 698546, 0.0
2020-07-29, 480, 487.95, 470.3, 480.08, 1438377, 0.0
2020-07-30, 479.31, 481.12, 471.25, 477.14, 544455, 0.0
2020-08-02, 479.61, 480.695, 471.62, 473.45, 416590, 0.0
2020-08-03, 470.01, 476.5273, 467.0418, 472.88, 482291, 0.0
2020-08-04, 474.72, 475.6747, 466.59, 468.53, 322704, 0.0
2020-08-05, 466.85, 470.62, 463.32, 466.03, 454239, 0.0
2020-08-06, 463.21, 469.73, 462.69, 465.6, 400304, 0.0
2020-08-09, 465.68, 465.68, 459.7, 461.16, 330565, 0.0
2020-08-10, 463.31, 463.31, 452.525, 454.14, 488232, 0.0
2020-08-11, 456.27, 466.4, 456.27, 463.31, 367259, 0.0
2020-08-12, 461, 466.725, 459.08, 461.35, 322102, 0.0
2020-08-13, 461.1, 466.65, 461, 463.53, 304703, 0.0
2020-08-16, 464, 471, 463.98, 469.45, 303269, 0.0
2020-08-17, 475, 477.22, 465.915, 469.62, 402278, 0.0
2020-08-18, 470.01, 473.2299, 464.8519, 466.26, 461208, 0.0
2020-08-19, 462.51, 467.305, 461.09, 462.23, 452075, 0.0
2020-08-20, 460.88, 463.31, 458.01, 460.46, 409818, 0.0
2020-08-23, 462.76, 465.19, 460.625, 463.54, 334882, 0.0
2020-08-24, 462.03, 466.13, 461.83, 465.99, 340542, 0.0
2020-08-25, 462.85, 468.13, 461.9, 462.61, 269603, 0.0
2020-08-26, 466.89, 467.45, 461.39, 462.67, 295010, 0.0
2020-08-27, 462.32, 465.87, 458.94, 462.97, 332725, 0.0
2020-08-30, 461.99, 468.55, 459.99, 465.25, 402736, 0.0
2020-08-31, 467.35, 474.63, 464.01, 473.07, 407015, 0.0
2020-09-01, 473.36, 484.53, 472.77, 482.46, 428669, 0.0
2020-09-02, 482.61, 484.995, 468.71, 472.23, 510246, 0.0
